ALCOBACA-BA,,,,,BA,,,,,"529,75",,,,,,,,,,-,,,,,,,,"529,75",,,,,,,,,"1.118,05",,,,,,,,
ALMADINA-BA,,,,,BA,,,,,"407,50",,,,,,,,,,-,,,,,,,,"407,50",,,,,,,,,"860,03",,,,,,,,
AMARGOSA-BA,,,,,BA,,,,,"570,50",,,,,,,,,,-,,,,,,,,"570,50",,,,,,,,,"1.358,99",,,,,,,,
AMELIA RODRIGUES-BA,,,,,BA,,,,,"550,12",,,,,,,,,,-,,,,,,,,"550,12",,,,,,,,,"1.310,44",,,,,,,,
ANAGE-BA,,,,,BA,,,,,"570,50",,,,,,,,,,-,,,,,,,,"570,50",,,,,,,,,"1.358,99",,,,,,,,
ANGUERA-BA,,,,,BA,,,,,"407,50",,,,,,,,,,-,,,,,,,,"407,50",,,,,,,,,"970,69",,,,,,,,
ANTAS-BA,,,,,BA,,,,,"468,62",,,,,,,,,,-,,,,,,,,"468,62",,,,,,,,,"1.116,31",,,,,,,,
ANTONIO CARDOSO-BA,,,,,BA,,,,,"427,87",,,,,,,,,,-,,,,,,,,"427,87",,,,,,,,,"1.019,24",,,,,,,,
APORA-BA,,,,,BA,,,,,"489,00",,,,,,,,,,-,,,,,,,,"489,00",,,,,,,,,"1.164,83",,,,,,,,
APUAREMA-BA,,,,,BA,,,,,"407,50",,,,,,,,,,-,,,,,,,,"407,50",,,,,,,,,"970,69",,,,,,,,
ARACAS-BA,,,,,BA,,,,,"227.158,11",,,,,,,,,,"110.852,76",,,,,,,,"338.010,87",,,,,,,,,"1.563.230,35",,,,,,,,
ARACI-BA,,,,,BA,,,,,"631,62",,,,,,,,,,-,,,,,,,,"631,62",,,,,,,,,"1.504,59",,,,,,,,
ARAMARI-BA,,,,,BA,,,,,"407,50",,,,,,,,,,-,,,,,,,,"407,50",,,,,,,,,"970,69",,,,,,,,
ARATACA-BA,,,,,BA,,,,,"427,87",,,,,,,,,,-,,,,,,,,"427,87",,,,,,,,,"903,03",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARATUIPE-BA,,,,,BA,,,,,"407,50",,,,,,,,,,-,,,,,,,,"407,50",,,,,,,,,"970,69",,,,,,,,
AURELINO LEAL-BA,,,,,BA,,,,,"489,00",,,,,,,,,,-,,,,,,,,"489,00",,,,,,,,,"1.032,03",,,,,,,,
BAIXA GRANDE-BA,,,,,BA,,,,,"529,75",,,,,,,,,,-,,,,,,,,"529,75",,,,,,,,,"1.261,92",,,,,,,,
BANZAE-BA,,,,,BA,,,,,"427,87",,,,,,,,,,-,,,,,,,,"427,87",,,,,,,,,"1.019,24",,,,,,,,
BARRA DO CHOCA-BA,,,,,BA,,,,,"631,62",,,,,,,,,,-,,,,,,,,"631,62",,,,,,,,,"1.504,59",,,,,,,,
BARRA DO ROCHA-BA,,,,,BA,,,,,"407,50",,,,,,,,,,-,,,,,,,,"407,50",,,,,,,,,"860,03",,,,,,,,
BARRO PRETO-BA,,,,,BA,,,,,"407,50",,,,,,,,,,-,,,,,,,,"407,50",,,,,,,,,"860,03",,,,,,,,
BARROCAS-BA,,,,,BA,,,,,"448,25",,,,,,,,,,-,,,,,,,,"448,25",,,,,,,,,"1.067,78",,,,,,,,
BELMONTE-BA,,,,,BA,,,,,"529,75",,,,,,,,,,-,,,,,,,,"529,75",,,,,,,,,"1.118,05",,,,,,,,
BELO CAMPO-BA,,,,,BA,,,,,"489,00",,,,,,,,,,-,,,,,,,,"489,00",,,,,,,,,"1.164,83",,,,,,,,
BIRITINGA-BA,,,,,BA,,,,,"468,62",,,,,,,,,,-,,,,,,,,"468,62",,,,,,,,,"1.116,31",,,,,,,,
BOA NOVA-BA,,,,,BA,,,,,"529,75",,,,,,,,,,-,,,,,,,,"529,75",,,,,,,,,"1.261,92",,,,,,,,
BOA VISTA DO TUPIM-BA,,,,,BA,,,,,"509,37",,,,,,,,,,-,,,,,,,,"509,37",,,,,,,,,"1.213,38",,,,,,,,
BOM JESUS DA SERRA-BA,,,,,BA,,,,,"427,87",,,,,,,,,,-,,,,,,,,"427,87",,,,,,,,,"1.019,24",,,,,,,,
BREJOES-BA,,,,,BA,,,,,"468,62",,,,,,,,,,-,,,,,,,,"468,62",,,,,,,,,"1.116,31",,,,,,,,
BUERAREMA-BA,,,,,BA,,,,,"509,37",,,,,,,,,,-,,,,,,,,"509,37",,,,,,,,,"1.075,04",,,,,,,,
CAATIBA-BA,,,,,BA,,,,,"468,62",,,,,,,,,,-,,,,,,,,"468,62",,,,,,,,,"1.116,31",,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,,BA,,,,,"468,62",,,,,,,,,,-,,,,,,,,"468,62",,,,,,,,,"1.116,31",,,,,,,,
CACHOEIRA-BA,,,,,BA,,,,,"570,50",,,,,,,,,,-,,,,,,,,"570,50",,,,,,,,,"1.358,99",,,,,,,,
CAEM-BA,,,,,BA,,,,,"448,25",,,,,,,,,,-,,,,,,,,"448,25",,,,,,,,,"1.067,78",,,,,,,,
CAETANOS-BA,,,,,BA,,,,,"448,25",,,,,,,,,,-,,,,,,,,"448,25",,,,,,,,,"1.067,78",,,,,,,,
CAIRU-BA,,,,,BA,,,,,"15.240,19",,,,,,,,,,"114.237,75",,,,,,,,"129.477,94",,,,,,,,,"264.582,30",,,,,,,,
CAMACAN-BA,,,,,BA,,,,,"570,50",,,,,,,,,,-,,,,,,,,"570,50",,,,,,,,,"1.204,05",,,,,,,,
CAMACARI-BA,,,,,BA,,,,,"934,85",,,,,,,,,,"68,31",,,,,,,,"1.003,16",,,,,,,,,"4.859,01",,,,,,,,
CAMAMU-BA,,,,,BA,,,,,"590,87",,,,,,,,,,-,,,,,,,,"590,87",,,,,,,,,"1.247,05",,,,,,,,
CANAVIEIRAS-BA,,,,,BA,,,,,"590,87",,,,,,,,,,-,,,,,,,,"590,87",,,,,,,,,"1.247,05",,,,,,,,
CANDEAL-BA,,,,,BA,,,,,"427,87",,,,,,,,,,-,,,,,,,,"427,87",,,,,,,,,"1.019,24",,,,,,,,
CANDEIAS-BA,,,,,BA,,,,,"198.469,28",,,,,,,,,,"273.690,23",,,,,,,,"472.159,51",,,,,,,,,"2.211.290,06",,,,,,,,
CANDIDO SALES-BA,,,,,BA,,,,,"570,50",,,,,,,,,,-,,,,,,,,"570,50",,,,,,,,,"1.358,99",,,,,,,,
CANSANCAO-BA,,,,,BA,,,,,"570,50",,,,,,,,,,-,,,,,,,,"570,50",,,,,,,,,"1.358,99",,,,,,,,
CANUDOS-BA,,,,,BA,,,,,"448,25",,,,,,,,,,-,,,,,,,,"448,25",,,,,,,,,"1.067,78",,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,,BA,,,,,"427,87",,,,,,,,,,-,,,,,,,,"427,87",,,,,,,,,"1.019,24",,,,,,,,
CAPIM GROSSO-BA,,,,,BA,,,,,"529,75",,,,,,,,,,-,,,,,,,,"529,75",,,,,,,,,"1.261,92",,,,,,,,
CARAVELAS-BA,,,,,BA,,,,,"529,75",,,,,,,,,,-,,,,,,,,"529,75",,,,,,,,,"1.118,05",,,,,,,,
