BARRA DO CHOCA-BA,,,BA,,,,,"92,29",,,,,,,,-,,,,,,,"92,29",,,,,,,,"399,50",,,,,,,,
BARROCAS-BA,,,BA,,,,,"65,50",,,,,,,,-,,,,,,,"65,50",,,,,,,,"283,53",,,,,,,,
BELO CAMPO-BA,,,BA,,,,,"71,45",,,,,,,,-,,,,,,,"71,45",,,,,,,,"309,29",,,,,,,,
BIRITINGA-BA,,,BA,,,,,"68,47",,,,,,,,-,,,,,,,"68,47",,,,,,,,"296,41",,,,,,,,
BOA NOVA-BA,,,BA,,,,,"77,40",,,,,,,,-,,,,,,,"77,40",,,,,,,,"335,07",,,,,,,,
BOA VISTA DO TUPIM-BA,,,BA,,,,,"74,43",,,,,,,,-,,,,,,,"74,43",,,,,,,,"322,18",,,,,,,,
BOM JESUS DA SERRA-BA,,,BA,,,,,"62,52",,,,,,,,-,,,,,,,"62,52",,,,,,,,"270,64",,,,,,,,
BREJOES-BA,,,BA,,,,,"68,47",,,,,,,,-,,,,,,,"68,47",,,,,,,,"296,41",,,,,,,,
CAATIBA-BA,,,BA,,,,,"68,47",,,,,,,,-,,,,,,,"68,47",,,,,,,,"296,41",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,BA,,,,,"68,47",,,,,,,,-,,,,,,,"68,47",,,,,,,,"296,41",,,,,,,,
CACHOEIRA-BA,,,BA,,,,,"83,36",,,,,,,,-,,,,,,,"83,36",,,,,,,,"360,85",,,,,,,,
CAEM-BA,,,BA,,,,,"65,50",,,,,,,,-,,,,,,,"65,50",,,,,,,,"283,53",,,,,,,,
CAETANOS-BA,,,BA,,,,,"65,50",,,,,,,,-,,,,,,,"65,50",,,,,,,,"283,53",,,,,,,,
CAMACARI-BA,,,BA,,,,,"608,03",,,,,,,,"278,70",,,,,,,"886,73",,,,,,,,"1.821,68",,,,,,,,
CANDEAL-BA,,,BA,,,,,"62,52",,,,,,,,-,,,,,,,"62,52",,,,,,,,"270,64",,,,,,,,
CANDEIAS-BA,,,BA,,,,,"187.681,62",,,,,,,,"229.511,91",,,,,,,"417.193,53",,,,,,,,"1.698.563,38",,,,,,,,
CANDIDO SALES-BA,,,BA,,,,,"83,36",,,,,,,,-,,,,,,,"83,36",,,,,,,,"360,85",,,,,,,,
CANSANCAO-BA,,,BA,,,,,"83,36",,,,,,,,-,,,,,,,"83,36",,,,,,,,"360,85",,,,,,,,
CANUDOS-BA,,,BA,,,,,"65,50",,,,,,,,-,,,,,,,"65,50",,,,,,,,"283,53",,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,BA,,,,,"62,52",,,,,,,,-,,,,,,,"62,52",,,,,,,,"270,64",,,,,,,,
CAPIM GROSSO-BA,,,BA,,,,,"77,40",,,,,,,,-,,,,,,,"77,40",,,,,,,,"335,07",,,,,,,,
CARDEAL DA SILVA-BA,,,BA,,,,,"119.022,37",,,,,,,,"36.480,78",,,,,,,"155.503,15",,,,,,,,"598.647,22",,,,,,,,
CASTRO ALVES-BA,,,BA,,,,,"80,38",,,,,,,,-,,,,,,,"80,38",,,,,,,,"347,95",,,,,,,,
CATU-BA,,,BA,,,,,"170.860,43",,,,,,,,"85.094,59",,,,,,,"255.955,02",,,,,,,,"1.154.774,03",,,,,,,,
CICERO DANTAS-BA,,,BA,,,,,"83,36",,,,,,,,-,,,,,,,"83,36",,,,,,,,"360,85",,,,,,,,
CIPO-BA,,,BA,,,,,"68,47",,,,,,,,-,,,,,,,"68,47",,,,,,,,"296,41",,,,,,,,
CONCEICAO DA FEIRA-BA,,,BA,,,,,"71,45",,,,,,,,-,,,,,,,"71,45",,,,,,,,"309,29",,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,BA,,,,,"74,43",,,,,,,,-,,,,,,,"74,43",,,,,,,,"322,18",,,,,,,,
