IRAJUBA-BA,,,,BA,,,"52,26",,,,,,-,,,,,,"52,26",,,,,,"477,72",,,,,,,,,,
IRARA-BA,,,,BA,,,"70,55",,,,,,-,,,,,,"70,55",,,,,,"645,60",,,,,,,,,,
ITABERABA-BA,,,,BA,,,"86,23",,,,,,-,,,,,,"86,23",,,,,,"790,06",,,,,,,,,,
ITAGI-BA,,,,BA,,,"60,10",,,,,,-,,,,,,"60,10",,,,,,"550,09",,,,,,,,,,
ITAMBE-BA,,,,BA,,,"73,17",,,,,,-,,,,,,"73,17",,,,,,"669,95",,,,,,,,,,
ITANAGRA-BA,,,,BA,,,"74.262,07",,,,,,"14.953,27",,,,,,"89.215,34",,,,,,"584.452,32",,,,,,,,,,
ITAPARICA-BA,,,,BA,,,"1.809,39",,,,,,"71.526,81",,,,,,"73.336,20",,,,,,"397.575,68",,,,,,,,,,
ITAPETINGA-BA,,,,BA,,,"86,23",,,,,,-,,,,,,"86,23",,,,,,"790,06",,,,,,,,,,
ITAPICURU-BA,,,,BA,,,"70,55",,,,,,-,,,,,,"70,55",,,,,,"645,60",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITAQUARA-BA,,,,BA,,,"52,26",,,,,,-,,,,,,"52,26",,,,,,"477,72",,,,,,,,,,
ITARANTIM-BA,,,,BA,,,"60,10",,,,,,-,,,,,,"60,10",,,,,,"550,09",,,,,,,,,,
ITATIM-BA,,,,BA,,,"57,49",,,,,,-,,,,,,"57,49",,,,,,"526,63",,,,,,,,,,
ITIRUCU-BA,,,,BA,,,"57,49",,,,,,-,,,,,,"57,49",,,,,,"526,63",,,,,,,,,,
ITIUBA-BA,,,,BA,,,"75,78",,,,,,-,,,,,,"75,78",,,,,,"693,40",,,,,,,,,,
JACOBINA-BA,,,,BA,,,"91,46",,,,,,-,,,,,,"91,46",,,,,,"836,73",,,,,,,,,,
JAGUAQUARA-BA,,,,BA,,,"81,01",,,,,,-,,,,,,"81,01",,,,,,"741,19",,,,,,,,,,
JAGUARIPE-BA,,,,BA,,,"57,49",,,,,,-,,,,,,"57,49",,,,,,"526,63",,,,,,,,,,
JANDAIRA-BA,,,,BA,,,"54,88",,,,,,-,,,,,,"54,88",,,,,,"502,30",,,,,,,,,,
JEQUIE-BA,,,,BA,,,"104,52",,,,,,-,,,,,,"104,52",,,,,,"956,85",,,,,,,,,,
JEREMOABO-BA,,,,BA,,,"75,78",,,,,,-,,,,,,"75,78",,,,,,"693,40",,,,,,,,,,
JIQUIRICA-BA,,,,BA,,,"57,49",,,,,,-,,,,,,"57,49",,,,,,"526,63",,,,,,,,,,
JITAUNA-BA,,,,BA,,,"67,94",,,,,,-,,,,,,"67,94",,,,,,"622,17",,,,,,,,,,
LAFAIETE COUTINHO-BA,,,,BA,,,"52,26",,,,,,-,,,,,,"52,26",,,,,,"477,72",,,,,,,,,,
LAJE-BA,,,,BA,,,"65,33",,,,,,-,,,,,,"65,33",,,,,,"597,87",,,,,,,,,,
LAJEDINHO-BA,,,,BA,,,"52,26",,,,,,-,,,,,,"52,26",,,,,,"477,72",,,,,,,,,,
LAJEDO DO TABOCAL-BA,,,,BA,,,"52,26",,,,,,-,,,,,,"52,26",,,,,,"477,72",,,,,,,,,,
LAMARAO-BA,,,,BA,,,"52,26",,,,,,-,,,,,,"52,26",,,,,,"477,72",,,,,,,,,,
LAURO DE FREITAS-BA,,,,BA,,,"99,30",,,,,,-,,,,,,"99,30",,,,,,"909,07",,,,,,,,,,
MACAJUBA-BA,,,,BA,,,"54,88",,,,,,-,,,,,,"54,88",,,,,,"502,30",,,,,,,,,,
MACARANI-BA,,,,BA,,,"60,10",,,,,,-,,,,,,"60,10",,,,,,"550,09",,,,,,,,,,
MADRE DE DEUS-BA,,,,BA,,,"865.431,28",,,,,,"325.617,55",,,,,,"1.191.048,83",,,,,,"8.245.210,91",,,,,,,,,,
MAIQUINIQUE-BA,,,,BA,,,"52,26",,,,,,-,,,,,,"52,26",,,,,,"477,72",,,,,,,,,,
MAIRI-BA,,,,BA,,,"67,94",,,,,,-,,,,,,"67,94",,,,,,"622,17",,,,,,,,,,
MANOEL VITORINO-BA,,,,BA,,,"62,71",,,,,,-,,,,,,"62,71",,,,,,"574,40",,,,,,,,,,
MARACAS-BA,,,,BA,,,"73,17",,,,,,-,,,,,,"73,17",,,,,,"669,95",,,,,,,,,,
MARAGOGIPE-BA,,,,BA,,,"81,01",,,,,,-,,,,,,"81,01",,,,,,"741,19",,,,,,,,,,
MARCIONILIO SOUZA-BA,,,,BA,,,"54,88",,,,,,-,,,,,,"54,88",,,,,,"502,30",,,,,,,,,,
