AMARGOSA-BA,,,BA,,,"72,58",,,,,,,,-,,,,,,"72,58",,,,,,,,"366,24",,,,,,,,
AMELIA RODRIGUES-BA,,,BA,,,"69,99",,,,,,,,-,,,,,,"69,99",,,,,,,,"353,16",,,,,,,,
ANAGE-BA,,,BA,,,"72,58",,,,,,,,-,,,,,,"72,58",,,,,,,,"366,24",,,,,,,,
ANGUERA-BA,,,BA,,,"51,84",,,,,,,,-,,,,,,"51,84",,,,,,,,"261,59",,,,,,,,
ANTAS-BA,,,BA,,,"59,62",,,,,,,,-,,,,,,"59,62",,,,,,,,"300,83",,,,,,,,
ANTONIO CARDOSO-BA,,,BA,,,"54,43",,,,,,,,-,,,,,,"54,43",,,,,,,,"274,67",,,,,,,,
APORA-BA,,,BA,,,"62,21",,,,,,,,-,,,,,,"62,21",,,,,,,,"313,91",,,,,,,,
APUAREMA-BA,,,BA,,,"51,84",,,,,,,,-,,,,,,"51,84",,,,,,,,"261,59",,,,,,,,
"ARACAS-BA
ARACI-BA",,,"BA
BA",,,"201.715,31
80,35",,,,,,,,"89.676,67
-",,,,,,"291.391,98
80,35",,,,,,,,"1.297.979,07
405,47",,,,,,,,
ARAMARI -BA,,,BA,,,"51,84",,,,,,,,-,,,,,,"51,84",,,,,,,,"261,59",,,,,,,,
ARATUIPE-BA,,,BA,,,"51,84",,,,,,,,-,,,,,,"51,84",,,,,,,,"261,59",,,,,,,,
BAIXA GRANDE-BA,,,BA,,,"67,39",,,,,,,,-,,,,,,"67,39",,,,,,,,"340,06",,,,,,,,
BANZAE-BA,,,BA,,,"54,43",,,,,,,,-,,,,,,"54,43",,,,,,,,"274,67",,,,,,,,
BARRA DO CHOCA-BA,,,BA,,,"80,35",,,,,,,,-,,,,,,"80,35",,,,,,,,"405,47",,,,,,,,
BARROCAS-BA,,,BA,,,"57,02",,,,,,,,-,,,,,,"57,02",,,,,,,,"287,75",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELO CAMPO-BA,,,BA,,,"62,21",,,,,,,,-,,,,,,"62,21",,,,,,,,"313,91",,,,,,,,
BIRITINGA-BA,,,BA,,,"59,62",,,,,,,,-,,,,,,"59,62",,,,,,,,"300,83",,,,,,,,
BOA NOVA-BA,,,BA,,,"67,39",,,,,,,,-,,,,,,"67,39",,,,,,,,"340,06",,,,,,,,
"BOA VISTA DO TUPIM-BA
BOM JESUS DA SERRA-BA",,,"BA
BA",,,"64,80
54,43",,,,,,,,"-
-",,,,,,"64,80
54,43",,,,,,,,"327,00
274,67",,,,,,,,
BREJOES-BA,,,BA,,,"59,62",,,,,,,,-,,,,,,"59,62",,,,,,,,"300,83",,,,,,,,
CAATIBA-BA,,,BA,,,"59,62",,,,,,,,-,,,,,,"59,62",,,,,,,,"300,83",,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,BA,,,"59,62",,,,,,,,-,,,,,,"59,62",,,,,,,,"300,83",,,,,,,,
CACHOEIRA-BA,,,BA,,,"72,58",,,,,,,,-,,,,,,"72,58",,,,,,,,"366,24",,,,,,,,
CAEM-BA,,,BA,,,"57,02",,,,,,,,-,,,,,,"57,02",,,,,,,,"287,75",,,,,,,,
CAETANOS-BA,,,BA,,,"57,02",,,,,,,,-,,,,,,"57,02",,,,,,,,"287,75",,,,,,,,
CAMACARI-BA,,,BA,,,"134,39",,,,,,,,"17,51",,,,,,"151,90",,,,,,,,"1.579,28",,,,,,,,
CANDEAL-BA,,,BA,,,"54,43",,,,,,,,-,,,,,,"54,43",,,,,,,,"274,67",,,,,,,,
"CANDEIAS-BA
CANDIDO SALES-BA",,,"BA
BA",,,"194.598,16
72,58",,,,,,,,"256.289,39
-",,,,,,"450.887,55
72,58",,,,,,,,"1.858.469,02
366,24",,,,,,,,
CANSANCAO-BA,,,BA,,,"72,58",,,,,,,,-,,,,,,"72,58",,,,,,,,"366,24",,,,,,,,
CANUDOS-BA,,,BA,,,"57,02",,,,,,,,-,,,,,,"57,02",,,,,,,,"287,75",,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,BA,,,"54,43",,,,,,,,-,,,,,,"54,43",,,,,,,,"274,67",,,,,,,,
CAPIM GROSSO-BA,,,BA,,,"67,39",,,,,,,,-,,,,,,"67,39",,,,,,,,"340,06",,,,,,,,
CARDEAL DA SILVA-BA,,,BA,,,"119.985,46",,,,,,,,"34.047,69",,,,,,"154.033,15",,,,,,,,"649.409,94",,,,,,,,
CASTRO ALVES-BA,,,BA,,,"69,99",,,,,,,,-,,,,,,"69,99",,,,,,,,"353,16",,,,,,,,
