BELO CAMPO-BA,,,,BA,,,"69,28",,,,,,,,-,,,,,,"69,28",,,,,,,"251,70",,,,,,,,,,,,
BIRITINGA-BA,,,,BA,,,"66,39",,,,,,,,-,,,,,,"66,39",,,,,,,"241,21",,,,,,,,,,,,
BOA NOVA-BA,,,,BA,,,"75,05",,,,,,,,-,,,,,,"75,05",,,,,,,"272,67",,,,,,,,,,,,
BOA VISTA DO TUPIM-BA,,,,BA,,,"72,17",,,,,,,,-,,,,,,"72,17",,,,,,,"262,20",,,,,,,,,,,,
BOM JESUS DA SERRA-BA,,,,BA,,,"60,62",,,,,,,,-,,,,,,"60,62",,,,,,,"220,24",,,,,,,,,,,,
BREJOES-BA,,,,BA,,,"66,39",,,,,,,,-,,,,,,"66,39",,,,,,,"241,21",,,,,,,,,,,,
CAATIBA-BA,,,,BA,,,"66,39",,,,,,,,-,,,,,,"66,39",,,,,,,"241,21",,,,,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,BA,,,"66,39",,,,,,,,-,,,,,,"66,39",,,,,,,"241,21",,,,,,,,,,,,
CACHOEIRA-BA,,,,BA,,,"80,83",,,,,,,,-,,,,,,"80,83",,,,,,,"293,66",,,,,,,,,,,,
CAEM-BA,,,,BA,,,"63,51",,,,,,,,-,,,,,,"63,51",,,,,,,"230,73",,,,,,,,,,,,
CAETANOS-BA,,,,BA,,,"63,51",,,,,,,,-,,,,,,"63,51",,,,,,,"230,73",,,,,,,,,,,,
CAMACARI-BA,,,,BA,,,"374,63",,,,,,,,"147,72",,,,,,"522,35",,,,,,,"1.427,38",,,,,,,,,,,,
CANDEAL-BA,,,,BA,,,"60,62",,,,,,,,-,,,,,,"60,62",,,,,,,"220,24",,,,,,,,,,,,
CANDEIAS-BA,,,,BA,,,"224.042,57",,,,,,,,"309.076,34",,,,,,"533.118,91",,,,,,,"1.407.581,47",,,,,,,,,,,,
CANDIDO SALES-BA,,,,BA,,,"80,83",,,,,,,,-,,,,,,"80,83",,,,,,,"293,66",,,,,,,,,,,,
CANSANCAO-BA,,,,BA,,,"80,83",,,,,,,,-,,,,,,"80,83",,,,,,,"293,66",,,,,,,,,,,,
CANUDOS-BA,,,,BA,,,"63,51",,,,,,,,-,,,,,,"63,51",,,,,,,"230,73",,,,,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,BA,,,"60,62",,,,,,,,-,,,,,,"60,62",,,,,,,"220,24",,,,,,,,,,,,
CAPIM GROSSO-BA,,,,BA,,,"75,05",,,,,,,,-,,,,,,"75,05",,,,,,,"272,67",,,,,,,,,,,,
CARDEAL DA SILVA-BA,,,,BA,,,"144.322,84",,,,,,,,"40.374,42",,,,,,"184.697,26",,,,,,,"495.376,79",,,,,,,,,,,,
CASTRO ALVES-BA,,,,BA,,,"77,94",,,,,,,,-,,,,,,"77,94",,,,,,,"283,17",,,,,,,,,,,,
CATU-BA,,,,BA,,,"243.106,65",,,,,,,,"122.409,62",,,,,,"365.516,27",,,,,,,"1.068.239,12",,,,,,,,,,,,
CICERO DANTAS-BA,,,,BA,,,"80,83",,,,,,,,-,,,,,,"80,83",,,,,,,"293,66",,,,,,,,,,,,
CIPO-BA,,,,BA,,,"66,39",,,,,,,,-,,,,,,"66,39",,,,,,,"241,21",,,,,,,,,,,,
CONCEICAO DA FEIRA-BA,,,,BA,,,"69,28",,,,,,,,-,,,,,,"69,28",,,,,,,"251,70",,,,,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,BA,,,"72,17",,,,,,,,-,,,,,,"72,17",,,,,,,"262,20",,,,,,,,,,,,
CONCEICAO DO COITE-BA,,,,BA,,,"95,26",,,,,,,,-,,,,,,"95,26",,,,,,,"346,10",,,,,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,BA,,,"77,94",,,,,,,,-,,,,,,"77,94",,,,,,,"283,17",,,,,,,,,,,,
CONDE-BA,,,,BA,,,"75,05",,,,,,,,-,,,,,,"75,05",,,,,,,"341,16",,,,,,,,,,,,
CORACAO DE MARIA-BA,,,,BA,,,"75,05",,,,,,,,-,,,,,,"75,05",,,,,,,"272,67",,,,,,,,,,,,
CORONEL JOAO SA-BA,,,,BA,,,"72,17",,,,,,,,-,,,,,,"72,17",,,,,,,"262,20",,,,,,,,,,,,
CRAVOLANDIA-BA,,,,BA,,,"57,73",,,,,,,,-,,,,,,"57,73",,,,,,,"209,75",,,,,,,,,,,,
CRISOPOLIS-BA,,,,BA,,,"72,17",,,,,,,,-,,,,,,"72,17",,,,,,,"262,20",,,,,,,,,,,,
