CANDEIAS-BA,,,BA,,,,"214.212,92",,,,,,,,"239.248,05",,,,,,"453.460,97",,,,,"874.462,56",,,,,,,
CANDIDO SALES-BA,,,BA,,,,"108,18",,,,,,,,-,,,,,,"108,18",,,,,"212,83",,,,,,,
CANSANCAO-BA,,,BA,,,,"108,18",,,,,,,,-,,,,,,"108,18",,,,,"212,83",,,,,,,
CANUDOS-BA,,,BA,,,,"85,00",,,,,,,,-,,,,,,"85,00",,,,,"167,22",,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,BA,,,,"81,13",,,,,,,,-,,,,,,"81,13",,,,,"159,62",,,,,,,
CAPIM GROSSO-BA,,,BA,,,,"100,45",,,,,,,,-,,,,,,"100,45",,,,,"197,62",,,,,,,
CARDEAL DA SILVA-BA,,,BA,,,,"127.060,80",,,,,,,,"35.976,89",,,,,,"163.037,69",,,,,"310.679,53",,,,,,,
CASTRO ALVES-BA,,,BA,,,,"104,32",,,,,,,,-,,,,,,"104,32",,,,,"205,23",,,,,,,
CATU-BA,,,BA,,,,"230.467,98",,,,,,,,"118.759,69",,,,,,"349.227,67",,,,,"702.722,85",,,,,,,
CICERO DANTAS-BA,,,BA,,,,"108,18",,,,,,,,-,,,,,,"108,18",,,,,"212,83",,,,,,,
CIPO-BA,,,BA,,,,"88,86",,,,,,,,-,,,,,,"88,86",,,,,"174,82",,,,,,,
CONCEICAO DA FEIRA-BA,,,BA,,,,"92,72",,,,,,,,-,,,,,,"92,72",,,,,"182,42",,,,,,,
CONCEICAO DO ALMEIDA-BA,,,BA,,,,"96,59",,,,,,,,-,,,,,,"96,59",,,,,"190,03",,,,,,,
CONCEICAO DO COITE-BA,,,BA,,,,"127,50",,,,,,,,-,,,,,,"127,50",,,,,"250,84",,,,,,,
CONCEICAO DO JACUIPE-BA,,,BA,,,,"104,32",,,,,,,,-,,,,,,"104,32",,,,,"205,23",,,,,,,
CONDE-BA,,,BA,,,,"100,45",,,,,,,,-,,,,,,"100,45",,,,,"266,11",,,,,,,
CORACAO DE MARIA-BA,,,BA,,,,"100,45",,,,,,,,-,,,,,,"100,45",,,,,"197,62",,,,,,,
CORONEL JOAO SA-BA,,,BA,,,,"96,59",,,,,,,,-,,,,,,"96,59",,,,,"190,03",,,,,,,
CRAVOLANDIA-BA,,,BA,,,,"77,27",,,,,,,,-,,,,,,"77,27",,,,,"152,02",,,,,,,
CRISOPOLIS-BA,,,BA,,,,"96,59",,,,,,,,-,,,,,,"96,59",,,,,"190,03",,,,,,,
CRUZ DAS ALMAS-BA,,,BA,,,,"123,63",,,,,,,,-,,,,,,"123,63",,,,,"243,23",,,,,,,
DARIO MEIRA-BA,,,BA,,,,"88,86",,,,,,,,-,,,,,,"88,86",,,,,"174,82",,,,,,,
DIAS D'AVILA-BA,,,BA,,,,"119,77",,,,,,,,-,,,,,,"119,77",,,,,"235,63",,,,,,,
DOM MACEDO COSTA-BA,,,BA,,,,"77,27",,,,,,,,-,,,,,,"77,27",,,,,"152,02",,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELISIO MEDRADO-BA,,,BA,,,,"77,27",,,,,,,,-,,,,,,"77,27",,,,,"152,02",,,,,,,
ENCRUZILHADA-BA,,,BA,,,,"112,04",,,,,,,,-,,,,,,"112,04",,,,,"220,43",,,,,,,
ENTRE RIOS-BA,,,BA,,,,"258.306,99",,,,,,,,"162.968,44",,,,,,"421.275,43",,,,,"802.974,98",,,,,,,
ESPLANADA-BA,,,BA,,,,"443.782,66",,,,,,,,"275.804,39",,,,,,"719.587,05",,,,,"1.446.076,07",,,,,,,
EUCLIDES DA CUNHA-BA,,,BA,,,,"123,63",,,,,,,,-,,,,,,"123,63",,,,,"243,23",,,,,,,
FATIMA-BA,,,BA,,,,"96,59",,,,,,,,-,,,,,,"96,59",,,,,"190,03",,,,,,,
FEIRA DE SANTANA-BA,,,BA,,,,"154,54",,,,,,,,-,,,,,,"154,54",,,,,"304,04",,,,,,,
GAVIAO-BA,,,BA,,,,"77,27",,,,,,,,-,,,,,,"77,27",,,,,"152,02",,,,,,,
GLORIA-BA,,,BA,,,,"88,86",,,,,,,,-,,,,,,"88,86",,,,,"174,82",,,,,,,
GOVERNADOR MANGABEIRA-BA,,,BA,,,,"92,72",,,,,,,,-,,,,,,"92,72",,,,,"182,42",,,,,,,
