ENCRUZILHADA,,,BA,,,,,,"89,05",,,,,,-,,,,,,,"89,05",,,,,,,"675,38",,,,,,,,
ENTRE RIOS,,,BA,,,,,,"205.479,74",,,,,,"125.716,29",,,,,,,"331.196,03",,,,,,,"1.956.336,78",,,,,,,,
ESPLANADA,,,BA,,,,,,"359.465,94",,,,,,"211.472,94",,,,,,,"570.938,88",,,,,,,"3.390.699,55",,,,,,,,
EUCLIDES DA CUNHA,,,BA,,,,,,"98,26",,,,,,-,,,,,,,"98,26",,,,,,,"745,24",,,,,,,,
FATIMA,,,BA,,,,,,"76,76",,,,,,-,,,,,,,"76,76",,,,,,,"582,22",,,,,,,,
FEIRA DE SANTANA,,,BA,,,,,,"122,83",,,,,,-,,,,,,,"122,83",,,,,,,"931,57",,,,,,,,
GAVIAO,,,BA,,,,,,"61,41",,,,,,-,,,,,,,"61,41",,,,,,,"465,77",,,,,,,,
GLORIA,,,BA,,,,,,"70,62",,,,,,-,,,,,,,"70,62",,,,,,,"535,64",,,,,,,,
GOVERNADOR MANGABEIRA,,,BA,,,,,,"73,69",,,,,,-,,,,,,,"73,69",,,,,,,"558,92",,,,,,,,
HELIOPOLIS,,,BA,,,,,,"67,55",,,,,,-,,,,,,,"67,55",,,,,,,"512,35",,,,,,,,
IACU,,,BA,,,,,,"85,98",,,,,,-,,,,,,,"85,98",,,,,,,"652,09",,,,,,,,
IBIQUERA,,,BA,,,,,,"61,41",,,,,,-,,,,,,,"61,41",,,,,,,"465,77",,,,,,,,
ICHU,,,BA,,,,,,"61,41",,,,,,-,,,,,,,"61,41",,,,,,,"465,77",,,,,,,,
INHAMBUPE,,,BA,,,,,,"85,98",,,,,,-,,,,,,,"85,98",,,,,,,"652,09",,,,,,,,
IPECAETA,,,BA,,,,,,"76,76",,,,,,-,,,,,,,"76,76",,,,,,,"582,22",,,,,,,,
IPIRA,,,BA,,,,,,"101,33",,,,,,-,,,,,,,"101,33",,,,,,,"768,54",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAJUBA,,,BA,,,,,,"61,41",,,,,,-,,,,,,,"61,41",,,,,,,"465,77",,,,,,,,
IRARA,,,BA,,,,,,"82,91",,,,,,-,,,,,,,"82,91",,,,,,,"628,80",,,,,,,,
ITABERABA,,,BA,,,,,,"101,33",,,,,,-,,,,,,,"101,33",,,,,,,"768,54",,,,,,,,
ITAGI,,,BA,,,,,,"70,62",,,,,,-,,,,,,,"70,62",,,,,,,"535,64",,,,,,,,
ITAMBE,,,BA,,,,,,"85,98",,,,,,-,,,,,,,"85,98",,,,,,,"652,09",,,,,,,,
ITANAGRA,,,BA,,,,,,"93.249,36",,,,,,"14.771,91",,,,,,,"108.021,27",,,,,,,"638.833,22",,,,,,,,
ITAPARICA,,,BA,,,,,,"2.124,45",,,,,,"157.967,21",,,,,,,"160.091,66",,,,,,,"721.840,87",,,,,,,,
ITAPETINGA,,,BA,,,,,,"101,33",,,,,,-,,,,,,,"101,33",,,,,,,"768,54",,,,,,,,
ITAPICURU,,,BA,,,,,,"82,91",,,,,,-,,,,,,,"82,91",,,,,,,"628,80",,,,,,,,
ITAQUARA,,,BA,,,,,,"61,41",,,,,,-,,,,,,,"61,41",,,,,,,"465,77",,,,,,,,
ITARANTIM,,,BA,,,,,,"73,69",,,,,,-,,,,,,,"73,69",,,,,,,"547,84",,,,,,,,
ITATIM,,,BA,,,,,,"67,55",,,,,,-,,,,,,,"67,55",,,,,,,"512,35",,,,,,,,
ITIRUCU,,,BA,,,,,,"67,55",,,,,,-,,,,,,,"67,55",,,,,,,"512,35",,,,,,,,
ITIUBA,,,BA,,,,,,"89,05",,,,,,-,,,,,,,"89,05",,,,,,,"675,38",,,,,,,,
JACOBINA,,,BA,,,,,,"107,47",,,,,,-,,,,,,,"107,47",,,,,,,"815,12",,,,,,,,
JAGUAQUARA,,,BA,,,,,,"95,19",,,,,,-,,,,,,,"95,19",,,,,,,"721,97",,,,,,,,
JAGUARIPE,,,BA,,,,,,"67,55",,,,,,-,,,,,,,"67,55",,,,,,,"512,35",,,,,,,,
JANDAIRA,,,BA,,,,,,"64,48",,,,,,-,,,,,,,"64,48",,,,,,,"489,06",,,,,,,,
JEQUIE,,,BA,,,,,,"122,83",,,,,,-,,,,,,,"122,83",,,,,,,"931,57",,,,,,,,
JEREMOABO,,,BA,,,,,,"89,05",,,,,,-,,,,,,,"89,05",,,,,,,"675,38",,,,,,,,
JIQUIRICA,,,BA,,,,,,"67,55",,,,,,-,,,,,,,"67,55",,,,,,,"512,35",,,,,,,,
JITAUNA,,,BA,,,,,,"79,84",,,,,,-,,,,,,,"79,84",,,,,,,"605,51",,,,,,,,
LAFAIETE COUTINHO,,,BA,,,,,,"61,41",,,,,,-,,,,,,,"61,41",,,,,,,"465,77",,,,,,,,
LAJE,,,BA,,,,,,"76,76",,,,,,-,,,,,,,"76,76",,,,,,,"582,22",,,,,,,,
LAJEDINHO,,,BA,,,,,,"61,41",,,,,,-,,,,,,,"61,41",,,,,,,"465,77",,,,,,,,
LAJEDO DO TABOCAL,,,BA,,,,,,"61,41",,,,,,-,,,,,,,"61,41",,,,,,,"465,77",,,,,,,,
LAMARAO,,,BA,,,,,,"61,41",,,,,,-,,,,,,,"61,41",,,,,,,"465,77",,,,,,,,
LAURO DE FREITAS,,,BA,,,,,,"116,68",,,,,,-,,,,,,,"116,68",,,,,,,"884,97",,,,,,,,
MACAJUBA,,,BA,,,,,,"64,48",,,,,,-,,,,,,,"64,48",,,,,,,"489,06",,,,,,,,
MACARANI,,,BA,,,,,,"70,62",,,,,,-,,,,,,,"70,62",,,,,,,"535,64",,,,,,,,
MADRE DE DEUS,,,BA,,,,,,"921.672,06",,,,,,"727.478,68",,,,,,,"1.649.150,74",,,,,,,"8.994.965,99",,,,,,,,
MAIQUINIQUE,,,BA,,,,,,"61,41",,,,,,-,,,,,,,"61,41",,,,,,,"465,77",,,,,,,,
MAIRI,,,BA,,,,,,"79,84",,,,,,-,,,,,,,"79,84",,,,,,,"605,51",,,,,,,,
MANOEL VITORINO,,,BA,,,,,,"73,69",,,,,,-,,,,,,,"73,69",,,,,,,"558,92",,,,,,,,
MARACAS,,,BA,,,,,,"85,98",,,,,,-,,,,,,,"85,98",,,,,,,"652,09",,,,,,,,
MARAGOGIPE,,,BA,,,,,,"95,19",,,,,,-,,,,,,,"95,19",,,,,,,"721,97",,,,,,,,
