ANTONIO CARDOSO-BA,,,,,,,,BA,,"1.193,02",,,,,,-,,,,,,"1.193,02",,,,,,,"8.472,14",,,,,,,,,
APORA-BA,,,,,,,,BA,,"1.301,48",,,,,,-,,,,,,"1.301,48",,,,,,,"9.197,64",,,,,,,,,
APUAREMA-BA,,,,,,,,BA,,"1.084,57",,,,,,-,,,,,,"1.084,57",,,,,,,"7.664,66",,,,,,,,,
ARACAS-BA,,,,,,,,BA,,"343.272,15",,,,,,"179.394,11",,,,,,"522.666,26",,,,,,,"4.165.635,05",,,,,,,,,
ARACI-BA,,,,,,,,BA,,"1.735,31",,,,,,-,,,,,,"1.735,31",,,,,,,"12.304,46",,,,,,,,,
ARAMARI-BA,,,,,,,,BA,,"2.521,52",,,,,,"603,52",,,,,,"3.125,04",,,,,,,"31.821,43",,,,,,,,,
ARATACA-BA,,,,,,,,BA,,"1.138,79",,,,,,-,,,,,,"1.138,79",,,,,,,"8.047,95",,,,,,,,,
ARATUIPE-BA,,,,,,,,BA,,"1.084,57",,,,,,-,,,,,,"1.084,57",,,,,,,"7.664,66",,,,,,,,,
AURELINO LEAL-BA,,,,,,,,BA,,"1.247,25",,,,,,-,,,,,,"1.247,25",,,,,,,"8.773,44",,,,,,,,,
BAIXA GRANDE-BA,,,,,,,,BA,,"1.409,94",,,,,,-,,,,,,"1.409,94",,,,,,,"9.964,07",,,,,,,,,
BANZAE-BA,,,,,,,,BA,,"1.138,79",,,,,,-,,,,,,"1.138,79",,,,,,,"8.047,95",,,,,,,,,
BARRA DO CHOCA-BA,,,,,,,,BA,,"1.572,62",,,,,,-,,,,,,"1.572,62",,,,,,,"11.031,84",,,,,,,,,
BARRA DO ROCHA-BA,,,,,,,,BA,,"1.084,57",,,,,,-,,,,,,"1.084,57",,,,,,,"7.664,66",,,,,,,,,
BARRO PRETO-BA,,,,,,,,BA,,"1.084,57",,,,,,-,,,,,,"1.084,57",,,,,,,"7.664,66",,,,,,,,,
BARROCAS-BA,,,,,,,,BA,,"1.193,02",,,,,,-,,,,,,"1.193,02",,,,,,,"8.431,14",,,,,,,,,
BELMONTE-BA,,,,,,,,BA,,"1.409,94",,,,,,-,,,,,,"1.409,94",,,,,,,"9.964,07",,,,,,,,,
BELO CAMPO-BA,,,,,,,,BA,,"1.247,25",,,,,,-,,,,,,"1.247,25",,,,,,,"8.773,44",,,,,,,,,
BIRITINGA-BA,,,,,,,,BA,,"1.193,02",,,,,,-,,,,,,"1.193,02",,,,,,,"8.390,14",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOA NOVA-BA,,,,,,,,BA,,"1.301,48",,,,,,-,,,,,,"1.301,48",,,,,,,"9.115,64",,,,,,,,,
BOA VISTA DO TUPIM-BA,,,,,,,,BA,,"1.301,48",,,,,,-,,,,,,"1.301,48",,,,,,,"9.156,63",,,,,,,,,
BOM JESUS DA SERRA-BA,,,,,,,,BA,,"1.138,79",,,,,,-,,,,,,"1.138,79",,,,,,,"8.047,95",,,,,,,,,
BREJOES-BA,,,,,,,,BA,,"1.193,02",,,,,,-,,,,,,"1.193,02",,,,,,,"8.390,14",,,,,,,,,
BUERAREMA-BA,,,,,,,,BA,,"1.355,71",,,,,,-,,,,,,"1.355,71",,,,,,,"9.580,84",,,,,,,,,
CAATIBA-BA,,,,,,,,BA,,"1.138,79",,,,,,-,,,,,,"1.138,79",,,,,,,"7.965,94",,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,,,,,BA,,"1.301,48",,,,,,-,,,,,,"1.301,48",,,,,,,"9.238,57",,,,,,,,,
CACHOEIRA-BA,,,,,,,,BA,,"1.572,62",,,,,,-,,,,,,"1.572,62",,,,,,,"11.154,77",,,,,,,,,
CAEM-BA,,,,,,,,BA,,"1.138,79",,,,,,-,,,,,,"1.138,79",,,,,,,"8.006,95",,,,,,,,,
CAETANOS-BA,,,,,,,,BA,,"1.193,02",,,,,,-,,,,,,"1.193,02",,,,,,,"8.431,14",,,,,,,,,
CAIRU-BA,,,,,,,,BA,,"40.746,00",,,,,,"426.198,39",,,,,,"466.944,39",,,,,,,"3.655.031,12",,,,,,,,,
CAMACAN-BA,,,,,,,,BA,,"1.518,39",,,,,,-,,,,,,"1.518,39",,,,,,,"10.730,55",,,,,,,,,
CAMACARI-BA,,,,,,,,BA,,"2.783,58",,,,,,"275,20",,,,,,"3.058,78",,,,,,,"23.962,54",,,,,,,,,
CAMAMU-BA,,,,,,,,BA,,"1.572,62",,,,,,-,,,,,,"1.572,62",,,,,,,"11.113,77",,,,,,,,,
CANAVIEIRAS-BA,,,,,,,,BA,,"1.572,62",,,,,,-,,,,,,"1.572,62",,,,,,,"11.113,77",,,,,,,,,
CANDEAL-BA,,,,,,,,BA,,"1.084,57",,,,,,-,,,,,,"1.084,57",,,,,,,"7.623,73",,,,,,,,,
CANDEIAS-BA,,,,,,,,BA,,"265.841,47",,,,,,"350.878,68",,,,,,"616.720,15",,,,,,,"4.952.789,23",,,,,,,,,
CANDIDO SALES-BA,,,,,,,,BA,,"1.464,17",,,,,,-,,,,,,"1.464,17",,,,,,,"10.306,35",,,,,,,,,
CANSANCAO-BA,,,,,,,,BA,,"1.572,62",,,,,,-,,,,,,"1.572,62",,,,,,,"11.154,77",,,,,,,,,
CANUDOS-BA,,,,,,,,BA,,"1.247,25",,,,,,-,,,,,,"1.247,25",,,,,,,"8.855,37",,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,,,,,BA,,"1.193,02",,,,,,-,,,,,,"1.193,02",,,,,,,"8.472,14",,,,,,,,,
CAPIM GROSSO-BA,,,,,,,,BA,,"1.464,17",,,,,,-,,,,,,"1.464,17",,,,,,,"10.388,28",,,,,,,,,
CARAVELAS-BA,,,,,,,,BA,,"1.409,94",,,,,,-,,,,,,"1.409,94",,,,,,,"9.964,07",,,,,,,,,
CARDEAL DA SILVA-BA,,,,,,,,BA,,"150.279,30",,,,,,"47.948,09",,,,,,"198.227,39",,,,,,,"1.548.546,29",,,,,,,,,
CASTRO ALVES-BA,,,,,,,,BA,,"1.464,17",,,,,,-,,,,,,"1.464,17",,,,,,,"10.347,35",,,,,,,,,
CATU-BA,,,,,,,,BA,,"366.897,58",,,,,,"225.234,91",,,,,,"592.132,49",,,,,,,"3.236.342,84",,,,,,,,,
