ELISIO MEDRADO-BA,,,,,,,,,BA,,,"730,03",,,,,-,,,,,,,"730,03",,,,,,"6.008,42",,,,,,,,,,
ENCRUZILHADA-BA,,,,,,,,,BA,,,"949,04",,,,,-,,,,,,,"949,04",,,,,,"7.810,95",,,,,,,,,,
ENTRE RIOS-BA,,,,,,,,,BA,,,"326.160,48",,,,,"210.604,76",,,,,,,"536.765,24",,,,,,"3.900.424,68",,,,,,,,,,
ESPLANADA-BA,,,,,,,,,BA,,,"587.583,07",,,,,"401.696,78",,,,,,,"989.279,85",,,,,,"7.874.334,98",,,,,,,,,,
EUCLIDES DA CUNHA-BA,,,,,,,,,BA,,,"1.204,55",,,,,-,,,,,,,"1.204,55",,,,,,"9.913,90",,,,,,,,,,
EUNAPOLIS-BA,,,,,,,,,BA,,,"1.350,56",,,,,-,,,,,,,"1.350,56",,,,,,"10.933,27",,,,,,,,,,
FATIMA-BA,,,,,,,,,BA,,,"876,04",,,,,-,,,,,,,"876,04",,,,,,"7.392,44",,,,,,,,,,
FEIRA DE SANTANA-BA,,,,,,,,,BA,,,"1.460,06",,,,,-,,,,,,,"1.460,06",,,,,,"12.016,86",,,,,,,,,,
FIRMINO ALVES-BA,,,,,,,,,BA,,,"730,03",,,,,-,,,,,,,"730,03",,,,,,"6.008,42",,,,,,,,,,
FLORESTA AZUL-BA,,,,,,,,,BA,,,"766,53",,,,,-,,,,,,,"766,53",,,,,,"6.308,84",,,,,,,,,,
GANDU-BA,,,,,,,,,BA,,,"1.022,04",,,,,-,,,,,,,"1.022,04",,,,,,"8.411,79",,,,,,,,,,
GAVIAO-BA,,,,,,,,,BA,,,"730,03",,,,,-,,,,,,,"730,03",,,,,,"6.008,42",,,,,,,,,,
GLORIA-BA,,,,,,,,,BA,,,"839,53",,,,,-,,,,,,,"839,53",,,,,,"6.727,35",,,,,,,,,,
GONGOGI-BA,,,,,,,,,BA,,,"730,03",,,,,-,,,,,,,"730,03",,,,,,"6.008,42",,,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,,,,,,BA,,,"912,54",,,,,-,,,,,,,"912,54",,,,,,"7.510,53",,,,,,,,,,
GUARATINGA-BA,,,,,,,,,BA,,,"949,04",,,,,-,,,,,,,"949,04",,,,,,"7.810,95",,,,,,,,,,
HELIOPOLIS-BA,,,,,,,,,BA,,,"803,03",,,,,-,,,,,,,"803,03",,,,,,"6.791,58",,,,,,,,,,
IACU-BA,,,,,,,,,BA,,,"985,54",,,,,-,,,,,,,"985,54",,,,,,"8.111,37",,,,,,,,,,
IBICARAI-BA,,,,,,,,,BA,,,"985,54",,,,,-,,,,,,,"985,54",,,,,,"8.111,37",,,,,,,,,,
IBICUI-BA,,,,,,,,,BA,,,"839,53",,,,,-,,,,,,,"839,53",,,,,,"6.909,68",,,,,,,,,,
