CRAVOLANDIA-BA,,,BA,,,,"74,75",,,,,,-,,,,,"74,75",,,,,"74,75",,,,,,,,,
CRISOPOLIS-BA,,,BA,,,,"93,44",,,,,,-,,,,,"93,44",,,,,"93,44",,,,,,,,,
CRUZ DAS ALMAS-BA,,,BA,,,,"119,60",,,,,,-,,,,,"119,60",,,,,"119,60",,,,,,,,,
DARIO MEIRA-BA,,,BA,,,,"85,96",,,,,,-,,,,,"85,96",,,,,"85,96",,,,,,,,,
DIAS D'AVILA-BA,,,BA,,,,"115,86",,,,,,-,,,,,"115,86",,,,,"115,86",,,,,,,,,
DOM MACEDO COSTA-BA,,,BA,,,,"74,75",,,,,,-,,,,,"74,75",,,,,"74,75",,,,,,,,,
ELISIO MEDRADO-BA,,,BA,,,,"74,75",,,,,,-,,,,,"74,75",,,,,"74,75",,,,,,,,,
ENCRUZILHADA-BA,,,BA,,,,"108,39",,,,,,-,,,,,"108,39",,,,,"108,39",,,,,,,,,
ENTRE RIOS-BA,,,BA,,,,"237.127,00",,,,,,"144.572,55",,,,,"381.699,55",,,,,"381.699,55",,,,,,,,,
ESPLANADA-BA,,,BA,,,,"449.000,25",,,,,,"277.488,77",,,,,"726.489,02",,,,,"726.489,02",,,,,,,,,
EUCLIDES DA CUNHA-BA,,,BA,,,,"119,60",,,,,,-,,,,,"119,60",,,,,"119,60",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FATIMA-BA,,,BA,,,,"93,44",,,,,,-,,,,,"93,44",,,,,"93,44",,,,,,,,,
FEIRA DE SANTANA-BA,,,BA,,,,"149,50",,,,,,-,,,,,"149,50",,,,,"149,50",,,,,,,,,
GAVIAO-BA,,,BA,,,,"74,75",,,,,,-,,,,,"74,75",,,,,"74,75",,,,,,,,,
GLORIA-BA,,,BA,,,,"85,96",,,,,,-,,,,,"85,96",,,,,"85,96",,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,BA,,,,"89,70",,,,,,-,,,,,"89,70",,,,,"89,70",,,,,,,,,
HELIOPOLIS-BA,,,BA,,,,"82,22",,,,,,-,,,,,"82,22",,,,,"82,22",,,,,,,,,
IACU-BA,,,BA,,,,"104,65",,,,,,-,,,,,"104,65",,,,,"104,65",,,,,,,,,
IBIQUERA-BA,,,BA,,,,"74,75",,,,,,-,,,,,"74,75",,,,,"74,75",,,,,,,,,
ICHU-BA,,,BA,,,,"74,75",,,,,,-,,,,,"74,75",,,,,"74,75",,,,,,,,,
INHAMBUPE-BA,,,BA,,,,"104,65",,,,,,-,,,,,"104,65",,,,,"104,65",,,,,,,,,
IPECAETA-BA,,,BA,,,,"93,44",,,,,,-,,,,,"93,44",,,,,"93,44",,,,,,,,,
IPIRA-BA,,,BA,,,,"123,34",,,,,,-,,,,,"123,34",,,,,"123,34",,,,,,,,,
