ANAGE-BA,,,,,BA,,,,"113,04",,,,,-,,,,,,"113,04",,,,,,"1.017,63",,,,,,,,,,
ANGUERA-BA,,,,,BA,,,,"80,74",,,,,-,,,,,,"80,74",,,,,,"726,84",,,,,,,,,,
ANTAS-BA,,,,,BA,,,,"92,85",,,,,-,,,,,,"92,85",,,,,,"835,89",,,,,,,,,,
ANTONIO CARDOSO-BA,,,,,BA,,,,"84,78",,,,,-,,,,,,"84,78",,,,,,"763,21",,,,,,,,,,
APORA-BA,,,,,BA,,,,"96,89",,,,,-,,,,,,"96,89",,,,,,"872,23",,,,,,,,,,
APUAREMA-BA,,,,,BA,,,,"80,74",,,,,-,,,,,,"80,74",,,,,,"726,84",,,,,,,,,,
ARACAS-BA,,,,,BA,,,,"265.538,51",,,,,"117.237,85",,,,,,"382.776,36",,,,,,"3.182.624,77",,,,,,,,,,
ARACI-BA,,,,,BA,,,,"125,15",,,,,-,,,,,,"125,15",,,,,,"1.126,64",,,,,,,,,,
ARAMARI-BA,,,,,BA,,,,"80,74",,,,,-,,,,,,"80,74",,,,,,"726,84",,,,,,,,,,
ARATUIPE-BA,,,,,BA,,,,"80,74",,,,,-,,,,,,"80,74",,,,,,"726,84",,,,,,,,,,
BAIXA GRANDE-BA,,,,,BA,,,,"104,96",,,,,-,,,,,,"104,96",,,,,,"944,92",,,,,,,,,,
BANZAE-BA,,,,,BA,,,,"84,78",,,,,-,,,,,,"84,78",,,,,,"763,21",,,,,,,,,,
BARRA DO CHOCA-BA,,,,,BA,,,,"125,15",,,,,-,,,,,,"125,15",,,,,,"1.126,64",,,,,,,,,,
BARROCAS-BA,,,,,BA,,,,"88,81",,,,,-,,,,,,"88,81",,,,,,"799,55",,,,,,,,,,
BELO CAMPO-BA,,,,,BA,,,,"96,89",,,,,-,,,,,,"96,89",,,,,,"872,23",,,,,,,,,,
BIRITINGA-BA,,,,,BA,,,,"92,85",,,,,-,,,,,,"92,85",,,,,,"9.170,83",,,,,,,,,,
BOA NOVA-BA,,,,,BA,,,,"104,96",,,,,-,,,,,,"104,96",,,,,,"944,92",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOA VISTA DO TUPIM-BA,,,,,BA,,,,"100,93",,,,,-,,,,,,"100,93",,,,,,"908,57",,,,,,,,,,
BOM JESUS DA SERRA-BA,,,,,BA,,,,"84,78",,,,,-,,,,,,"84,78",,,,,,"763,21",,,,,,,,,,
BREJOES-BA,,,,,BA,,,,"92,85",,,,,-,,,,,,"92,85",,,,,,"835,89",,,,,,,,,,
CAATIBA-BA,,,,,BA,,,,"92,85",,,,,-,,,,,,"92,85",,,,,,"835,89",,,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,,BA,,,,"92,85",,,,,-,,,,,,"92,85",,,,,,"835,89",,,,,,,,,,
CACHOEIRA-BA,,,,,BA,,,,"113,04",,,,,-,,,,,,"113,04",,,,,,"1.017,63",,,,,,,,,,
CAEM-BA,,,,,BA,,,,"88,81",,,,,-,,,,,,"88,81",,,,,,"799,55",,,,,,,,,,
CAETANOS-BA,,,,,BA,,,,"88,81",,,,,-,,,,,,"88,81",,,,,,"799,55",,,,,,,,,,
CAMACARI-BA,,,,,BA,,,,"658,23",,,,,"283,14",,,,,,"941,37",,,,,,"7.528,56",,,,,,,,,,
CANDEAL-BA,,,,,BA,,,,"84,78",,,,,-,,,,,,"84,78",,,,,,"763,21",,,,,,,,,,
CANDEIAS-BA,,,,,BA,,,,"258.816,13",,,,,"315.534,75",,,,,,"574.350,88",,,,,,"4.734.891,61",,,,,,,,,,
CANDIDO SALES-BA,,,,,BA,,,,"113,04",,,,,-,,,,,,"113,04",,,,,,"1.017,63",,,,,,,,,,
CANSANCAO-BA,,,,,BA,,,,"113,04",,,,,-,,,,,,"113,04",,,,,,"1.017,63",,,,,,,,,,
CANUDOS-BA,,,,,BA,,,,"88,81",,,,,-,,,,,,"88,81",,,,,,"799,55",,,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,,BA,,,,"84,78",,,,,-,,,,,,"84,78",,,,,,"763,21",,,,,,,,,,
CAPIM GROSSO-BA,,,,,BA,,,,"104,96",,,,,-,,,,,,"104,96",,,,,,"944,92",,,,,,,,,,
CARDEAL DA SILVA-BA,,,,,BA,,,,"164.013,81",,,,,"47.927,83",,,,,,"211.941,64",,,,,,"1.767.620,39",,,,,,,,,,
CASTRO ALVES-BA,,,,,BA,,,,"109,00",,,,,-,,,,,,"109,00",,,,,,"981,25",,,,,,,,,,
CATU-BA,,,,,BA,,,,"235.357,44",,,,,"111.974,23",,,,,,"347.331,67",,,,,,"3.185.410,47",,,,,,,,,,
CICERO DANTAS-BA,,,,,BA,,,,"113,04",,,,,-,,,,,,"113,04",,,,,,"1.017,63",,,,,,,,,,
CIPO-BA,,,,,BA,,,,"92,85",,,,,-,,,,,,"92,85",,,,,,"835,89",,,,,,,,,,
CONCEICAO DA FEIRA-BA,,,,,BA,,,,"96,89",,,,,-,,,,,,"96,89",,,,,,"872,23",,,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,,BA,,,,"100,93",,,,,-,,,,,,"100,93",,,,,,"908,57",,,,,,,,,,
CONCEICAO DO COITE-BA,,,,,BA,,,,"133,22",,,,,-,,,,,,"133,22",,,,,,"1.199,34",,,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,,BA,,,,"109,00",,,,,-,,,,,,"109,00",,,,,,"981,25",,,,,,,,,,
CONDE-BA,,,,,BA,,,,"178,14",,,,,"47,20",,,,,,"225,34",,,,,,"1.995,15",,,,,,,,,,
CORACAO DE MARIA-BA,,,,,BA,,,,"104,96",,,,,-,,,,,,"104,96",,,,,,"944,92",,,,,,,,,,
CORONEL JOAO SA-BA,,,,,BA,,,,"100,93",,,,,-,,,,,,"100,93",,,,,,"908,57",,,,,,,,,,
CRAVOLANDIA-BA,,,,,BA,,,,"80,74",,,,,-,,,,,,"80,74",,,,,,"726,84",,,,,,,,,,
CRISOPOLIS-BA,,,,,BA,,,,"100,93",,,,,-,,,,,,"100,93",,,,,,"908,57",,,,,,,,,,
CRUZ DAS ALMAS-BA,,,,,BA,,,,"129,19",,,,,-,,,,,,"129,19",,,,,,"1.162,99",,,,,,,,,,
DARIO MEIRA-BA,,,,,BA,,,,"92,85",,,,,-,,,,,,"92,85",,,,,,"835,89",,,,,,,,,,
DIAS D'AVILA-BA,,,,,BA,,,,"125,15",,,,,-,,,,,,"125,15",,,,,,"1.151,99",,,,,,,,,,
DOM MACEDO COSTA-BA,,,,,BA,,,,"80,74",,,,,-,,,,,,"80,74",,,,,,"726,84",,,,,,,,,,
ELISIO MEDRADO-BA,,,,,BA,,,,"80,74",,,,,-,,,,,,"80,74",,,,,,"726,84",,,,,,,,,,
ENCRUZILHADA-BA,,,,,BA,,,,"117,07",,,,,-,,,,,,"117,07",,,,,,"1.053,96",,,,,,,,,,
ENTRE RIOS-BA,,,,,BA,,,,"275.117,50",,,,,"168.396,51",,,,,,"443.514,01",,,,,,"3.794.598,17",,,,,,,,,,
ESPLANADA-BA,,,,,BA,,,,"508.114,01",,,,,"308.924,40",,,,,,"817.038,41",,,,,,"6.825.581,41",,,,,,,,,,
EUCLIDES DA CUNHA-BA,,,,,BA,,,,"129,19",,,,,-,,,,,,"129,19",,,,,,"1.162,99",,,,,,,,,,
FATIMA-BA,,,,,BA,,,,"100,93",,,,,-,,,,,,"100,93",,,,,,"908,57",,,,,,,,,,
FEIRA DE SANTANA-BA,,,,,BA,,,,"161,48",,,,,-,,,,,,"161,48",,,,,,"1.453,74",,,,,,,,,,
GAVIAO-BA,,,,,BA,,,,"80,74",,,,,-,,,,,,"80,74",,,,,,"726,84",,,,,,,,,,
GLORIA-BA,,,,,BA,,,,"92,85",,,,,-,,,,,,"92,85",,,,,,"835,89",,,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,,BA,,,,"96,89",,,,,-,,,,,,"96,89",,,,,,"872,23",,,,,,,,,,
HELIOPOLIS-BA,,,,,BA,,,,"88,81",,,,,-,,,,,,"88,81",,,,,,"799,55",,,,,,,,,,
IACU-BA,,,,,BA,,,,"113,04",,,,,-,,,,,,"113,04",,,,,,"1.017,63",,,,,,,,,,
IBIQUERA-BA,,,,,BA,,,,"80,74",,,,,-,,,,,,"80,74",,,,,,"726,84",,,,,,,,,,
ICHU-BA,,,,,BA,,,,"80,74",,,,,-,,,,,,"80,74",,,,,,"726,84",,,,,,,,,,
INHAMBUPE-BA,,,,,BA,,,,"608,56",,,,,"252,71",,,,,,"861,27",,,,,,"23.709,37",,,,,,,,,,
IPECAETA-BA,,,,,BA,,,,"100,93",,,,,-,,,,,,"100,93",,,,,,"908,57",,,,,,,,,,
IPIRA-BA,,,,,BA,,,,"133,22",,,,,-,,,,,,"133,22",,,,,,"1.199,34",,,,,,,,,,
IRAJUBA-BA,,,,,BA,,,,"80,74",,,,,-,,,,,,"80,74",,,,,,"726,84",,,,,,,,,,
IRARA-BA,,,,,BA,,,,"109,00",,,,,-,,,,,,"109,00",,,,,,"981,25",,,,,,,,,,
ITABERABA-BA,,,,,BA,,,,"133,22",,,,,-,,,,,,"133,22",,,,,,"1.199,34",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITAGI-BA,,,,,BA,,,,"92,85",,,,,-,,,,,,"92,85",,,,,,"835,89",,,,,,,,,,
ITAMBE-BA,,,,,BA,,,,"113,04",,,,,-,,,,,,"113,04",,,,,,"1.017,63",,,,,,,,,,
ITANAGRA-BA,,,,,BA,,,,"105.525,01",,,,,"11.955,24",,,,,,"117.480,25",,,,,,"1.000.605,88",,,,,,,,,,
ITAPARICA-BA,,,,,BA,,,,"2.793,06",,,,,"177.182,88",,,,,,"179.975,94",,,,,,"1.425.548,20",,,,,,,,,,
ITAPETINGA-BA,,,,,BA,,,,"133,22",,,,,-,,,,,,"133,22",,,,,,"1.199,34",,,,,,,,,,
ITAPICURU-BA,,,,,BA,,,,"109,00",,,,,-,,,,,,"109,00",,,,,,"981,25",,,,,,,,,,
ITAQUARA-BA,,,,,BA,,,,"80,74",,,,,-,,,,,,"80,74",,,,,,"726,84",,,,,,,,,,
ITARANTIM-BA,,,,,BA,,,,"96,89",,,,,-,,,,,,"96,89",,,,,,"872,23",,,,,,,,,,
ITATIM-BA,,,,,BA,,,,"88,81",,,,,-,,,,,,"88,81",,,,,,"799,55",,,,,,,,,,
ITIRUCU-BA,,,,,BA,,,,"88,81",,,,,-,,,,,,"88,81",,,,,,"799,55",,,,,,,,,,
ITIUBA-BA,,,,,BA,,,,"117,07",,,,,-,,,,,,"117,07",,,,,,"1.053,96",,,,,,,,,,
JACOBINA-BA,,,,,BA,,,,"141,30",,,,,-,,,,,,"141,30",,,,,,"1.272,03",,,,,,,,,,
JAGUAQUARA-BA,,,,,BA,,,,"125,15",,,,,-,,,,,,"125,15",,,,,,"1.126,64",,,,,,,,,,
JAGUARIPE-BA,,,,,BA,,,,"88,81",,,,,-,,,,,,"88,81",,,,,,"799,55",,,,,,,,,,
JANDAIRA-BA,,,,,BA,,,,"84,78",,,,,-,,,,,,"84,78",,,,,,"763,21",,,,,,,,,,
JEQUIE-BA,,,,,BA,,,,"161,48",,,,,-,,,,,,"161,48",,,,,,"1.453,74",,,,,,,,,,
JEREMOABO-BA,,,,,BA,,,,"117,07",,,,,-,,,,,,"117,07",,,,,,"1.053,96",,,,,,,,,,
JIQUIRICA-BA,,,,,BA,,,,"88,81",,,,,-,,,,,,"88,81",,,,,,"799,55",,,,,,,,,,
JITAUNA-BA,,,,,BA,,,,"104,96",,,,,-,,,,,,"104,96",,,,,,"944,92",,,,,,,,,,
LAFAIETE COUTINHO-BA,,,,,BA,,,,"80,74",,,,,-,,,,,,"80,74",,,,,,"726,84",,,,,,,,,,
LAJE-BA,,,,,BA,,,,"100,93",,,,,-,,,,,,"100,93",,,,,,"908,57",,,,,,,,,,
LAJEDINHO-BA,,,,,BA,,,,"80,74",,,,,-,,,,,,"80,74",,,,,,"726,84",,,,,,,,,,
LAJEDO DO TABOCAL-BA,,,,,BA,,,,"80,74",,,,,-,,,,,,"80,74",,,,,,"726,84",,,,,,,,,,
LAMARAO-BA,,,,,BA,,,,"80,74",,,,,-,,,,,,"80,74",,,,,,"726,84",,,,,,,,,,
LAURO DE FREITAS-BA,,,,,BA,,,,"153,41",,,,,-,,,,,,"153,41",,,,,,"1.381,07",,,,,,,,,,
MACAJUBA-BA,,,,,BA,,,,"84,78",,,,,-,,,,,,"84,78",,,,,,"763,21",,,,,,,,,,
MACARANI-BA,,,,,BA,,,,"92,85",,,,,-,,,,,,"92,85",,,,,,"835,89",,,,,,,,,,
MADRE DE DEUS-BA,,,,,BA,,,,"1.519.181,35",,,,,"813.536,52",,,,,,"2.332.717,87",,,,,,"17.997.024,40",,,,,,,,,,
MAIQUINIQUE-BA,,,,,BA,,,,"80,74",,,,,-,,,,,,"80,74",,,,,,"726,84",,,,,,,,,,
MAIRI-BA,,,,,BA,,,,"104,96",,,,,-,,,,,,"104,96",,,,,,"944,92",,,,,,,,,,
MANOEL VITORINO-BA,,,,,BA,,,,"96,89",,,,,-,,,,,,"96,89",,,,,,"872,23",,,,,,,,,,
MARACAS-BA,,,,,BA,,,,"113,04",,,,,-,,,,,,"113,04",,,,,,"1.017,63",,,,,,,,,,
MARAGOGIPE-BA,,,,,BA,,,,"125,15",,,,,-,,,,,,"125,15",,,,,,"1.126,64",,,,,,,,,,
MARCIONILIO SOUZA-BA,,,,,BA,,,,"84,78",,,,,-,,,,,,"84,78",,,,,,"763,21",,,,,,,,,,
MATA DE SAO JOAO-BA,,,,,BA,,,,"197.160,56",,,,,"83.125,19",,,,,,"280.285,75",,,,,,"2.388.218,46",,,,,,,,,,
MIGUEL CALMON-BA,,,,,BA,,,,"113,04",,,,,-,,,,,,"113,04",,,,,,"1.017,63",,,,,,,,,,
MILAGRES-BA,,,,,BA,,,,"88,81",,,,,-,,,,,,"88,81",,,,,,"799,55",,,,,,,,,,
MIRANTE-BA,,,,,BA,,,,"88,81",,,,,-,,,,,,"88,81",,,,,,"799,55",,,,,,,,,,
MONTE SANTO-BA,,,,,BA,,,,"129,19",,,,,-,,,,,,"129,19",,,,,,"1.162,99",,,,,,,,,,
MUNDO NOVO-BA,,,,,BA,,,,"104,96",,,,,-,,,,,,"104,96",,,,,,"944,92",,,,,,,,,,
MUNIZ FERREIRA-BA,,,,,BA,,,,"80,74",,,,,-,,,,,,"80,74",,,,,,"726,84",,,,,,,,,,
MURITIBA-BA,,,,,BA,,,,"113,04",,,,,-,,,,,,"113,04",,,,,,"1.017,63",,,,,,,,,,
MUTUIPE-BA,,,,,BA,,,,"104,96",,,,,-,,,,,,"104,96",,,,,,"944,92",,,,,,,,,,
NAZARE-BA,,,,,BA,,,,"109,00",,,,,-,,,,,,"109,00",,,,,,"981,25",,,,,,,,,,
NORDESTINA-BA,,,,,BA,,,,"84,78",,,,,-,,,,,,"84,78",,,,,,"763,21",,,,,,,,,,
NOVA CANAA-BA,,,,,BA,,,,"92,85",,,,,-,,,,,,"92,85",,,,,,"835,89",,,,,,,,,,
NOVA FATIMA-BA,,,,,BA,,,,"80,74",,,,,-,,,,,,"80,74",,,,,,"726,84",,,,,,,,,,
NOVA ITARANA-BA,,,,,BA,,,,"80,74",,,,,-,,,,,,"80,74",,,,,,"726,84",,,,,,,,,,
NOVA SOURE-BA,,,,,BA,,,,"109,00",,,,,-,,,,,,"109,00",,,,,,"981,25",,,,,,,,,,
NOVO TRIUNFO-BA,,,,,BA,,,,"88,81",,,,,-,,,,,,"88,81",,,,,,"799,55",,,,,,,,,,
OLINDINA-BA,,,,,BA,,,,"104,96",,,,,-,,,,,,"104,96",,,,,,"944,92",,,,,,,,,,
OURICANGAS-BA,,,,,BA,,,,"80,74",,,,,-,,,,,,"80,74",,,,,,"726,84",,,,,,,,,,
OUROLANDIA-BA,,,,,BA,,,,"92,85",,,,,-,,,,,,"92,85",,,,,,"835,89",,,,,,,,,,
PARIPIRANGA-BA,,,,,BA,,,,"109,00",,,,,-,,,,,,"109,00",,,,,,"981,25",,,,,,,,,,
