JIQUIRICA-BA,,,,,BA,,,,,"25,56",,,,,,,,-,,,,,,"25,56",,,,,,,,"195,79"
JITAUNA-BA,,,,,BA,,,,,"27,88",,,,,,,,-,,,,,,"27,88",,,,,,,,"213,66"
LAFAIETE COUTINHO-BA,,,,,BA,,,,,"23,24",,,,,,,,-,,,,,,"23,24",,,,,,,,"178,29"
LAJE-BA,,,,,BA,,,,,"29,05",,,,,,,,-,,,,,,"29,05",,,,,,,,"222,48"
LAJEDINHO-BA,,,,,BA,,,,,"23,24",,,,,,,,-,,,,,,"23,24",,,,,,,,"177,92"
LAJEDO DO TABOCAL-BA,,,,,BA,,,,,"23,24",,,,,,,,-,,,,,,"23,24",,,,,,,,"178,29"
LAMARAO-BA,,,,,BA,,,,,"24,40",,,,,,,,-,,,,,,"24,40",,,,,,,,"186,72"
LAURO DE FREITAS-BA,,,,,BA,,,,,"42,99",,,,,,,,-,,,,,,"42,99",,,,,,,,"328,99"
MACAJUBA-BA,,,,,BA,,,,,"24,40",,,,,,,,-,,,,,,"24,40",,,,,,,,"186,72"
MACARANI-BA,,,,,BA,,,,,"27,88",,,,,,,,-,,,,,,"27,88",,,,,,,,"213,66"
MADRE DE DEUS-BA,,,,,BA,,,,,"131.229,19",,,,,,,,"188.494,81",,,,,,"319.724,00",,,,,,,,"2.277.285,11"
MAIQUINIQUE-BA,,,,,BA,,,,,"23,24",,,,,,,,-,,,,,,"23,24",,,,,,,,"178,29"
MAIRI-BA,,,,,BA,,,,,"29,05",,,,,,,,-,,,,,,"29,05",,,,,,,,"222,48"
MANOEL VITORINO-BA,,,,,BA,,,,,"26,72",,,,,,,,-,,,,,,"26,72",,,,,,,,"204,57"
MARACAS-BA,,,,,BA,,,,,"32,53",,,,,,,,-,,,,,,"32,53",,,,,,,,"249,08"
MARAGOGIPE-BA,,,,,BA,,,,,"33,69",,,,,,,,-,,,,,,"33,69",,,,,,,,"258,16"
MARCIONILIO SOUZA-BA,,,,,BA,,,,,"25,56",,,,,,,,-,,,,,,"25,56",,,,,,,,"195,79"
MATA DE SAO JOAO-BA,,,,,BA,,,,,"52.453,20",,,,,,,,"21.751,62",,,,,,"74.204,82",,,,,,,,"613.543,59"
MIGUEL CALMON-BA,,,,,BA,,,,,"33,69",,,,,,,,-,,,,,,"33,69",,,,,,,,"258,16"
MILAGRES-BA,,,,,BA,,,,,"25,56",,,,,,,,-,,,,,,"25,56",,,,,,,,"195,79"
MIRANTE-BA,,,,,BA,,,,,"24,40",,,,,,,,-,,,,,,"24,40",,,,,,,,"186,72"
MONTE SANTO-BA,,,,,BA,,,,,"37,18",,,,,,,,-,,,,,,"37,18",,,,,,,,"284,79"
MUNDO NOVO-BA,,,,,BA,,,,,"30,21",,,,,,,,-,,,,,,"30,21",,,,,,,,"231,21"
MUNIZ FERREIRA-BA,,,,,BA,,,,,"23,24",,,,,,,,-,,,,,,"23,24",,,,,,,,"178,29"
MURITIBA-BA,,,,,BA,,,,,"31,37",,,,,,,,-,,,,,,"31,37",,,,,,,,"240,35"
MUTUIPE-BA,,,,,BA,,,,,"29,05",,,,,,,,-,,,,,,"29,05",,,,,,,,"222,48"
NAZARE-BA,,,,,BA,,,,,"31,37",,,,,,,,-,,,,,,"31,37",,,,,,,,"240,35"
NORDESTINA-BA,,,,,BA,,,,,"24,40",,,,,,,,-,,,,,,"24,40",,,,,,,,"186,72"
NOVA CANAA-BA,,,,,BA,,,,,"25,56",,,,,,,,-,,,,,,"25,56",,,,,,,,"195,79"
NOVA FATIMA-BA,,,,,BA,,,,,"23,24",,,,,,,,-,,,,,,"23,24",,,,,,,,"178,29"
NOVA ITARANA-BA,,,,,BA,,,,,"23,24",,,,,,,,-,,,,,,"23,24",,,,,,,,"178,29"
NOVA SOURE-BA,,,,,BA,,,,,"30,21",,,,,,,,-,,,,,,"30,21",,,,,,,,"231,21"
