IACU-BA,,,,,BA,,,,"1.068,50",,,,,,,-,,,,,,,,"1.068,50",,,,,,"6.047,25",,,,,,,,,
IBICARAI-BA,,,,,BA,,,,"1.068,50",,,,,,,-,,,,,,,,"1.068,50",,,,,,"5.892,31",,,,,,,,,
IBICUI-BA,,,,,BA,,,,"877,69",,,,,,,-,,,,,,,,"877,69",,,,,,"4.840,10",,,,,,,,,
IBIQUERA-BA,,,,,BA,,,,"763,21",,,,,,,-,,,,,,,,"763,21",,,,,,"4.319,44",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBIRAPITANGA-BA,,,,,BA,,,,"992,17",,,,,,,-,,,,,,,,"992,17",,,,,,"5.471,44",,,,,,,,,
IBIRAPUA-BA,,,,,BA,,,,"763,21",,,,,,,-,,,,,,,,"763,21",,,,,,"4.208,78",,,,,,,,,
IBIRATAIA-BA,,,,,BA,,,,"1.030,33",,,,,,,-,,,,,,,,"1.030,33",,,,,,"5.681,87",,,,,,,,,
ICHU-BA,,,,,BA,,,,"763,21",,,,,,,-,,,,,,,,"763,21",,,,,,"4.319,44",,,,,,,,,
IGRAPIUNA-BA,,,,,BA,,,,"877,69",,,,,,,-,,,,,,,,"877,69",,,,,,"4.840,10",,,,,,,,,
IGUAI-BA,,,,,BA,,,,"1.030,33",,,,,,,-,,,,,,,,"1.030,33",,,,,,"5.681,87",,,,,,,,,
ILHEUS-BA,,,,,BA,,,,"1.526,42",,,,,,,-,,,,,,,,"1.526,42",,,,,,"8.417,61",,,,,,,,,
INHAMBUPE-BA,,,,,BA,,,,"2.425,86",,,,,,,"692,25",,,,,,,,"3.118,11",,,,,,"25.409,08",,,,,,,,,
IPECAETA-BA,,,,,BA,,,,"954,01",,,,,,,-,,,,,,,,"954,01",,,,,,"5.399,33",,,,,,,,,
IPIAU-BA,,,,,BA,,,,"1.182,98",,,,,,,-,,,,,,,,"1.182,98",,,,,,"6.523,64",,,,,,,,,
IPIRA-BA,,,,,BA,,,,"1.259,30",,,,,,,-,,,,,,,,"1.259,30",,,,,,"7.127,14",,,,,,,,,
IRAJUBA-BA,,,,,BA,,,,"763,21",,,,,,,-,,,,,,,,"763,21",,,,,,"4.319,44",,,,,,,,,
IRARA-BA,,,,,BA,,,,"1.030,33",,,,,,,-,,,,,,,,"1.030,33",,,,,,"5.831,27",,,,,,,,,
ITABELA-BA,,,,,BA,,,,"1.030,33",,,,,,,-,,,,,,,,"1.030,33",,,,,,"5.681,87",,,,,,,,,
ITABERABA-BA,,,,,BA,,,,"1.259,30",,,,,,,-,,,,,,,,"1.259,30",,,,,,"7.127,14",,,,,,,,,
ITABUNA-BA,,,,,BA,,,,"1.526,42",,,,,,,-,,,,,,,,"1.526,42",,,,,,"8.417,61",,,,,,,,,
ITACARE-BA,,,,,BA,,,,"954,01",,,,,,,-,,,,,,,,"954,01",,,,,,"5.260,99",,,,,,,,,
ITAGI-BA,,,,,BA,,,,"877,69",,,,,,,-,,,,,,,,"877,69",,,,,,"4.967,38",,,,,,,,,
ITAGIBA-BA,,,,,BA,,,,"915,85",,,,,,,-,,,,,,,,"915,85",,,,,,"5.050,54",,,,,,,,,
ITAGIMIRIM-BA,,,,,BA,,,,"763,21",,,,,,,-,,,,,,,,"763,21",,,,,,"4.208,78",,,,,,,,,
ITAJU DO COLONIA-BA,,,,,BA,,,,"763,21",,,,,,,-,,,,,,,,"763,21",,,,,,"4.208,78",,,,,,,,,
ITAJUIPE-BA,,,,,BA,,,,"992,17",,,,,,,-,,,,,,,,"992,17",,,,,,"5.471,44",,,,,,,,,
ITAMARAJU-BA,,,,,BA,,,,"1.297,46",,,,,,,-,,,,,,,,"1.297,46",,,,,,"7.154,97",,,,,,,,,
ITAMARI-BA,,,,,BA,,,,"763,21",,,,,,,-,,,,,,,,"763,21",,,,,,"4.208,78",,,,,,,,,
ITAMBE-BA,,,,,BA,,,,"1.068,50",,,,,,,-,,,,,,,,"1.068,50",,,,,,"6.047,25",,,,,,,,,
