CICERO DANTAS-BA,,,BA,,,,"69,33",,,,,,,,-,,,,,,"69,33",,,,,"128,35",,,,,,,,
CIPO-BA,,,BA,,,,"56,95",,,,,,,,-,,,,,,"56,95",,,,,"105,43",,,,,,,,
CONCEICAO DA FEIRA-BA,,,BA,,,,"59,42",,,,,,,,-,,,,,,"59,42",,,,,"110,01",,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,BA,,,,"61,90",,,,,,,,-,,,,,,"61,90",,,,,"114,60",,,,,,,,
CONCEICAO DO COITE-BA,,,BA,,,,"81,70",,,,,,,,-,,,,,,"81,70",,,,,"151,26",,,,,,,,
CONCEICAO DO JACUIPE-BA,,,BA,,,,"66,85",,,,,,,,-,,,,,,"66,85",,,,,"123,76",,,,,,,,
CONDE-BA,,,BA,,,,"64,37",,,,,,,,-,,,,,,"64,37",,,,,"119,18",,,,,,,,
CORACAO DE MARIA-BA,,,BA,,,,"64,37",,,,,,,,-,,,,,,"64,37",,,,,"119,18",,,,,,,,
CORONEL JOAO SA-BA,,,BA,,,,"61,90",,,,,,,,-,,,,,,"61,90",,,,,"114,60",,,,,,,,
CRAVOLANDIA-BA,,,BA,,,,"49,52",,,,,,,,-,,,,,,"49,52",,,,,"91,68",,,,,,,,
CRISOPOLIS-BA,,,BA,,,,"61,90",,,,,,,,-,,,,,,"61,90",,,,,"114,60",,,,,,,,
CRUZ DAS ALMAS-BA,,,BA,,,,"79,23",,,,,,,,-,,,,,,"79,23",,,,,"146,68",,,,,,,,
DARIO MEIRA-BA,,,BA,,,,"56,95",,,,,,,,-,,,,,,"56,95",,,,,"105,43",,,,,,,,
DIAS D'AVILA-BA,,,BA,,,,"76,75",,,,,,,,-,,,,,,"76,75",,,,,"142,10",,,,,,,,
DOM MACEDO COSTA-BA,,,BA,,,,"49,52",,,,,,,,-,,,,,,"49,52",,,,,"91,68",,,,,,,,
ELISIO MEDRADO-BA,,,BA,,,,"49,52",,,,,,,,-,,,,,,"49,52",,,,,"91,68",,,,,,,,
ENCRUZILHADA-BA,,,BA,,,,"71,80",,,,,,,,-,,,,,,"71,80",,,,,"132,93",,,,,,,,
