CABACEIRAS DO PARAGUACU-BA,,,,,BA,,,,"845,49",,,,,,,,,-,,,,,,,"845,49",,,,,,"1.590,45",,,,,,,,,,
CACHOEIRA-BA,,,,,BA,,,,"1.020,32",,,,,,,,,-,,,,,,,"1.020,32",,,,,,"1.919,18",,,,,,,,,,
CAEM-BA,,,,,BA,,,,"727,98",,,,,,,,,-,,,,,,,"727,98",,,,,,"1.368,00",,,,,,,,,,
CAETANOS-BA,,,,,BA,,,,"769,25",,,,,,,,,-,,,,,,,"769,25",,,,,,"1.446,36",,,,,,,,,,
CAIRU-BA,,,,,BA,,,,"31.011,29",,,,,,,,,"322.439,85",,,,,,,"353.451,14",,,,,,"670.473,39",,,,,,,,,,
CAMACAN-BA,,,,,BA,,,,"979,05",,,,,,,,,-,,,,,,,"979,05",,,,,,"1.840,82",,,,,,,,,,
CAMACARI-BA,,,,,BA,,,,"2.651,41",,,,,,,,,"527,97",,,,,,,"3.179,38",,,,,,"6.056,97",,,,,,,,,,
CAMAMU-BA,,,,,BA,,,,"1.014,01",,,,,,,,,-,,,,,,,"1.014,01",,,,,,"1.906,56",,,,,,,,,,
CANAVIEIRAS-BA,,,,,BA,,,,"1.014,01",,,,,,,,,-,,,,,,,"1.014,01",,,,,,"1.906,56",,,,,,,,,,
CANDEAL-BA,,,,,BA,,,,"693,02",,,,,,,,,-,,,,,,,"693,02",,,,,,"1.302,27",,,,,,,,,,
CANDEIAS-BA,,,,,BA,,,,"227.533,98",,,,,,,,,"325.461,56",,,,,,,"552.995,54",,,,,,"1.072.309,57",,,,,,,,,,
CANDIDO SALES-BA,,,,,BA,,,,"937,78",,,,,,,,,-,,,,,,,"937,78",,,,,,"1.762,47",,,,,,,,,,
CANSANCAO-BA,,,,,BA,,,,"1.020,32",,,,,,,,,-,,,,,,,"1.020,32",,,,,,"1.919,18",,,,,,,,,,
CANUDOS-BA,,,,,BA,,,,"810,53",,,,,,,,,-,,,,,,,"810,53",,,,,,"1.524,72",,,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,,BA,,,,"775,56",,,,,,,,,-,,,,,,,"775,56",,,,,,"1.458,98",,,,,,,,,,
CAPIM GROSSO-BA,,,,,BA,,,,"950,39",,,,,,,,,-,,,,,,,"950,39",,,,,,"1.787,69",,,,,,,,,,
CARAVELAS-BA,,,,,BA,,,,"909,11",,,,,,,,,-,,,,,,,"909,11",,,,,,"1.709,32",,,,,,,,,,
CARDEAL DA SILVA-BA,,,,,BA,,,,"126.421,40",,,,,,,,,"36.112,95",,,,,,,"162.534,35",,,,,,"331.162,16",,,,,,,,,,
CASTRO ALVES-BA,,,,,BA,,,,"944,09",,,,,,,,,-,,,,,,,"944,09",,,,,,"1.775,09",,,,,,,,,,
CATU-BA,,,,,BA,,,,"191.099,22",,,,,,,,,"98.520,66",,,,,,,"289.619,88",,,,,,"633.182,42",,,,,,,,,,
CICERO DANTAS-BA,,,,,BA,,,,"979,05",,,,,,,,,-,,,,,,,"979,05",,,,,,"1.840,82",,,,,,,,,,
CIPO-BA,,,,,BA,,,,"804,22",,,,,,,,,-,,,,,,,"804,22",,,,,,"1.512,10",,,,,,,,,,
COARACI-BA,,,,,BA,,,,"902,81",,,,,,,,,-,,,,,,,"902,81",,,,,,"1.696,72",,,,,,,,,,
CONCEICAO DA FEIRA-BA,,,,,BA,,,,"880,46",,,,,,,,,-,,,,,,,"880,46",,,,,,"1.656,21",,,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,,BA,,,,"832,88",,,,,,,,,-,,,,,,,"832,88",,,,,,"1.565,23",,,,,,,,,,
CONCEICAO DO COITE-BA,,,,,BA,,,,"1.153,88",,,,,,,,,-,,,,,,,"1.153,88",,,,,,"2.169,54",,,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,,BA,,,,"944,09",,,,,,,,,-,,,,,,,"944,09",,,,,,"1.775,09",,,,,,,,,,
CONDE-BA,,,,,BA,,,,"3.680,44",,,,,,,,,"1.787,51",,,,,,,"5.467,95",,,,,,"11.370,37",,,,,,,,,,
CORACAO DE MARIA-BA,,,,,BA,,,,"909,11",,,,,,,,,-,,,,,,,"909,11",,,,,,"1.709,32",,,,,,,,,,
CORONEL JOAO SA-BA,,,,,BA,,,,"874,15",,,,,,,,,-,,,,,,,"874,15",,,,,,"1.643,59",,,,,,,,,,
CRAVOLANDIA-BA,,,,,BA,,,,"699,32",,,,,,,,,-,,,,,,,"699,32",,,,,,"1.314,87",,,,,,,,,,
CRISOPOLIS-BA,,,,,BA,,,,"874,15",,,,,,,,,-,,,,,,,"874,15",,,,,,"1.643,59",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRUZ DAS ALMAS-BA,,,,,BA,,,,"1.118,91",,,,,,,,,-,,,,,,,"1.118,91",,,,,,"2.103,79",,,,,,,,,,
DARIO MEIRA-BA,,,,,BA,,,,"762,94",,,,,,,,,-,,,,,,,"762,94",,,,,,"1.433,74",,,,,,,,,,
DIAS D'AVILA-BA,,,,,BA,,,,"1.125,22",,,,,,,,,-,,,,,,,"1.125,22",,,,,,"2.116,41",,,,,,,,,,
DOM MACEDO COSTA-BA,,,,,BA,,,,"699,32",,,,,,,,,-,,,,,,,"699,32",,,,,,"1.314,87",,,,,,,,,,
ELISIO MEDRADO-BA,,,,,BA,,,,"699,32",,,,,,,,,-,,,,,,,"699,32",,,,,,"1.314,87",,,,,,,,,,
ENCRUZILHADA-BA,,,,,BA,,,,"890,19",,,,,,,,,-,,,,,,,"890,19",,,,,,"1.671,48",,,,,,,,,,
ENTRE RIOS-BA,,,,,BA,,,,"235.040,27",,,,,,,,,"164.644,04",,,,,,,"399.684,31",,,,,,"793.758,79",,,,,,,,,,
ESPLANADA-BA,,,,,BA,,,,"745.568,80",,,,,,,,,"502.276,94",,,,,,,"1.247.845,74",,,,,,"2.499.473,75",,,,,,,,,,
EUCLIDES DA CUNHA-BA,,,,,BA,,,,"1.160,18",,,,,,,,,-,,,,,,,"1.160,18",,,,,,"2.182,14",,,,,,,,,,
EUNAPOLIS-BA,,,,,BA,,,,"1.258,77",,,,,,,,,-,,,,,,,"1.258,77",,,,,,"2.366,75",,,,,,,,,,
FATIMA-BA,,,,,BA,,,,"874,15",,,,,,,,,-,,,,,,,"874,15",,,,,,"1.643,59",,,,,,,,,,
FEIRA DE SANTANA-BA,,,,,BA,,,,"1.398,64",,,,,,,,,-,,,,,,,"1.398,64",,,,,,"2.629,74",,,,,,,,,,
FIRMINO ALVES-BA,,,,,BA,,,,"699,32",,,,,,,,,-,,,,,,,"699,32",,,,,,"1.314,87",,,,,,,,,,
FLORESTA AZUL-BA,,,,,BA,,,,"734,29",,,,,,,,,-,,,,,,,"734,29",,,,,,"1.380,62",,,,,,,,,,
GANDU-BA,,,,,BA,,,,"985,36",,,,,,,,,-,,,,,,,"985,36",,,,,,"1.853,44",,,,,,,,,,
GAVIAO-BA,,,,,BA,,,,"699,32",,,,,,,,,-,,,,,,,"699,32",,,,,,"1.314,87",,,,,,,,,,
GLORIA-BA,,,,,BA,,,,"762,94",,,,,,,,,-,,,,,,,"762,94",,,,,,"1.433,74",,,,,,,,,,
GONGOGI-BA,,,,,BA,,,,"693,02",,,,,,,,,-,,,,,,,"693,02",,,,,,"1.302,27",,,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,,BA,,,,"880,46",,,,,,,,,-,,,,,,,"880,46",,,,,,"1.656,21",,,,,,,,,,
GUARATINGA-BA,,,,,BA,,,,"902,81",,,,,,,,,-,,,,,,,"902,81",,,,,,"1.696,72",,,,,,,,,,
HELIOPOLIS-BA,,,,,BA,,,,"810,53",,,,,,,,,-,,,,,,,"810,53",,,,,,"1.524,72",,,,,,,,,,
IACU-BA,,,,,BA,,,,"937,78",,,,,,,,,-,,,,,,,"937,78",,,,,,"1.762,47",,,,,,,,,,
IBICARAI-BA,,,,,BA,,,,"937,78",,,,,,,,,-,,,,,,,"937,78",,,,,,"1.762,47",,,,,,,,,,
IBICUI-BA,,,,,BA,,,,"804,22",,,,,,,,,-,,,,,,,"804,22",,,,,,"1.512,10",,,,,,,,,,
IBIQUERA-BA,,,,,BA,,,,"699,32",,,,,,,,,-,,,,,,,"699,32",,,,,,"1.314,87",,,,,,,,,,
IBIRAPITANGA-BA,,,,,BA,,,,"909,11",,,,,,,,,-,,,,,,,"909,11",,,,,,"1.709,32",,,,,,,,,,
IBIRAPUA-BA,,,,,BA,,,,"699,32",,,,,,,,,-,,,,,,,"699,32",,,,,,"1.314,87",,,,,,,,,,
IBIRATAIA-BA,,,,,BA,,,,"902,81",,,,,,,,,-,,,,,,,"902,81",,,,,,"1.696,72",,,,,,,,,,
ICHU-BA,,,,,BA,,,,"699,32",,,,,,,,,-,,,,,,,"699,32",,,,,,"1.314,87",,,,,,,,,,
IGRAPIUNA-BA,,,,,BA,,,,"762,94",,,,,,,,,-,,,,,,,"762,94",,,,,,"1.433,74",,,,,,,,,,
IGUAI-BA,,,,,BA,,,,"944,09",,,,,,,,,-,,,,,,,"944,09",,,,,,"1.775,09",,,,,,,,,,
ILHEUS-BA,,,,,BA,,,,"1.398,64",,,,,,,,,-,,,,,,,"1.398,64",,,,,,"2.629,74",,,,,,,,,,
INHAMBUPE-BA,,,,,BA,,,,"2.508,86",,,,,,,,,"759,15",,,,,,,"3.268,01",,,,,,"6.342,91",,,,,,,,,,
IPECAETA-BA,,,,,BA,,,,"832,88",,,,,,,,,-,,,,,,,"832,88",,,,,,"1.565,23",,,,,,,,,,
IPIAU-BA,,,,,BA,,,,"1.083,95",,,,,,,,,-,,,,,,,"1.083,95",,,,,,"2.038,05",,,,,,,,,,
IPIRA-BA,,,,,BA,,,,"1.153,88",,,,,,,,,-,,,,,,,"1.153,88",,,,,,"2.169,54",,,,,,,,,,
IRAJUBA-BA,,,,,BA,,,,"699,32",,,,,,,,,-,,,,,,,"699,32",,,,,,"1.314,87",,,,,,,,,,
IRARA-BA,,,,,BA,,,,"944,09",,,,,,,,,-,,,,,,,"944,09",,,,,,"1.775,09",,,,,,,,,,
ITABELA-BA,,,,,BA,,,,"944,09",,,,,,,,,-,,,,,,,"944,09",,,,,,"1.775,09",,,,,,,,,,
ITABERABA-BA,,,,,BA,,,,"1.153,88",,,,,,,,,-,,,,,,,"1.153,88",,,,,,"2.169,54",,,,,,,,,,
ITABUNA-BA,,,,,BA,,,,"1.398,64",,,,,,,,,-,,,,,,,"1.398,64",,,,,,"2.629,74",,,,,,,,,,
ITACARE-BA,,,,,BA,,,,"956,70",,,,,,,,,-,,,,,,,"956,70",,,,,,"1.800,31",,,,,,,,,,
ITAGI-BA,,,,,BA,,,,"762,94",,,,,,,,,-,,,,,,,"762,94",,,,,,"1.433,74",,,,,,,,,,
ITAGIBA-BA,,,,,BA,,,,"839,19",,,,,,,,,-,,,,,,,"839,19",,,,,,"1.577,85",,,,,,,,,,
ITAGIMIRIM-BA,,,,,BA,,,,"699,32",,,,,,,,,-,,,,,,,"699,32",,,,,,"1.314,87",,,,,,,,,,
ITAJU DO COLONIA-BA,,,,,BA,,,,"699,32",,,,,,,,,-,,,,,,,"699,32",,,,,,"1.314,87",,,,,,,,,,
