CABACEIRAS DO PARAGUACU-BA,,,,,,,,,,BA,,"1.468,86",,,,,,,"0,01",,,,,,,,"1.468,87",,,,,,,"16.879,31",,,,,,,,
CACHOEIRA-BA,,,,,,,,,,BA,,"1.774,87",,,,,,,"0,01",,,,,,,,"1.774,88",,,,,,,"20.395,86",,,,,,,,
CAEM-BA,,,,,,,,,,BA,,"1.285,25",,,,,,,"0,01",,,,,,,,"1.285,26",,,,,,,"14.769,40",,,,,,,,
CAETANOS-BA,,,,,,,,,,BA,,"1.346,45",,,,,,,"0,01",,,,,,,,"1.346,46",,,,,,,"15.472,71",,,,,,,,
CAIRU-BA,,,,,,,,,,BA,,"42.285,36",,,,,,,"477.910,76",,,,,,,,"520.196,12",,,,,,,"5.928.596,88",,,,,,,,
CAMACAN-BA,,,,,,,,,,BA,,"1.713,67",,,,,,,"0,01",,,,,,,,"1.713,68",,,,,,,"19.692,56",,,,,,,,
CAMACARI-BA,,,,,,,,,,BA,,"360.911,10",,,,,,,"221.331,30",,,,,,,,"582.242,40",,,,,,,"5.847.791,90",,,,,,,,
CAMAMU-BA,,,,,,,,,,BA,,"1.774,87",,,,,,,"0,01",,,,,,,,"1.774,88",,,,,,,"20.395,86",,,,,,,,
CANAVIEIRAS-BA,,,,,,,,,,BA,,"1.774,87",,,,,,,"0,01",,,,,,,,"1.774,88",,,,,,,"20.395,86",,,,,,,,
CANDEAL-BA,,,,,,,,,,BA,,"1.224,05",,,,,,,"0,01",,,,,,,,"1.224,06",,,,,,,"14.066,11",,,,,,,,
CANDEIAS-BA,,,,,,,,,,BA,,"562.193,20",,,,,,,"484.018,86",,,,,,,,"1.046.212,06",,,,,,,"11.581.101,17",,,,,,,,
CANDIDO SALES-BA,,,,,,,,,,BA,,"1.652,46",,,,,,,"0,01",,,,,,,,"1.652,47",,,,,,,"18.989,25",,,,,,,,
CANSANCAO-BA,,,,,,,,,,BA,,"1.774,87",,,,,,,"0,01",,,,,,,,"1.774,88",,,,,,,"20.395,86",,,,,,,,
CANUDOS-BA,,,,,,,,,,BA,,"1.407,65",,,,,,,"0,01",,,,,,,,"1.407,66",,,,,,,"16.176,01",,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,,,,,,,BA,,"1.285,25",,,,,,,"0,01",,,,,,,,"1.285,26",,,,,,,"14.769,40",,,,,,,,
CAPIM GROSSO-BA,,,,,,,,,,BA,,"1.652,46",,,,,,,"0,01",,,,,,,,"1.652,47",,,,,,,"18.989,25",,,,,,,,
CARAVELAS-BA,,,,,,,,,,BA,,"1.591,26",,,,,,,"0,01",,,,,,,,"1.591,27",,,,,,,"18.285,94",,,,,,,,
CARDEAL DA SILVA-BA,,,,,,,,,,BA,,"114.436,42",,,,,,,"36.249,71",,,,,,,,"150.686,13",,,,,,,"2.041.085,14",,,,,,,,
