ITAPETINGA-BA,,,,BA,,,,,"48,84",,,,,,-,,,,,"48,84",,,,,,,"373,74",,,,,,,,,
ITAPICURU-BA,,,,BA,,,,,"41,21",,,,,,-,,,,,"41,21",,,,,,,"315,34",,,,,,,,,
ITAQUARA-BA,,,,BA,,,,,"30,53",,,,,,-,,,,,"30,52",,,,,,,"233,57",,,,,,,,,
ITARANTIM-BA,,,,BA,,,,,"35,11",,,,,,-,,,,,"35,10",,,,,,,"268,60",,,,,,,,,
ITATIM-BA,,,,BA,,,,,"32,05",,,,,,-,,,,,"32,05",,,,,,,"245,26",,,,,,,,,
ITIRUCU-BA,,,,BA,,,,,"33,58",,,,,,-,,,,,"33,57",,,,,,,"256,92",,,,,,,,,
ITIUBA-BA,,,,BA,,,,,"44,26",,,,,,-,,,,,"44,26",,,,,,,"338,69",,,,,,,,,
JACOBINA-BA,,,,BA,,,,,"54,95",,,,,,-,,,,,"54,94",,,,,,,"420,46",,,,,,,,,
JAGUAQUARA-BA,,,,BA,,,,,"47,32",,,,,,-,,,,,"47,31",,,,,,,"362,05",,,,,,,,,
JAGUARIPE-BA,,,,BA,,,,,"33,58",,,,,,-,,,,,"33,57",,,,,,,"256,92",,,,,,,,,
JANDAIRA-BA,,,,BA,,,,,"30,53",,,,,,-,,,,,"30,52",,,,,,,"233,57",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEQUIE-BA,,,,BA,,,,,"61,05",,,,,,-,,,,,"61,05",,,,,,,"467,19",,,,,,,,,
JEREMOABO-BA,,,,BA,,,,,"44,26",,,,,,-,,,,,"44,26",,,,,,,"338,69",,,,,,,,,
JIQUIRICA-BA,,,,BA,,,,,"33,58",,,,,,-,,,,,"33,57",,,,,,,"256,92",,,,,,,,,
JITAUNA-BA,,,,BA,,,,,"36,63",,,,,,-,,,,,"36,63",,,,,,,"280,31",,,,,,,,,
LAFAIETE COUTINHO-BA,,,,BA,,,,,"30,53",,,,,,-,,,,,"30,52",,,,,,,"233,57",,,,,,,,,
LAJE-BA,,,,BA,,,,,"38,16",,,,,,-,,,,,"38,15",,,,,,,"291,97",,,,,,,,,
LAJEDINHO-BA,,,,BA,,,,,"30,53",,,,,,-,,,,,"30,52",,,,,,,"233,57",,,,,,,,,
LAJEDO DO TABOCAL-BA,,,,BA,,,,,"30,53",,,,,,-,,,,,"30,52",,,,,,,"233,57",,,,,,,,,
LAMARAO-BA,,,,BA,,,,,"32,05",,,,,,-,,,,,"32,05",,,,,,,"245,26",,,,,,,,,
LAURO DE FREITAS-BA,,,,BA,,,,,"56,47",,,,,,-,,,,,"56,47",,,,,,,"432,14",,,,,,,,,
MACAJUBA-BA,,,,BA,,,,,"32,05",,,,,,-,,,,,"32,05",,,,,,,"245,26",,,,,,,,,
MACARANI-BA,,,,BA,,,,,"36,63",,,,,,-,,,,,"36,63",,,,,,,"280,31",,,,,,,,,
MADRE DE DEUS-BA,,,,BA,,,,,"156.419,66",,,,,,"225.629,29",,,,,"382.048,93",,,,,,,"2.967.336,15",,,,,,,,,
MAIQUINIQUE-BA,,,,BA,,,,,"30,53",,,,,,-,,,,,"30,52",,,,,,,"233,57",,,,,,,,,
MAIRI-BA,,,,BA,,,,,"38,16",,,,,,-,,,,,"38,15",,,,,,,"291,97",,,,,,,,,
MANOEL VITORINO-BA,,,,BA,,,,,"35,11",,,,,,-,,,,,"35,10",,,,,,,"268,60",,,,,,,,,
MARACAS-BA,,,,BA,,,,,"42,74",,,,,,-,,,,,"42,73",,,,,,,"327,03",,,,,,,,,
MARAGOGIPE-BA,,,,BA,,,,,"44,26",,,,,,-,,,,,"44,26",,,,,,,"338,69",,,,,,,,,
MARCIONILIO SOUZA-BA,,,,BA,,,,,"33,58",,,,,,-,,,,,"33,57",,,,,,,"256,92",,,,,,,,,
MATA DE SAO JOAO-BA,,,,BA,,,,,"65.370,69",,,,,,"25.430,83",,,,,"90.801,52",,,,,,,"744.726,92",,,,,,,,,
MIGUEL CALMON-BA,,,,BA,,,,,"44,26",,,,,,-,,,,,"44,26",,,,,,,"338,69",,,,,,,,,
MILAGRES-BA,,,,BA,,,,,"33,58",,,,,,-,,,,,"33,57",,,,,,,"256,92",,,,,,,,,
MIRANTE-BA,,,,BA,,,,,"32,05",,,,,,-,,,,,"32,05",,,,,,,"245,26",,,,,,,,,
MONTE SANTO-BA,,,,BA,,,,,"48,84",,,,,,-,,,,,"48,84",,,,,,,"373,74",,,,,,,,,
MUNDO NOVO-BA,,,,BA,,,,,"39,68",,,,,,-,,,,,"39,68",,,,,,,"303,67",,,,,,,,,
MUNIZ FERREIRA-BA,,,,BA,,,,,"30,53",,,,,,-,,,,,"30,52",,,,,,,"233,57",,,,,,,,,
MURITIBA-BA,,,,BA,,,,,"41,21",,,,,,-,,,,,"41,21",,,,,,,"315,34",,,,,,,,,
MUTUIPE-BA,,,,BA,,,,,"38,16",,,,,,-,,,,,"38,15",,,,,,,"291,97",,,,,,,,,
NAZARE-BA,,,,BA,,,,,"41,21",,,,,,-,,,,,"41,21",,,,,,,"315,34",,,,,,,,,
NORDESTINA-BA,,,,BA,,,,,"32,05",,,,,,-,,,,,"32,05",,,,,,,"245,26",,,,,,,,,
NOVA CANAA-BA,,,,BA,,,,,"33,58",,,,,,-,,,,,"33,57",,,,,,,"256,92",,,,,,,,,
NOVA FATIMA-BA,,,,BA,,,,,"30,53",,,,,,-,,,,,"30,52",,,,,,,"233,57",,,,,,,,,
NOVA ITARANA-BA,,,,BA,,,,,"30,53",,,,,,-,,,,,"30,52",,,,,,,"233,57",,,,,,,,,
NOVA SOURE-BA,,,,BA,,,,,"39,68",,,,,,-,,,,,"39,68",,,,,,,"303,67",,,,,,,,,
NOVO TRIUNFO-BA,,,,BA,,,,,"33,58",,,,,,-,,,,,"33,57",,,,,,,"256,92",,,,,,,,,
OLINDINA-BA,,,,BA,,,,,"39,68",,,,,,-,,,,,"39,68",,,,,,,"303,67",,,,,,,,,
OURICANGAS-BA,,,,BA,,,,,"30,53",,,,,,-,,,,,"30,52",,,,,,,"233,57",,,,,,,,,
OUROLANDIA-BA,,,,BA,,,,,"35,11",,,,,,-,,,,,"35,10",,,,,,,"268,60",,,,,,,,,
PARIPIRANGA-BA,,,,BA,,,,,"41,21",,,,,,-,,,,,"41,21",,,,,,,"315,34",,,,,,,,,
PAULO AFONSO-BA,,,,BA,,,,,"54,95",,,,,,-,,,,,"54,94",,,,,,,"420,46",,,,,,,,,
PE DE SERRA-BA,,,,BA,,,,,"33,58",,,,,,-,,,,,"33,57",,,,,,,"256,92",,,,,,,,,
PEDRAO-BA,,,,BA,,,,,"30,53",,,,,,-,,,,,"30,52",,,,,,,"233,57",,,,,,,,,
PEDRO ALEXANDRE-BA,,,,BA,,,,,"35,11",,,,,,-,,,,,"35,10",,,,,,,"268,60",,,,,,,,,
PINTADAS-BA,,,,BA,,,,,"32,05",,,,,,-,,,,,"32,05",,,,,,,"245,26",,,,,,,,,
PIRITIBA-BA,,,,BA,,,,,"38,16",,,,,,-,,,,,"38,15",,,,,,,"291,97",,,,,,,,,
PLANALTINO-BA,,,,BA,,,,,"30,53",,,,,,-,,,,,"30,52",,,,,,,"233,57",,,,,,,,,
PLANALTO-BA,,,,BA,,,,,"39,68",,,,,,-,,,,,"39,68",,,,,,,"303,67",,,,,,,,,
POCOES-BA,,,,BA,,,,,"45,79",,,,,,-,,,,,"45,79",,,,,,,"350,40",,,,,,,,,
POJUCA-BA,,,,BA,,,,,"228.370,40",,,,,,"146.162,19",,,,,"374.532,57",,,,,,,"2.970.318,63",,,,,,,,,
QUEIMADAS-BA,,,,BA,,,,,"39,68",,,,,,-,,,,,"39,68",,,,,,,"303,67",,,,,,,,,
QUIJINGUE-BA,,,,BA,,,,,"39,68",,,,,,-,,,,,"39,68",,,,,,,"303,67",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUIXABEIRA-BA,,,,BA,,,,,"35,11",,,,,,-,,,,,"35,10",,,,,,,"268,60",,,,,,,,,
RAFAEL JAMBEIRO-BA,,,,BA,,,,,"39,68",,,,,,-,,,,,"39,68",,,,,,,"303,67",,,,,,,,,
RETIROLANDIA-BA,,,,BA,,,,,"32,05",,,,,,-,,,,,"32,05",,,,,,,"245,26",,,,,,,,,
RIACHAO DO JACUIPE-BA,,,,BA,,,,,"42,74",,,,,,-,,,,,"42,73",,,,,,,"327,03",,,,,,,,,
RIBEIRA DO AMPARO-BA,,,,BA,,,,,"33,58",,,,,,-,,,,,"33,57",,,,,,,"256,92",,,,,,,,,
RIBEIRA DO POMBAL-BA,,,,BA,,,,,"47,32",,,,,,-,,,,,"47,31",,,,,,,"362,05",,,,,,,,,
RIBEIRAO DO LARGO-BA,,,,BA,,,,,"33,58",,,,,,-,,,,,"33,57",,,,,,,"256,92",,,,,,,,,
RIO REAL-BA,,,,BA,,,,,"42,74",,,,,,-,,,,,"42,73",,,,,,,"327,03",,,,,,,,,
RUY BARBOSA-BA,,,,BA,,,,,"42,74",,,,,,-,,,,,"42,73",,,,,,,"327,03",,,,,,,,,
SALINAS DA MARGARIDA-BA,,,,BA,,,,,"853,54",,,,,,"1.361,02",,,,,"2.214,54",,,,,,,"16.595,07",,,,,,,,,
SALVADOR-BA,,,,BA,,,,,"1.707,08",,,,,,"51.198,41",,,,,"52.905,48",,,,,,,"396.167,93",,,,,,,,,
