DARIO MEIRA-BA,,,,,BA,,,,"22,76",,,,,,-,,,,,,"22,76",,,,,,,"148,47",,,,,,,,,
DIAS D'AVILA-BA,,,,,BA,,,,"79,89",,,,,,"20,78",,,,,,"100,67",,,,,,,"1.057,49",,,,,,,,,
DOM MACEDO COSTA-BA,,,,,BA,,,,"19,79",,,,,,-,,,,,,"19,79",,,,,,,"129,13",,,,,,,,,
ELISIO MEDRADO-BA,,,,,BA,,,,"19,79",,,,,,-,,,,,,"19,79",,,,,,,"129,13",,,,,,,,,
ENCRUZILHADA-BA,,,,,BA,,,,"27,70",,,,,,-,,,,,,"27,70",,,,,,,"180,78",,,,,,,,,
ENTRE RIOS-BA,,,,,BA,,,,"97.195,54",,,,,,"53.838,88",,,,,,"151.034,42",,,,,,,"976.417,71",,,,,,,,,
ESPLANADA-BA,,,,,BA,,,,"125.205,51",,,,,,"71.913,38",,,,,,"197.118,89",,,,,,,"1.247.455,85",,,,,,,,,
EUCLIDES DA CUNHA-BA,,,,,BA,,,,"31,66",,,,,,-,,,,,,"31,66",,,,,,,"206,73",,,,,,,,,
FATIMA-BA,,,,,BA,,,,"23,75",,,,,,-,,,,,,"23,75",,,,,,,"155,12",,,,,,,,,
FEIRA DE SANTANA-BA,,,,,BA,,,,"39,58",,,,,,-,,,,,,"39,58",,,,,,,"258,02",,,,,,,,,
GAVIAO-BA,,,,,BA,,,,"19,79",,,,,,-,,,,,,"19,79",,,,,,,"129,50",,,,,,,,,
GLORIA-BA,,,,,BA,,,,"21,77",,,,,,-,,,,,,"21,77",,,,,,,"142,13",,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,,BA,,,,"23,75",,,,,,-,,,,,,"23,75",,,,,,,"155,12",,,,,,,,,
HELIOPOLIS-BA,,,,,BA,,,,"21,77",,,,,,-,,,,,,"21,77",,,,,,,"142,13",,,,,,,,,
IACU-BA,,,,,BA,,,,"26,72",,,,,,-,,,,,,"26,72",,,,,,,"174,49",,,,,,,,,
IBIQUERA-BA,,,,,BA,,,,"19,79",,,,,,-,,,,,,"19,79",,,,,,,"129,50",,,,,,,,,
