ITIRUCU-BA,,,,BA,,,,"31,38",,,,,,-,,,,,,"31,38",,,,,,,"189,78",,,,,,,,,,
ITIUBA-BA,,,,BA,,,,"41,36",,,,,,-,,,,,,"41,36",,,,,,,"250,15",,,,,,,,,,
JACOBINA-BA,,,,BA,,,,"51,34",,,,,,-,,,,,,"51,34",,,,,,,"310,55",,,,,,,,,,
JAGUAQUARA-BA,,,,BA,,,,"44,21",,,,,,-,,,,,,"44,21",,,,,,,"267,41",,,,,,,,,,
JAGUARIPE-BA,,,,BA,,,,"31,38",,,,,,-,,,,,,"31,38",,,,,,,"189,78",,,,,,,,,,
JANDAIRA-BA,,,,BA,,,,"28,52",,,,,,-,,,,,,"28,52",,,,,,,"172,50",,,,,,,,,,
JEQUIE-BA,,,,BA,,,,"57,05",,,,,,-,,,,,,"57,05",,,,,,,"345,05",,,,,,,,,,
JEREMOABO-BA,,,,BA,,,,"41,36",,,,,,-,,,,,,"41,36",,,,,,,"250,15",,,,,,,,,,
JIQUIRICA-BA,,,,BA,,,,"31,38",,,,,,-,,,,,,"31,38",,,,,,,"189,78",,,,,,,,,,
JITAUNA-BA,,,,BA,,,,"34,23",,,,,,-,,,,,,"34,23",,,,,,,"207,01",,,,,,,,,,
LAFAIETE COUTINHO-BA,,,,BA,,,,"28,52",,,,,,-,,,,,,"28,52",,,,,,,"172,50",,,,,,,,,,
LAJE-BA,,,,BA,,,,"35,66",,,,,,-,,,,,,"35,66",,,,,,,"215,66",,,,,,,,,,
LAJEDINHO-BA,,,,BA,,,,"28,52",,,,,,-,,,,,,"28,52",,,,,,,"172,50",,,,,,,,,,
LAJEDO DO TABOCAL-BA,,,,BA,,,,"28,52",,,,,,-,,,,,,"28,52",,,,,,,"172,50",,,,,,,,,,
LAMARAO-BA,,,,BA,,,,"29,95",,,,,,-,,,,,,"29,95",,,,,,,"181,16",,,,,,,,,,
LAURO DE FREITAS-BA,,,,BA,,,,"52,77",,,,,,-,,,,,,"52,77",,,,,,,"319,16",,,,,,,,,,
MACAJUBA-BA,,,,BA,,,,"29,95",,,,,,-,,,,,,"29,95",,,,,,,"181,16",,,,,,,,,,
MACARANI-BA,,,,BA,,,,"34,23",,,,,,-,,,,,,"34,23",,,,,,,"207,01",,,,,,,,,,
MADRE DE DEUS-BA,,,,BA,,,,"162.991,98",,,,,,"281.242,55",,,,,,"444.234,53",,,,,,,"2.423.154,19",,,,,,,,,,
MAIQUINIQUE-BA,,,,BA,,,,"28,52",,,,,,-,,,,,,"28,52",,,,,,,"172,50",,,,,,,,,,
MAIRI-BA,,,,BA,,,,"35,66",,,,,,-,,,,,,"35,66",,,,,,,"215,66",,,,,,,,,,
MANOEL VITORINO-BA,,,,BA,,,,"32,80",,,,,,-,,,,,,"32,80",,,,,,,"198,40",,,,,,,,,,
MARACAS-BA,,,,BA,,,,"39,93",,,,,,-,,,,,,"39,93",,,,,,,"241,53",,,,,,,,,,
