IPIRA-BA,,,,,BA,,,,,"969,78",,,,,,,,,-,,,,,,,,,"969,78",,,,,,"9.066,86",,,,,,,
IRAJUBA-BA,,,,,BA,,,,,"587,74",,,,,,,,,-,,,,,,,,,"587,74",,,,,,"5.495,02",,,,,,,
IRARA-BA,,,,,BA,,,,,"793,46",,,,,,,,,-,,,,,,,,,"793,46",,,,,,"7.418,32",,,,,,,
ITABELA-BA,,,,,BA,,,,,"793,46",,,,,,,,,-,,,,,,,,,"793,46",,,,,,"7.268,92",,,,,,,
ITABERABA-BA,,,,,BA,,,,,"969,78",,,,,,,,,-,,,,,,,,,"969,78",,,,,,"9.066,86",,,,,,,
ITABUNA-BA,,,,,BA,,,,,"1.175,49",,,,,,,,,-,,,,,,,,,"1.175,49",,,,,,"10.768,79",,,,,,,
ITACARE-BA,,,,,BA,,,,,"734,68",,,,,,,,,-,,,,,,,,,"734,68",,,,,,"6.730,48",,,,,,,
ITAGI-BA,,,,,BA,,,,,"675,90",,,,,,,,,-,,,,,,,,,"675,90",,,,,,"6.319,30",,,,,,,
ITAGIBA-BA,,,,,BA,,,,,"705,30",,,,,,,,,-,,,,,,,,,"705,30",,,,,,"6.461,25",,,,,,,
ITAGIMIRIM-BA,,,,,BA,,,,,"587,74",,,,,,,,,-,,,,,,,,,"587,74",,,,,,"5.384,36",,,,,,,
ITAJU DO COLONIA-BA,,,,,BA,,,,,"587,74",,,,,,,,,-,,,,,,,,,"587,74",,,,,,"5.384,36",,,,,,,
ITAJUIPE-BA,,,,,BA,,,,,"764,06",,,,,,,,,-,,,,,,,,,"764,06",,,,,,"6.999,70",,,,,,,
