FEIRA DE SANTANA-BA,,,,BA,,,,,"62,47",,,,,,,-,,,,,"62,46",,,,,,"406,14",,,,,,,,,,,,
GAVIAO-BA,,,,BA,,,,,"31,23",,,,,,,-,,,,,"31,23",,,,,,"203,05",,,,,,,,,,,,
GLORIA-BA,,,,BA,,,,,"34,36",,,,,,,-,,,,,"34,35",,,,,,"223,35",,,,,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,BA,,,,,"37,48",,,,,,,-,,,,,"37,48",,,,,,"243,68",,,,,,,,,,,,
HELIOPOLIS-BA,,,,BA,,,,,"34,36",,,,,,,-,,,,,"34,35",,,,,,"223,35",,,,,,,,,,,,
IACU-BA,,,,BA,,,,,"42,17",,,,,,,-,,,,,"42,16",,,,,,"274,13",,,,,,,,,,,,
IBIQUERA-BA,,,,BA,,,,,"31,23",,,,,,,-,,,,,"31,23",,,,,,"203,05",,,,,,,,,,,,
ICHU-BA,,,,BA,,,,,"31,23",,,,,,,-,,,,,"31,23",,,,,,"203,05",,,,,,,,,,,,
INHAMBUPE-BA,,,,BA,,,,,"42,17",,,,,,,-,,,,,"42,16",,,,,,"274,13",,,,,,,,,,,,
IPECAETA-BA,,,,BA,,,,,"37,48",,,,,,,-,,,,,"37,48",,,,,,"243,68",,,,,,,,,,,,
IPIRA-BA,,,,BA,,,,,"51,54",,,,,,,-,,,,,"51,53",,,,,,"335,05",,,,,,,,,,,,
IRAJUBA-BA,,,,BA,,,,,"31,23",,,,,,,-,,,,,"31,23",,,,,,"203,05",,,,,,,,,,,,
IRARA-BA,,,,BA,,,,,"42,17",,,,,,,-,,,,,"42,16",,,,,,"274,13",,,,,,,,,,,,
ITABERABA-BA,,,,BA,,,,,"51,54",,,,,,,-,,,,,"51,53",,,,,,"335,05",,,,,,,,,,,,
ITAGI-BA,,,,BA,,,,,"35,92",,,,,,,-,,,,,"35,91",,,,,,"233,50",,,,,,,,,,,,
ITAMBE-BA,,,,BA,,,,,"43,73",,,,,,,-,,,,,"43,72",,,,,,"284,30",,,,,,,,,,,,
ITANAGRA-BA,,,,BA,,,,,"25.944,05",,,,,,,"3.987,36",,,,,"29.931,40",,,,,,"194.226,09",,,,,,,,,,,,
ITAPARICA-BA,,,,BA,,,,,"913,08",,,,,,,"1.430,00",,,,,"2.343,08",,,,,,"15.561,55",,,,,,,,,,,,
ITAPETINGA-BA,,,,BA,,,,,"49,97",,,,,,,-,,,,,"49,97",,,,,,"324,90",,,,,,,,,,,,
ITAPICURU-BA,,,,BA,,,,,"42,17",,,,,,,-,,,,,"42,16",,,,,,"274,13",,,,,,,,,,,,
ITAQUARA-BA,,,,BA,,,,,"31,23",,,,,,,-,,,,,"31,23",,,,,,"203,05",,,,,,,,,,,,
ITARANTIM-BA,,,,BA,,,,,"35,92",,,,,,,-,,,,,"35,91",,,,,,"233,50",,,,,,,,,,,,
ITATIM-BA,,,,BA,,,,,"32,80",,,,,,,-,,,,,"32,79",,,,,,"213,21",,,,,,,,,,,,
ITIRUCU-BA,,,,BA,,,,,"34,36",,,,,,,-,,,,,"34,35",,,,,,"223,35",,,,,,,,,,,,
ITIUBA-BA,,,,BA,,,,,"45,29",,,,,,,-,,,,,"45,28",,,,,,"294,43",,,,,,,,,,,,
JACOBINA-BA,,,,BA,,,,,"56,22",,,,,,,-,,,,,"56,22",,,,,,"365,52",,,,,,,,,,,,
JAGUAQUARA-BA,,,,BA,,,,,"48,41",,,,,,,-,,,,,"48,41",,,,,,"314,74",,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAGUARIPE-BA,,,,BA,,,,,"34,36",,,,,,,-,,,,,"34,35",,,,,,"223,35",,,,,,,,,,,,
JANDAIRA-BA,,,,BA,,,,,"31,23",,,,,,,-,,,,,"31,23",,,,,,"203,05",,,,,,,,,,,,
JEQUIE-BA,,,,BA,,,,,"62,47",,,,,,,-,,,,,"62,46",,,,,,"406,14",,,,,,,,,,,,
JEREMOABO-BA,,,,BA,,,,,"45,29",,,,,,,-,,,,,"45,28",,,,,,"294,43",,,,,,,,,,,,
JIQUIRICA-BA,,,,BA,,,,,"34,36",,,,,,,-,,,,,"34,35",,,,,,"223,35",,,,,,,,,,,,
JITAUNA-BA,,,,BA,,,,,"37,48",,,,,,,-,,,,,"37,48",,,,,,"243,68",,,,,,,,,,,,
LAFAIETECOUTINHO-BA,,,,BA,,,,,"31,23",,,,,,,-,,,,,"31,23",,,,,,"203,05",,,,,,,,,,,,
LAJE-BA,,,,BA,,,,,"39,04",,,,,,,-,,,,,"39,04",,,,,,"253,82",,,,,,,,,,,,
LAJEDINHO-BA,,,,BA,,,,,"31,23",,,,,,,-,,,,,"31,23",,,,,,"203,05",,,,,,,,,,,,
