BANZAE-BA,,,,,,,,BA,,,"721,11",,,,,,,,-,,,,,,,"721,11",,,,,,,,,,"2.734,03",,,,,,,,,,
BARRA DO CHOCA-BA,,,,,,,,BA,,,"995,82",,,,,,,,-,,,,,,,"995,82",,,,,,,,,,"3.775,58",,,,,,,,,,
BARRA DO ROCHA-BA,,,,,,,,BA,,,"686,77",,,,,,,,-,,,,,,,"686,77",,,,,,,,,,"2.603,84",,,,,,,,,,
BARRO PRETO-BA,,,,,,,,BA,,,"686,77",,,,,,,,-,,,,,,,"686,77",,,,,,,,,,"2.603,84",,,,,,,,,,
BARROCAS-BA,,,,,,,,BA,,,"755,45",,,,,,,,-,,,,,,,"755,45",,,,,,,,,,"2.864,23",,,,,,,,,,
BELMONTE-BA,,,,,,,,BA,,,"892,80",,,,,,,,-,,,,,,,"892,80",,,,,,,,,,"3.385,00",,,,,,,,,,
BELO CAMPO-BA,,,,,,,,BA,,,"789,79",,,,,,,,-,,,,,,,"789,79",,,,,,,,,,"2.994,42",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIRITINGA-BA,,,,,,,,BA,,,"755,45",,,,,,,,-,,,,,,,"755,45",,,,,,,,,,"2.864,23",,,,,,,,,,
BOA NOVA-BA,,,,,,,,BA,,,"824,13",,,,,,,,-,,,,,,,"824,13",,,,,,,,,,"3.124,62",,,,,,,,,,
BOA VISTA DO TUPIM-BA,,,,,,,,BA,,,"824,13",,,,,,,,-,,,,,,,"824,13",,,,,,,,,,"3.124,62",,,,,,,,,,
BOM JESUS DA SERRA-BA,,,,,,,,BA,,,"721,11",,,,,,,,-,,,,,,,"721,11",,,,,,,,,,"2.734,03",,,,,,,,,,
BREJOES-BA,,,,,,,,BA,,,"755,45",,,,,,,,-,,,,,,,"755,45",,,,,,,,,,"2.864,23",,,,,,,,,,
BUERAREMA-BA,,,,,,,,BA,,,"858,46",,,,,,,,-,,,,,,,"858,46",,,,,,,,,,"3.254,81",,,,,,,,,,
CAATIBA-BA,,,,,,,,BA,,,"721,11",,,,,,,,-,,,,,,,"721,11",,,,,,,,,,"2.734,03",,,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,,,,,BA,,,"824,13",,,,,,,,-,,,,,,,"824,13",,,,,,,,,,"3.124,62",,,,,,,,,,
CACHOEIRA-BA,,,,,,,,BA,,,"995,82",,,,,,,,-,,,,,,,"995,82",,,,,,,,,,"3.775,58",,,,,,,,,,
CAEM-BA,,,,,,,,BA,,,"721,11",,,,,,,,-,,,,,,,"721,11",,,,,,,,,,"2.734,03",,,,,,,,,,
CAETANOS-BA,,,,,,,,BA,,,"755,45",,,,,,,,-,,,,,,,"755,45",,,,,,,,,,"2.864,23",,,,,,,,,,
CAIRU-BA,,,,,,,,BA,,,"25.801,31",,,,,,,,"270.834,09",,,,,,,"296.635,40",,,,,,,,,,"1.140.645,09",,,,,,,,,,
CAMACAN-BA,,,,,,,,BA,,,"961,48",,,,,,,,-,,,,,,,"961,48",,,,,,,,,,"3.645,39",,,,,,,,,,
CAMACARI-BA,,,,,,,,BA,,,"2.310,03",,,,,,,,"393,32",,,,,,,"2.703,35",,,,,,,,,,"9.230,92",,,,,,,,,,
CAMAMU-BA,,,,,,,,BA,,,"995,82",,,,,,,,-,,,,,,,"995,82",,,,,,,,,,"3.775,58",,,,,,,,,,
CANAVIEIRAS-BA,,,,,,,,BA,,,"995,82",,,,,,,,-,,,,,,,"995,82",,,,,,,,,,"3.775,58",,,,,,,,,,
CANDEAL-BA,,,,,,,,BA,,,"686,77",,,,,,,,-,,,,,,,"686,77",,,,,,,,,,"2.603,84",,,,,,,,,,
CANDEIAS-BA,,,,,,,,BA,,,"165.762,73",,,,,,,,"186.312,30",,,,,,,"352.075,03",,,,,,,,,,"1.060.446,07",,,,,,,,,,
CANDIDO SALES-BA,,,,,,,,BA,,,"927,14",,,,,,,,-,,,,,,,"927,14",,,,,,,,,,"3.515,19",,,,,,,,,,
CANSANCAO-BA,,,,,,,,BA,,,"995,82",,,,,,,,-,,,,,,,"995,82",,,,,,,,,,"3.775,58",,,,,,,,,,
CANUDOS-BA,,,,,,,,BA,,,"789,79",,,,,,,,-,,,,,,,"789,79",,,,,,,,,,"2.994,42",,,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,,,,,BA,,,"755,45",,,,,,,,-,,,,,,,"755,45",,,,,,,,,,"2.864,23",,,,,,,,,,
CAPIM GROSSO-BA,,,,,,,,BA,,,"927,14",,,,,,,,-,,,,,,,"927,14",,,,,,,,,,"3.515,19",,,,,,,,,,
CARAVELAS-BA,,,,,,,,BA,,,"892,80",,,,,,,,-,,,,,,,"892,80",,,,,,,,,,"3.399,29",,,,,,,,,,
CARDEAL DA SILVA-BA,,,,,,,,BA,,,"88.149,33",,,,,,,,"27.661,77",,,,,,,"115.811,10",,,,,,,,,,"360.261,50",,,,,,,,,,
CASTRO ALVES-BA,,,,,,,,BA,,,"927,14",,,,,,,,-,,,,,,,"927,14",,,,,,,,,,"3.515,19",,,,,,,,,,
CATU-BA,,,,,,,,BA,,,"135.981,63",,,,,,,,"77.804,94",,,,,,,"213.786,57",,,,,,,,,,"668.122,61",,,,,,,,,,
CICERO DANTAS-BA,,,,,,,,BA,,,"961,48",,,,,,,,-,,,,,,,"961,48",,,,,,,,,,"3.645,39",,,,,,,,,,
CIPO-BA,,,,,,,,BA,,,"789,79",,,,,,,,-,,,,,,,"789,79",,,,,,,,,,"2.994,42",,,,,,,,,,
COARACI-BA,,,,,,,,BA,,,"892,80",,,,,,,,-,,,,,,,"892,80",,,,,,,,,,"3.385,00",,,,,,,,,,
CONCEICAO DA FEIRA-BA,,,,,,,,BA,,,"858,46",,,,,,,,-,,,,,,,"858,46",,,,,,,,,,"3.254,81",,,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,,,,,BA,,,"824,13",,,,,,,,-,,,,,,,"824,13",,,,,,,,,,"3.124,62",,,,,,,,,,
CONCEICAO DO COITE-BA,,,,,,,,BA,,,"1.133,17",,,,,,,,-,,,,,,,"1.133,17",,,,,,,,,,"4.296,35",,,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,,,,,BA,,,"927,14",,,,,,,,-,,,,,,,"927,14",,,,,,,,,,"3.515,19",,,,,,,,,,
CONDE-BA,,,,,,,,BA,,,"2.033,61",,,,,,,,"735,82",,,,,,,"2.769,43",,,,,,,,,,"9.042,25",,,,,,,,,,
CORACAO DE MARIA-BA,,,,,,,,BA,,,"892,80",,,,,,,,-,,,,,,,"892,80",,,,,,,,,,"3.385,00",,,,,,,,,,
CORONEL JOAO SA-BA,,,,,,,,BA,,,"858,46",,,,,,,,-,,,,,,,"858,46",,,,,,,,,,"3.254,81",,,,,,,,,,
CRAVOLANDIA-BA,,,,,,,,BA,,,"686,77",,,,,,,,-,,,,,,,"686,77",,,,,,,,,,"2.603,84",,,,,,,,,,
CRISOPOLIS-BA,,,,,,,,BA,,,"858,46",,,,,,,,-,,,,,,,"858,46",,,,,,,,,,"3.254,81",,,,,,,,,,
CRUZ DAS ALMAS-BA,,,,,,,,BA,,,"1.098,84",,,,,,,,-,,,,,,,"1.098,84",,,,,,,,,,"4.166,17",,,,,,,,,,
DARIO MEIRA-BA,,,,,,,,BA,,,"755,45",,,,,,,,-,,,,,,,"755,45",,,,,,,,,,"2.864,23",,,,,,,,,,
DIAS D'AVILA-BA,,,,,,,,BA,,,"1.098,84",,,,,,,,-,,,,,,,"1.098,84",,,,,,,,,,"4.166,17",,,,,,,,,,
DOM MACEDO COSTA-BA,,,,,,,,BA,,,"686,77",,,,,,,,-,,,,,,,"686,77",,,,,,,,,,"2.603,84",,,,,,,,,,
ELISIO MEDRADO-BA,,,,,,,,BA,,,"686,77",,,,,,,,-,,,,,,,"686,77",,,,,,,,,,"2.603,84",,,,,,,,,,
ENCRUZILHADA-BA,,,,,,,,BA,,,"892,80",,,,,,,,-,,,,,,,"892,80",,,,,,,,,,"3.385,00",,,,,,,,,,
ENTRE RIOS-BA,,,,,,,,BA,,,"157.330,18",,,,,,,,"112.604,98",,,,,,,"269.935,16",,,,,,,,,,"828.328,68",,,,,,,,,,
ESPLANADA-BA,,,,,,,,BA,,,"782.582,26",,,,,,,,"285.775,82",,,,,,,"1.068.358,08",,,,,,,,,,"3.443.475,36",,,,,,,,,,
EUCLIDES DA CUNHA-BA,,,,,,,,BA,,,"1.133,17",,,,,,,,-,,,,,,,"1.133,17",,,,,,,,,,"4.296,35",,,,,,,,,,
EUNAPOLIS-BA,,,,,,,,BA,,,"1.236,19",,,,,,,,-,,,,,,,"1.236,19",,,,,,,,,,"4.686,94",,,,,,,,,,
FATIMA-BA,,,,,,,,BA,,,"858,46",,,,,,,,-,,,,,,,"858,46",,,,,,,,,,"3.254,81",,,,,,,,,,
FEIRA DE SANTANA-BA,,,,,,,,BA,,,"1.373,55",,,,,,,,-,,,,,,,"1.373,55",,,,,,,,,,"5.207,71",,,,,,,,,,
FIRMINO ALVES-BA,,,,,,,,BA,,,"686,77",,,,,,,,-,,,,,,,"686,77",,,,,,,,,,"2.603,84",,,,,,,,,,
FLORESTA AZUL-BA,,,,,,,,BA,,,"721,11",,,,,,,,-,,,,,,,"721,11",,,,,,,,,,"2.734,03",,,,,,,,,,
