QUIJINGUE -BA,,,BA,,,"66,65",,,,,-,,,,,,,"66,65",,,,,,,"382,51",,,,,,,,,,
QUIXABEIRA-BA,,,BA,,,"49,26",,,,,-,,,,,,,"49,26",,,,,,,"282,93",,,,,,,,,,
RAFAEL JAMBEIRO-BA,,,BA,,,"64,33",,,,,-,,,,,,,"64,33",,,,,,,"368,94",,,,,,,,,,
RETIROLANDIA-BA,,,BA,,,"51,87",,,,,-,,,,,,,"51,87",,,,,,,"297,63",,,,,,,,,,
RIACHAO DO JACUIPE-BA,,,BA,,,"69,26",,,,,-,,,,,,,"69,26",,,,,,,"397,24",,,,,,,,,,
RIBEIRA DO AMPARO-BA,,,BA,,,"54,48",,,,,-,,,,,,,"54,48",,,,,,,"312,35",,,,,,,,,,
RIBEIRA DO POMBAL-BA,,,BA,,,"76,51",,,,,-,,,,,,,"76,51",,,,,,,"439,13",,,,,,,,,,
RIBEIRAO DO LARGO-BA,,,BA,,,"56,80",,,,,-,,,,,,,"56,80",,,,,,,"325,94",,,,,,,,,,
RIO REAL-BA,,,BA,,,"71,58",,,,,-,,,,,,,"71,58",,,,,,,"410,82",,,,,,,,,,
RUY BARBOSA-BA,,,BA,,,"69,26",,,,,-,,,,,,,"69,26",,,,,,,"397,24",,,,,,,,,,
SALINAS DA MARGARIDA-BA,,,BA,,,"1.437,37",,,,,"45.691,97",,,,,,,"47.129,34",,,,,,,"176.192,14",,,,,,,,,,
SALVADOR-BA,,,BA,,,"2.738,54",,,,,"45.691,97",,,,,,,"48.430,51",,,,,,,"328.804,44",,,,,,,,,,
SANTA BARBARA-BA,,,BA,,,"59,41",,,,,-,,,,,,,"59,41",,,,,,,"340,65",,,,,,,,,,
SANTA BRIGIDA-BA,,,BA,,,"59,41",,,,,-,,,,,,,"59,41",,,,,,,"340,65",,,,,,,,,,
