BOA NOVA-BA,,,,,BA,,,,"32,22",,,,,,,,-,,,,,,"32,22",,,,,,,,,,"106,27",,,,,,,,,,,,
BOA VISTA DO TUPIM-BA,,,,,BA,,,,"33,57",,,,,,,,-,,,,,,"33,57",,,,,,,,,,"110,71",,,,,,,,,,,,
BOM JESUS DA SERRA-BA,,,,,BA,,,,"28,20",,,,,,,,-,,,,,,"28,20",,,,,,,,,,"93,00",,,,,,,,,,,,
BREJOES-BA,,,,,BA,,,,"30,88",,,,,,,,-,,,,,,"30,88",,,,,,,,,,"101,85",,,,,,,,,,,,
CAATIBA-BA,,,,,BA,,,,"30,88",,,,,,,,-,,,,,,"30,88",,,,,,,,,,"101,85",,,,,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,,BA,,,,"30,88",,,,,,,,-,,,,,,"30,88",,,,,,,,,,"101,85",,,,,,,,,,,,
CACHOEIRA-BA,,,,,BA,,,,"37,59",,,,,,,,-,,,,,,"37,59",,,,,,,,,,"123,99",,,,,,,,,,,,
CAEM-BA,,,,,BA,,,,"32,22",,,,,,,,-,,,,,,"32,22",,,,,,,,,,"106,27",,,,,,,,,,,,
CAETANOS-BA,,,,,BA,,,,"28,20",,,,,,,,-,,,,,,"28,20",,,,,,,,,,"93,00",,,,,,,,,,,,
CAMACARI-BA,,,,,BA,,,,"19.817,82",,,,,,,,-,,,,,,"19.817,82",,,,,,,,,,"62.168,49",,,,,,,,,,,,
CANDEAL-BA,,,,,BA,,,,"28,20",,,,,,,,-,,,,,,"28,20",,,,,,,,,,"93,00",,,,,,,,,,,,
CANDEIAS-BA,,,,,BA,,,,"246.289,99",,,,,,,,"99.072,55",,,,,,"345.362,54",,,,,,,,,,"1.123.569,78",,,,,,,,,,,,
CANDIDO SALES-BA,,,,,BA,,,,"36,25",,,,,,,,-,,,,,,"36,25",,,,,,,,,,"119,56",,,,,,,,,,,,
CANSANCAO-BA,,,,,BA,,,,"37,59",,,,,,,,-,,,,,,"37,59",,,,,,,,,,"123,99",,,,,,,,,,,,
CANUDOS-BA,,,,,BA,,,,"32,22",,,,,,,,-,,,,,,"32,22",,,,,,,,,,"106,27",,,,,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,,BA,,,,"28,20",,,,,,,,-,,,,,,"28,20",,,,,,,,,,"93,00",,,,,,,,,,,,
CAPIM GROSSO-BA,,,,,BA,,,,"36,25",,,,,,,,-,,,,,,"36,25",,,,,,,,,,"119,56",,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARAVELAS-BA,,,,,BA,,,,"19.765,46",,,,,,,,-,,,,,,"19.765,46",,,,,,,,,,"61.995,79",,,,,,,,,,,,
CARDEAL DA SILVA-BA,,,,,BA,,,,"47.112,08",,,,,,,,"17.608,41",,,,,,"64.720,49",,,,,,,,,,"210.237,55",,,,,,,,,,,,
CASTRO ALVES-BA,,,,,BA,,,,"36,25",,,,,,,,-,,,,,,"36,25",,,,,,,,,,"119,56",,,,,,,,,,,,
CATU-BA,,,,,BA,,,,"71.326,45",,,,,,,,"123.902,65",,,,,,"195.229,10",,,,,,,,,,"642.040,12",,,,,,,,,,,,
