CONCEICAO DA FEIRA-BA,,,,,,BA,,,"80,50",,,,,,,-,,,,,,,"80,50",,,,,"161,32",,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,,,BA,,,"83,85",,,,,,,-,,,,,,,"83,85",,,,,"168,04",,,,,,,,,
CONCEICAO DO COITE-BA,,,,,,BA,,,"110,69",,,,,,,-,,,,,,,"110,69",,,,,"221,82",,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,,,BA,,,"90,56",,,,,,,-,,,,,,,"90,56",,,,,"181,48",,,,,,,,,
CONDE-BA,,,,,,BA,,,"134,08",,,,,,,"30,23",,,,,,,"164,31",,,,,"309,23",,,,,,,,,
CORACAO DE MARIA-BA,,,,,,BA,,,"87,21",,,,,,,-,,,,,,,"87,21",,,,,"174,77",,,,,,,,,
CORONEL JOAO SA-BA,,,,,,BA,,,"83,85",,,,,,,-,,,,,,,"83,85",,,,,"168,04",,,,,,,,,
CRAVOLANDIA-BA,,,,,,BA,,,"67,08",,,,,,,-,,,,,,,"67,08",,,,,"134,43",,,,,,,,,
CRISOPOLIS-BA,,,,,,BA,,,"83,85",,,,,,,-,,,,,,,"83,85",,,,,"168,04",,,,,,,,,
CRUZ DAS ALMAS-BA,,,,,,BA,,,"107,34",,,,,,,-,,,,,,,"107,34",,,,,"215,10",,,,,,,,,
DARIO MEIRA-BA,,,,,,BA,,,"77,15",,,,,,,-,,,,,,,"77,15",,,,,"154,60",,,,,,,,,
DIAS D'AVILA-BA,,,,,,BA,,,"103,98",,,,,,,-,,,,,,,"103,98",,,,,"233,72",,,,,,,,,
DOM MACEDO COSTA-BA,,,,,,BA,,,"67,08",,,,,,,-,,,,,,,"67,08",,,,,"134,43",,,,,,,,,
ELISIO MEDRADO-BA,,,,,,BA,,,"67,08",,,,,,,-,,,,,,,"67,08",,,,,"134,43",,,,,,,,,
ENCRUZILHADA-BA,,,,,,BA,,,"97,27",,,,,,,-,,,,,,,"97,27",,,,,"194,93",,,,,,,,,
ENTRE RIOS-BA,,,,,,BA,,,"208.476,34",,,,,,,"129.181,90",,,,,,,"337.658,24",,,,,"688.031,91",,,,,,,,,
ESPLANADA-BA,,,,,,BA,,,"368.958,38",,,,,,,"224.094,88",,,,,,,"593.053,26",,,,,"1.273.852,30",,,,,,,,,
EUCLIDES DA CUNHA-BA,,,,,,BA,,,"107,34",,,,,,,-,,,,,,,"107,34",,,,,"215,10",,,,,,,,,
FATIMA-BA,,,,,,BA,,,"83,85",,,,,,,-,,,,,,,"83,85",,,,,"168,04",,,,,,,,,
FEIRA DE SANTANA-BA,,,,,,BA,,,"134,17",,,,,,,-,,,,,,,"134,17",,,,,"268,87",,,,,,,,,
GAVIAO-BA,,,,,,BA,,,"67,08",,,,,,,-,,,,,,,"67,08",,,,,"134,43",,,,,,,,,
GLORIA-BA,,,,,,BA,,,"77,15",,,,,,,-,,,,,,,"77,15",,,,,"154,60",,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,,,BA,,,"80,50",,,,,,,-,,,,,,,"80,50",,,,,"161,32",,,,,,,,,
HELIOPOLIS-BA,,,,,,BA,,,"73,79",,,,,,,-,,,,,,,"73,79",,,,,"147,88",,,,,,,,,
IACU-BA,,,,,,BA,,,"93,92",,,,,,,-,,,,,,,"93,92",,,,,"188,21",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBIQUERA-BA,,,,,,BA,,,"67,08",,,,,,,-,,,,,,,"67,08",,,,,"134,43",,,,,,,,,
ICHU-BA,,,,,,BA,,,"67,08",,,,,,,-,,,,,,,"67,08",,,,,"134,43",,,,,,,,,
INHAMBUPE-BA,,,,,,BA,,,"93,92",,,,,,,-,,,,,,,"93,92",,,,,"188,21",,,,,,,,,
