CAEM-BA,,,,BA,,,,,"42,97",,,,,,,,-,,,,,,"42,97",,,,,,,,"417,06",,,,,,,,
CAETANOS-BA,,,,BA,,,,,"42,97",,,,,,,,-,,,,,,"42,97",,,,,,,,"377,78",,,,,,,,
CAMACARI-BA,,,,BA,,,,,"22.496,82",,,,,,,,"81,79",,,,,,"22.578,61",,,,,,,,"267.132,26",,,,,,,,
CANDEAL-BA,,,,BA,,,,,"41,02",,,,,,,,-,,,,,,"41,02",,,,,,,,"373,11",,,,,,,,
CANDEIAS-BA,,,,BA,,,,,"249.217,04",,,,,,,,"137.292,26",,,,,,"386.509,30",,,,,,,,"4.890.953,15",,,,,,,,
CANDIDO SALES-BA,,,,BA,,,,,"54,69",,,,,,,,-,,,,,,"54,69",,,,,,,,"484,4",,,,,,,,
CANSANCAO-BA,,,,BA,,,,,"54,69",,,,,,,,-,,,,,,"54,69",,,,,,,,"497,38",,,,,,,,
CANUDOS-BA,,,,BA,,,,,"42,97",,,,,,,,-,,,,,,"42,97",,,,,,,,"417,06",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,BA,,,,,"41,02",,,,,,,,-,,,,,,"41,02",,,,,,,,"373,11",,,,,,,,
CAPIM GROSSO-BA,,,,BA,,,,,"50,79",,,,,,,,-,,,,,,"50,79",,,,,,,,"475,05",,,,,,,,
CARAVELAS-BA,,,,BA,,,,,"22.223,94",,,,,,,,-,,,,,,"22.223,94",,,,,,,,"264.012,74",,,,,,,,
CARDEAL DA SILVA-BA,,,,BA,,,,,"47.170,05",,,,,,,,"16.065,05",,,,,,"63.235,10",,,,,,,,"816.319,32",,,,,,,,
CASTRO ALVES-BA,,,,BA,,,,,"52,74",,,,,,,,-,,,,,,"52,74",,,,,,,,"479,73",,,,,,,,
CATU-BA,,,,BA,,,,,"93.368,47",,,,,,,,"146.089,83",,,,,,"239.458,30",,,,,,,,"2.847.759,41",,,,,,,,
CICERO DANTAS-BA,,,,BA,,,,,"54,69",,,,,,,,-,,,,,,"54,69",,,,,,,,"497,38",,,,,,,,
CIPO-BA,,,,BA,,,,,"44,93",,,,,,,,-,,,,,,"44,93",,,,,,,,"395,46",,,,,,,,
CONCEICAO DA FEIRA-BA,,,,BA,,,,,"46,88",,,,,,,,-,,,,,,"46,88",,,,,,,,"426,42",,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,BA,,,,,"48,83",,,,,,,,-,,,,,,"48,83",,,,,,,,"444,08",,,,,,,,
CONCEICAO DO COITE-BA,,,,BA,,,,,"64,46",,,,,,,,-,,,,,,"64,46",,,,,,,,"573,2",,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,BA,,,,,"52,74",,,,,,,,-,,,,,,"52,74",,,,,,,,"479,73",,,,,,,,
CONDE-BA,,,,BA,,,,,"50,79",,,,,,,,-,,,,,,"50,79",,,,,,,,"448,76",,,,,,,,
CORACAO DE MARIA-BA,,,,BA,,,,,"50,79",,,,,,,,-,,,,,,"50,79",,,,,,,,"461,89",,,,,,,,
CORONEL JOAO SA-BA,,,,BA,,,,,"48,83",,,,,,,,-,,,,,,"48,83",,,,,,,,"444,08",,,,,,,,
CRAVOLANDIA-BA,,,,BA,,,,,"39,07",,,,,,,,-,,,,,,"39,07",,,,,,,,"355,27",,,,,,,,
CRISOPOLIS-BA,,,,BA,,,,,"48,83",,,,,,,,-,,,,,,"48,83",,,,,,,,"431,08",,,,,,,,
CRUZ DAS ALMAS-BA,,,,BA,,,,,"62,50",,,,,,,,-,,,,,,"62,50",,,,,,,,"568,5",,,,,,,,
DARIO MEIRA-BA,,,,BA,,,,,"44,93",,,,,,,,-,,,,,,"44,93",,,,,,,,"408,61",,,,,,,,
DIAS D'AVILA-BA,,,,BA,,,,,"60,55",,,,,,,,-,,,,,,"60,55",,,,,,,,"537,71",,,,,,,,
DOM MACEDO COSTA-BA,,,,BA,,,,,"39,07",,,,,,,,-,,,,,,"39,07",,,,,,,,"355,27",,,,,,,,
