MARACAS,,,BA,,,,,"95,74",,,,,,,-,,,,,,,"95,74",,,,,"185,29",,,,,,,,,
MARAGOGIPE,,,BA,,,,,"105,99",,,,,,,-,,,,,,,"105,99",,,,,"205,14",,,,,,,,,
MARCIONILIO SOUZA,,,BA,,,,,"71,80",,,,,,,-,,,,,,,"71,80",,,,,"138,96",,,,,,,,,
MATA DE SAO JOAO,,,BA,,,,,"158.307,59",,,,,,,"62.296,94",,,,,,,"220.604,53",,,,,"410.695,15",,,,,,,,,
MIGUEL CALMON,,,BA,,,,,"95,74",,,,,,,-,,,,,,,"95,74",,,,,"185,29",,,,,,,,,
MILAGRES,,,BA,,,,,"75,22",,,,,,,-,,,,,,,"75,22",,,,,"145,58",,,,,,,,,
MIRANTE,,,BA,,,,,"75,22",,,,,,,-,,,,,,,"75,22",,,,,"145,58",,,,,,,,,
MONTE SANTO,,,BA,,,,,"109,41",,,,,,,-,,,,,,,"109,41",,,,,"211,76",,,,,,,,,
MUNDO NOVO,,,BA,,,,,"88,90",,,,,,,-,,,,,,,"88,90",,,,,"172,05",,,,,,,,,
MUNIZ FERREIRA,,,BA,,,,,"68,38",,,,,,,-,,,,,,,"68,38",,,,,"132,34",,,,,,,,,
MURITIBA,,,BA,,,,,"95,74",,,,,,,-,,,,,,,"95,74",,,,,"185,29",,,,,,,,,
MUTUIPE,,,BA,,,,,"88,90",,,,,,,-,,,,,,,"88,90",,,,,"172,05",,,,,,,,,
NAZARE,,,BA,,,,,"92,32",,,,,,,-,,,,,,,"92,32",,,,,"178,67",,,,,,,,,
NORDESTINA,,,BA,,,,,"71,80",,,,,,,-,,,,,,,"71,80",,,,,"138,96",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVA CANAA,,,BA,,,,,"78,64",,,,,,,-,,,,,,,"78,64",,,,,"152,20",,,,,,,,,
NOVA FATIMA,,,BA,,,,,"68,38",,,,,,,-,,,,,,,"68,38",,,,,"132,34",,,,,,,,,
NOVA ITARANA,,,BA,,,,,"68,38",,,,,,,-,,,,,,,"68,38",,,,,"132,34",,,,,,,,,
NOVA SOURE,,,BA,,,,,"92,32",,,,,,,-,,,,,,,"92,32",,,,,"178,67",,,,,,,,,
NOVO TRIUNFO,,,BA,,,,,"75,22",,,,,,,-,,,,,,,"75,22",,,,,"145,58",,,,,,,,,
OLINDINA,,,BA,,,,,"88,90",,,,,,,-,,,,,,,"88,90",,,,,"172,05",,,,,,,,,
