INHAMBUPE-BA,,,,BA,,,,,"28,85",,,,,,,,,-,,,,,,"28,85",,,,,,,,"66,61",,,,,,,,,,,
IPECAETA-BA,,,,BA,,,,,"25,64",,,,,,,,,-,,,,,,"25,64",,,,,,,,"59,23",,,,,,,,,,,
IPIRA-BA,,,,BA,,,,,"35,26",,,,,,,,,-,,,,,,"35,26",,,,,,,,"81,24",,,,,,,,,,,
IRAJUBA-BA,,,,BA,,,,,"21,37",,,,,,,,,-,,,,,,"21,37",,,,,,,,"49,60",,,,,,,,,,,
IRARA-BA,,,,BA,,,,,"28,85",,,,,,,,,-,,,,,,"28,85",,,,,,,,"66,61",,,,,,,,,,,
ITABERABA-BA,,,,BA,,,,,"35,26",,,,,,,,,-,,,,,,"35,26",,,,,,,,"81,24",,,,,,,,,,,
ITAGI-BA,,,,BA,,,,,"24,57",,,,,,,,,-,,,,,,"24,57",,,,,,,,"56,58",,,,,,,,,,,
ITAMBE-BA,,,,BA,,,,,"29,92",,,,,,,,,-,,,,,,"29,92",,,,,,,,"68,91",,,,,,,,,,,
ITANAGRA-BA,,,,BA,,,,,"11.712,37",,,,,,,,,"1.925,33",,,,,,"13.637,70",,,,,,,,"50.492,51",,,,,,,,,,,
ITAPARICA-BA,,,,BA,,,,,"67.233,32",,,,,,,,,"1.005,11",,,,,,"68.238,43",,,,,,,,"250.186,58",,,,,,,,,,,
ITAPETINGA-BA,,,,BA,,,,,"34,19",,,,,,,,,-,,,,,,"34,19",,,,,,,,"78,89",,,,,,,,,,,
ITAPICURU-BA,,,,BA,,,,,"28,85",,,,,,,,,-,,,,,,"28,85",,,,,,,,"66,61",,,,,,,,,,,
ITAQUARA-BA,,,,BA,,,,,"21,37",,,,,,,,,-,,,,,,"21,37",,,,,,,,"49,60",,,,,,,,,,,
ITARANTIM-BA,,,,BA,,,,,"24,57",,,,,,,,,-,,,,,,"24,57",,,,,,,,"56,58",,,,,,,,,,,
ITATIM-BA,,,,BA,,,,,"22,44",,,,,,,,,-,,,,,,"22,44",,,,,,,,"51,59",,,,,,,,,,,
ITIRUCU-BA,,,,BA,,,,,"23,51",,,,,,,,,-,,,,,,"23,51",,,,,,,,"54,24",,,,,,,,,,,
ITIUBA-BA,,,,BA,,,,,"30,99",,,,,,,,,-,,,,,,"30,99",,,,,,,,"71,56",,,,,,,,,,,
JACOBINA-BA,,,,BA,,,,,"38,47",,,,,,,,,-,,,,,,"38,47",,,,,,,,"88,54",,,,,,,,,,,
JAGUAQUARA-BA,,,,BA,,,,,"33,12",,,,,,,,,-,,,,,,"33,12",,,,,,,,"76,58",,,,,,,,,,,
JAGUARIPE-BA,,,,BA,,,,,"23,51",,,,,,,,,-,,,,,,"23,51",,,,,,,,"54,24",,,,,,,,,,,
JANDAIRA-BA,,,,BA,,,,,"21,37",,,,,,,,,-,,,,,,"21,37",,,,,,,,"49,60",,,,,,,,,,,
JEQUIE-BA,,,,BA,,,,,"42,74",,,,,,,,,-,,,,,,"42,74",,,,,,,,"98,19",,,,,,,,,,,
JEREMOABO-BA,,,,BA,,,,,"30,99",,,,,,,,,-,,,,,,"30,99",,,,,,,,"71,56",,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIQUIRICA-BA,,,,BA,,,,,"23,51",,,,,,,,,-,,,,,,"23,51",,,,,,,,"54,24",,,,,,,,,,,
JITAUNA-BA,,,,BA,,,,,"25,64",,,,,,,,,-,,,,,,"25,64",,,,,,,,"59,23",,,,,,,,,,,
LAFAIETE COUTINHO-BA,,,,BA,,,,,"21,37",,,,,,,,,-,,,,,,"21,37",,,,,,,,"49,60",,,,,,,,,,,
LAJE-BA,,,,BA,,,,,"26,71",,,,,,,,,-,,,,,,"26,71",,,,,,,,"61,60",,,,,,,,,,,
LAJEDINHO-BA,,,,BA,,,,,"21,37",,,,,,,,,-,,,,,,"21,37",,,,,,,,"49,23",,,,,,,,,,,
LAJEDO DO TABOCAL-BA,,,,BA,,,,,"21,37",,,,,,,,,-,,,,,,"21,37",,,,,,,,"49,60",,,,,,,,,,,
LAMARAO-BA,,,,BA,,,,,"22,44",,,,,,,,,-,,,,,,"22,44",,,,,,,,"51,59",,,,,,,,,,,
LAURO DE FREITAS-BA,,,,BA,,,,,"39,54",,,,,,,,,-,,,,,,"39,54",,,,,,,,"90,89",,,,,,,,,,,
