CICERO DANTAS-BA,,,BA,,,"67,63",,,,,,,-,,,,,,,"67,63",,,,,,"464,87",,,,,,,,,,,,,
CIPO-BA,,,BA,,,"55,55",,,,,,,-,,,,,,,"55,55",,,,,,"381,49",,,,,,,,,,,,,
CONCEICAO DA FEIRA-BA,,,BA,,,"57,97",,,,,,,-,,,,,,,"57,97",,,,,,"398,62",,,,,,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,BA,,,"60,38",,,,,,,-,,,,,,,"60,38",,,,,,"414,63",,,,,,,,,,,,,
CONCEICAO DO COITE-BA,,,BA,,,"79,70",,,,,,,-,,,,,,,"79,70",,,,,,"548,23",,,,,,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,BA,,,"65,21",,,,,,,-,,,,,,,"65,21",,,,,,"447,72",,,,,,,,,,,,,
CONDE-BA,,,BA,,,"62,80",,,,,,,-,,,,,,,"62,80",,,,,,"431,74",,,,,,,,,,,,,
CORACAO DE MARIA-BA,,,BA,,,"62,80",,,,,,,-,,,,,,,"62,80",,,,,,"431,74",,,,,,,,,,,,,
CORONEL JOAO SA-BA,,,BA,,,"60,38",,,,,,,-,,,,,,,"60,38",,,,,,"414,63",,,,,,,,,,,,,
CRAVOLANDIA-BA,,,BA,,,"48,31",,,,,,,-,,,,,,,"48,31",,,,,,"331,24",,,,,,,,,,,,,
CRISOPOLIS-BA,,,BA,,,"60,38",,,,,,,-,,,,,,,"60,38",,,,,,"414,63",,,,,,,,,,,,,
CRUZ DAS ALMAS-BA,,,BA,,,"77,29",,,,,,,-,,,,,,,"77,29",,,,,,"531,11",,,,,,,,,,,,,
DARIO MEIRA-BA,,,BA,,,"55,55",,,,,,,-,,,,,,,"55,55",,,,,,"381,49",,,,,,,,,,,,,
DIAS D'AVILA-BA,,,BA,,,"74,87",,,,,,,-,,,,,,,"74,87",,,,,,"514,00",,,,,,,,,,,,,
DOM MACEDO COSTA-BA,,,BA,,,"48,31",,,,,,,-,,,,,,,"48,31",,,,,,"331,24",,,,,,,,,,,,,
ELISIO MEDRADO-BA,,,BA,,,"48,31",,,,,,,-,,,,,,,"48,31",,,,,,"331,24",,,,,,,,,,,,,
ENCRUZILHADA-BA,,,BA,,,"70,04",,,,,,,-,,,,,,,"70,04",,,,,,"480,86",,,,,,,,,,,,,
ENTRE RIOS-BA,,,BA,,,"129.578,51",,,,,,,"73.629,77",,,,,,,"203.208,28",,,,,,"1.039.678,53",,,,,,,,,,,,,
ESPLANADA-BA,,,BA,,,"204.969,50",,,,,,,"124.041,14",,,,,,,"329.010,64",,,,,,"1.833.286,45",,,,,,,,,,,,,
EUCLIDES DA CUNHA-BA,,,BA,,,"77,29",,,,,,,-,,,,,,,"77,29",,,,,,"531,11",,,,,,,,,,,,,
FATIMA-BA,,,BA,,,"60,38",,,,,,,-,,,,,,,"60,38",,,,,,"414,63",,,,,,,,,,,,,
FEIRA DE SANTANA-BA,,,BA,,,"96,61",,,,,,,-,,,,,,,"96,61",,,,,,"663,62",,,,,,,,,,,,,
GAVIAO-BA,,,BA,,,"48,31",,,,,,,-,,,,,,,"48,31",,,,,,"331,24",,,,,,,,,,,,,
GLORIA-BA,,,BA,,,"55,55",,,,,,,-,,,,,,,"55,55",,,,,,"381,49",,,,,,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,BA,,,"57,97",,,,,,,-,,,,,,,"57,97",,,,,,"398,62",,,,,,,,,,,,,
HELIOPOLIS-BA,,,BA,,,"53,14",,,,,,,-,,,,,,,"53,14",,,,,,"365,49",,,,,,,,,,,,,
IACU-BA,,,BA,,,"67,63",,,,,,,-,,,,,,,"67,63",,,,,,"464,87",,,,,,,,,,,,,
IBIQUERA-BA,,,BA,,,"48,31",,,,,,,-,,,,,,,"48,31",,,,,,"331,24",,,,,,,,,,,,,
ICHU-BA,,,BA,,,"48,31",,,,,,,-,,,,,,,"48,31",,,,,,"331,24",,,,,,,,,,,,,
INHAMBUPE-BA,,,BA,,,"67,63",,,,,,,-,,,,,,,"67,63",,,,,,"464,87",,,,,,,,,,,,,
IPECAETA-BA,,,BA,,,"60,38",,,,,,,-,,,,,,,"60,38",,,,,,"414,63",,,,,,,,,,,,,
IPIRA-BA,,,BA,,,"79,70",,,,,,,-,,,,,,,"79,70",,,,,,"548,23",,,,,,,,,,,,,
IRAJUBA-BA,,,BA,,,"48,31",,,,,,,-,,,,,,,"48,31",,,,,,"331,24",,,,,,,,,,,,,
IRARA-BA,,,BA,,,"65,21",,,,,,,-,,,,,,,"65,21",,,,,,"447,72",,,,,,,,,,,,,
ITABERABA-BA,,,BA,,,"79,70",,,,,,,-,,,,,,,"79,70",,,,,,"548,23",,,,,,,,,,,,,
ITAGI-BA,,,BA,,,"55,55",,,,,,,-,,,,,,,"55,55",,,,,,"381,49",,,,,,,,,,,,,
ITAMBE-BA,,,BA,,,"67,63",,,,,,,-,,,,,,,"67,63",,,,,,"464,87",,,,,,,,,,,,,
ITANAGRA-BA,,,BA,,,"55.802,42",,,,,,,"10.213,62",,,,,,,"66.016,04",,,,,,"345.944,28",,,,,,,,,,,,,
ITAPARICA-BA,,,BA,,,"1.670,83",,,,,,,"34.369,80",,,,,,,"36.040,63",,,,,,"213.798,20",,,,,,,,,,,,,
ITAPETINGA-BA,,,BA,,,"79,70",,,,,,,-,,,,,,,"79,70",,,,,,"548,23",,,,,,,,,,,,,
ITAPICURU-BA,,,BA,,,"65,21",,,,,,,-,,,,,,,"65,21",,,,,,"447,72",,,,,,,,,,,,,
ITAQUARA-BA,,,BA,,,"48,31",,,,,,,-,,,,,,,"48,31",,,,,,"331,24",,,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITARANTIM-BA,,,BA,,,"55,55",,,,,,,-,,,,,,,"55,55",,,,,,"381,49",,,,,,,,,,,,,
ITATIM-BA,,,BA,,,"53,14",,,,,,,-,,,,,,,"53,14",,,,,,"365,49",,,,,,,,,,,,,
ITIRUCU-BA,,,BA,,,"53,14",,,,,,,-,,,,,,,"53,14",,,,,,"365,49",,,,,,,,,,,,,
ITIUBA-BA,,,BA,,,"70,04",,,,,,,-,,,,,,,"70,04",,,,,,"480,86",,,,,,,,,,,,,
JACOBINA-BA,,,BA,,,"84,53",,,,,,,-,,,,,,,"84,53",,,,,,"580,24",,,,,,,,,,,,,
JAGUAQUARA-BA,,,BA,,,"74,87",,,,,,,-,,,,,,,"74,87",,,,,,"514,00",,,,,,,,,,,,,
JAGUARIPE-BA,,,BA,,,"53,14",,,,,,,-,,,,,,,"53,14",,,,,,"365,49",,,,,,,,,,,,,
JANDAIRA-BA,,,BA,,,"50,72",,,,,,,-,,,,,,,"50,72",,,,,,"348,35",,,,,,,,,,,,,
JEQUIE-BA,,,BA,,,"96,61",,,,,,,-,,,,,,,"96,61",,,,,,"663,62",,,,,,,,,,,,,
JEREMOABO-BA,,,BA,,,"70,04",,,,,,,-,,,,,,,"70,04",,,,,,"480,86",,,,,,,,,,,,,
JIQUIRICA-BA,,,BA,,,"53,14",,,,,,,-,,,,,,,"53,14",,,,,,"365,49",,,,,,,,,,,,,
JITAUNA-BA,,,BA,,,"62,80",,,,,,,-,,,,,,,"62,80",,,,,,"431,74",,,,,,,,,,,,,
LAFAIETE COUTINHO-BA,,,BA,,,"48,31",,,,,,,-,,,,,,,"48,31",,,,,,"331,24",,,,,,,,,,,,,
LAJE-BA,,,BA,,,"60,38",,,,,,,-,,,,,,,"60,38",,,,,,"414,63",,,,,,,,,,,,,
LAJEDINHO-BA,,,BA,,,"48,31",,,,,,,-,,,,,,,"48,31",,,,,,"331,24",,,,,,,,,,,,,
LAJEDO DO TABOCAL-BA,,,BA,,,"48,31",,,,,,,-,,,,,,,"48,31",,,,,,"331,24",,,,,,,,,,,,,
LAMARAO-BA,,,BA,,,"48,31",,,,,,,-,,,,,,,"48,31",,,,,,"331,24",,,,,,,,,,,,,
LAURO DE FREITAS-BA,,,BA,,,"91,78",,,,,,,-,,,,,,,"91,78",,,,,,"630,48",,,,,,,,,,,,,
MACAJUBA-BA,,,BA,,,"50,72",,,,,,,-,,,,,,,"50,72",,,,,,"348,35",,,,,,,,,,,,,
MACARANI-BA,,,BA,,,"55,55",,,,,,,-,,,,,,,"55,55",,,,,,"381,49",,,,,,,,,,,,,
MADRE DE DEUS-BA,,,BA,,,"734.952,69",,,,,,,"152.899,41",,,,,,,"887.852,10",,,,,,"4.968.180,15",,,,,,,,,,,,,
MAIQUINIQUE-BA,,,BA,,,"48,31",,,,,,,-,,,,,,,"48,31",,,,,,"331,24",,,,,,,,,,,,,
MAIRI-BA,,,BA,,,"62,80",,,,,,,-,,,,,,,"62,80",,,,,,"431,74",,,,,,,,,,,,,
MANOEL VITORINO-BA,,,BA,,,"57,97",,,,,,,-,,,,,,,"57,97",,,,,,"398,62",,,,,,,,,,,,,
MARACAS-BA,,,BA,,,"67,63",,,,,,,-,,,,,,,"67,63",,,,,,"464,87",,,,,,,,,,,,,
MARAGOGIPE-BA,,,BA,,,"74,87",,,,,,,-,,,,,,,"74,87",,,,,,"514,00",,,,,,,,,,,,,
MARCIONILIO SOUZA-BA,,,BA,,,"50,72",,,,,,,-,,,,,,,"50,72",,,,,,"348,35",,,,,,,,,,,,,
MATA DE SÃO JOAO-BA,,,BA,,,"117.267,42",,,,,,,"48.834,55",,,,,,,"166.101,97",,,,,,"975.583,28",,,,,,,,,,,,,
MIGUEL CALMON-BA,,,BA,,,"67,63",,,,,,,-,,,,,,,"67,63",,,,,,"464,87",,,,,,,,,,,,,
MILAGRES-BA,,,BA,,,"53,14",,,,,,,-,,,,,,,"53,14",,,,,,"365,49",,,,,,,,,,,,,
MIRANTE-BA,,,BA,,,"53,14",,,,,,,-,,,,,,,"53,14",,,,,,"365,49",,,,,,,,,,,,,
MONTE SANTO-BA,,,BA,,,"77,29",,,,,,,-,,,,,,,"77,29",,,,,,"531,11",,,,,,,,,,,,,
MUNDO NOVO-BA,,,BA,,,"62,80",,,,,,,-,,,,,,,"62,80",,,,,,"431,74",,,,,,,,,,,,,
MUNIZ FERREIRA-BA,,,BA,,,"48,31",,,,,,,-,,,,,,,"48,31",,,,,,"331,24",,,,,,,,,,,,,
MURITIBA-BA,,,BA,,,"67,63",,,,,,,-,,,,,,,"67,63",,,,,,"464,87",,,,,,,,,,,,,
MUTUIPE-BA,,,BA,,,"62,80",,,,,,,-,,,,,,,"62,80",,,,,,"431,74",,,,,,,,,,,,,
NAZARE-BA,,,BA,,,"65,21",,,,,,,-,,,,,,,"65,21",,,,,,"447,72",,,,,,,,,,,,,
NORDESTINA-BA,,,BA,,,"50,72",,,,,,,-,,,,,,,"50,72",,,,,,"348,35",,,,,,,,,,,,,
NOVA CANAA-BA,,,BA,,,"55,55",,,,,,,-,,,,,,,"55,55",,,,,,"381,49",,,,,,,,,,,,,
NOVA FATIMA-BA,,,BA,,,"48,31",,,,,,,-,,,,,,,"48,31",,,,,,"331,24",,,,,,,,,,,,,
NOVA ITARANA-BA,,,BA,,,"48,31",,,,,,,-,,,,,,,"48,31",,,,,,"331,24",,,,,,,,,,,,,
NOVA SOURE-BA,,,BA,,,"65,21",,,,,,,-,,,,,,,"65,21",,,,,,"447,72",,,,,,,,,,,,,
NOVO TRIUNFO-BA,,,BA,,,"53,14",,,,,,,-,,,,,,,"53,14",,,,,,"365,49",,,,,,,,,,,,,
OLINDINA-BA,,,BA,,,"62,80",,,,,,,-,,,,,,,"62,80",,,,,,"431,74",,,,,,,,,,,,,
OURICANGAS-BA,,,BA,,,"48,31",,,,,,,-,,,,,,,"48,31",,,,,,"331,24",,,,,,,,,,,,,
OUROLANDIA-BA,,,BA,,,"55,55",,,,,,,-,,,,,,,"55,55",,,,,,"381,49",,,,,,,,,,,,,
PARIPIRANGA-BA,,,BA,,,"65,21",,,,,,,-,,,,,,,"65,21",,,,,,"447,72",,,,,,,,,,,,,
PAULO AFONSO-BA,,,BA,,,"89,37",,,,,,,-,,,,,,,"89,37",,,,,,"614,49",,,,,,,,,,,,,
PE DE SERRA-BA,,,BA,,,"53,14",,,,,,,-,,,,,,,"53,14",,,,,,"365,49",,,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEDRAO-BA,,,BA,,,"48,31",,,,,,,-,,,,,,,"48,31",,,,,,"331,24",,,,,,,,,,,,,
PEDRO ALEXANDRE-BA,,,BA,,,"57,97",,,,,,,-,,,,,,,"57,97",,,,,,"398,62",,,,,,,,,,,,,
PINTADAS-BA,,,BA,,,"50,72",,,,,,,-,,,,,,,"50,72",,,,,,"348,35",,,,,,,,,,,,,
PIRITIBA-BA,,,BA,,,"60,38",,,,,,,-,,,,,,,"60,38",,,,,,"414,63",,,,,,,,,,,,,
PLANALTINO-BA,,,BA,,,"48,31",,,,,,,-,,,,,,,"48,31",,,,,,"331,24",,,,,,,,,,,,,
PLANALTO-BA,,,BA,,,"62,80",,,,,,,-,,,,,,,"62,80",,,,,,"431,74",,,,,,,,,,,,,
POCOES-BA,,,BA,,,"74,87",,,,,,,-,,,,,,,"74,87",,,,,,"514,00",,,,,,,,,,,,,
POJUCA-BA,,,BA,,,"336.111,78",,,,,,,"295.943,67",,,,,,,"632.055,45",,,,,,"3.626.225,38",,,,,,,,,,,,,
QUEIMADAS-BA,,,BA,,,"65,21",,,,,,,-,,,,,,,"65,21",,,,,,"447,72",,,,,,,,,,,,,
QUIJINGUE -BA,,,BA,,,"65,21",,,,,,,-,,,,,,,"65,21",,,,,,"447,72",,,,,,,,,,,,,
