BAIXA GRANDE-BA,,,,BA,,,,,"776,17",,,,,,,-,,,,,,,,"776,17",,,,,,,"2.847,86",,,,,,,,,,
BANZAE-BA,,,,BA,,,,,"626,90",,,,,,,-,,,,,,,,"626,90",,,,,,,"2.300,19",,,,,,,,,,
BARRA DO CHOCA-BA,,,,BA,,,,,"925,43",,,,,,,-,,,,,,,,"925,43",,,,,,,"3.395,52",,,,,,,,,,
BARRA DO ROCHA-BA,,,,BA,,,,,"597,05",,,,,,,-,,,,,,,,"597,05",,,,,,,"2.079,98",,,,,,,,,,
BARRO PRETO-BA,,,,BA,,,,,"597,05",,,,,,,-,,,,,,,,"597,05",,,,,,,"2.079,98",,,,,,,,,,
BARROCAS-BA,,,,BA,,,,,"656,76",,,,,,,-,,,,,,,,"656,76",,,,,,,"2.409,73",,,,,,,,,,
BELMONTE-BA,,,,BA,,,,,"776,17",,,,,,,-,,,,,,,,"776,17",,,,,,,"2.703,99",,,,,,,,,,
BELO CAMPO-BA,,,,BA,,,,,"716,46",,,,,,,-,,,,,,,,"716,46",,,,,,,"2.628,77",,,,,,,,,,
BIRITINGA-BA,,,,BA,,,,,"686,61",,,,,,,-,,,,,,,,"686,61",,,,,,,"2.519,26",,,,,,,,,,
BOA NOVA-BA,,,,BA,,,,,"776,17",,,,,,,-,,,,,,,,"776,17",,,,,,,"2.847,86",,,,,,,,,,
BOA VISTA DO TUPIM-BA,,,,BA,,,,,"746,32",,,,,,,-,,,,,,,,"746,32",,,,,,,"2.738,33",,,,,,,,,,
BOM JESUS DA SERRA-BA,,,,BA,,,,,"626,90",,,,,,,-,,,,,,,,"626,90",,,,,,,"2.300,19",,,,,,,,,,
BREJOES-BA,,,,BA,,,,,"686,61",,,,,,,-,,,,,,,,"686,61",,,,,,,"2.519,26",,,,,,,,,,
BUERAREMA-BA,,,,BA,,,,,"746,32",,,,,,,-,,,,,,,,"746,32",,,,,,,"2.599,99",,,,,,,,,,
CAATIBA-BA,,,,BA,,,,,"686,61",,,,,,,-,,,,,,,,"686,61",,,,,,,"2.519,26",,,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,BA,,,,,"686,61",,,,,,,-,,,,,,,,"686,61",,,,,,,"2.519,26",,,,,,,,,,
CACHOEIRA-BA,,,,BA,,,,,"835,87",,,,,,,-,,,,,,,,"835,87",,,,,,,"3.066,92",,,,,,,,,,
CAEM-BA,,,,BA,,,,,"656,76",,,,,,,-,,,,,,,,"656,76",,,,,,,"2.409,73",,,,,,,,,,
CAETANOS-BA,,,,BA,,,,,"656,76",,,,,,,-,,,,,,,,"656,76",,,,,,,"2.409,73",,,,,,,,,,
CAIRU-BA,,,,BA,,,,,"22.329,39",,,,,,,"176.779,98",,,,,,,,"199.109,37",,,,,,,"670.503,08",,,,,,,,,,
CAMACAN-BA,,,,BA,,,,,"835,87",,,,,,,-,,,,,,,,"835,87",,,,,,,"2.911,98",,,,,,,,,,
CAMACARI-BA,,,,BA,,,,,"1.296,27",,,,,,,"58,23",,,,,,,,"1.354,50",,,,,,,"7.624,24",,,,,,,,,,
CAMAMU-BA,,,,BA,,,,,"865,73",,,,,,,-,,,,,,,,"865,73",,,,,,,"3.015,99",,,,,,,,,,
CANAVIEIRAS-BA,,,,BA,,,,,"865,73",,,,,,,-,,,,,,,,"865,73",,,,,,,"3.015,99",,,,,,,,,,
CANDEAL-BA,,,,BA,,,,,"626,90",,,,,,,-,,,,,,,,"626,90",,,,,,,"2.300,19",,,,,,,,,,
CANDEIAS-BA,,,,BA,,,,,"193.829,86",,,,,,,"228.942,55",,,,,,,,"422.772,41",,,,,,,"3.044.164,22",,,,,,,,,,
CANDIDO SALES-BA,,,,BA,,,,,"835,87",,,,,,,-,,,,,,,,"835,87",,,,,,,"3.066,92",,,,,,,,,,
CANSANCAO-BA,,,,BA,,,,,"835,87",,,,,,,-,,,,,,,,"835,87",,,,,,,"3.066,92",,,,,,,,,,
CANUDOS-BA,,,,BA,,,,,"656,76",,,,,,,-,,,,,,,,"656,76",,,,,,,"2.409,73",,,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,BA,,,,,"626,90",,,,,,,-,,,,,,,,"626,90",,,,,,,"2.300,19",,,,,,,,,,
CAPIM GROSSO-BA,,,,BA,,,,,"776,17",,,,,,,-,,,,,,,,"776,17",,,,,,,"2.847,86",,,,,,,,,,
CARAVELAS-BA,,,,BA,,,,,"776,17",,,,,,,-,,,,,,,,"776,17",,,,,,,"2.703,99",,,,,,,,,,
CARDEAL DA SILVA-BA,,,,BA,,,,,"115.133,20",,,,,,,"32.879,43",,,,,,,,"148.012,63",,,,,,,"1.018.345,18",,,,,,,,,,
CASTRO ALVES-BA,,,,BA,,,,,"806,02",,,,,,,-,,,,,,,,"806,02",,,,,,,"2.957,38",,,,,,,,,,
CATU-BA,,,,BA,,,,,"179.430,95",,,,,,,"94.213,71",,,,,,,,"273.644,66",,,,,,,"2.000.324,27",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CICERO DANTAS-BA,,,,BA,,,,,"835,87",,,,,,,-,,,,,,,,"835,87",,,,,,,"3.066,92",,,,,,,,,,
CIPO-BA,,,,BA,,,,,"686,61",,,,,,,-,,,,,,,,"686,61",,,,,,,"2.519,26",,,,,,,,,,
COARACI-BA,,,,BA,,,,,"806,02",,,,,,,-,,,,,,,,"806,02",,,,,,,"2.807,98",,,,,,,,,,
CONCEICAO DA FEIRA-BA,,,,BA,,,,,"716,46",,,,,,,-,,,,,,,,"716,46",,,,,,,"2.628,77",,,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,BA,,,,,"746,32",,,,,,,-,,,,,,,,"746,32",,,,,,,"2.738,33",,,,,,,,,,
CONCEICAO DO COITE-BA,,,,BA,,,,,"985,14",,,,,,,-,,,,,,,,"985,14",,,,,,,"3.614,60",,,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,BA,,,,,"806,02",,,,,,,-,,,,,,,,"806,02",,,,,,,"2.957,38",,,,,,,,,,
CONDE-BA,,,,BA,,,,,"776,17",,,,,,,-,,,,,,,,"776,17",,,,,,,"6.636,44",,,,,,,,,,
CORACAO DE MARIA-BA,,,,BA,,,,,"776,17",,,,,,,-,,,,,,,,"776,17",,,,,,,"2.847,86",,,,,,,,,,
CORONEL JOAO SA-BA,,,,BA,,,,,"746,32",,,,,,,-,,,,,,,,"746,32",,,,,,,"2.738,33",,,,,,,,,,
CRAVOLANDIA-BA,,,,BA,,,,,"597,05",,,,,,,-,,,,,,,,"597,05",,,,,,,"2.190,64",,,,,,,,,,
CRISOPOLIS-BA,,,,BA,,,,,"746,32",,,,,,,-,,,,,,,,"746,32",,,,,,,"2.738,33",,,,,,,,,,
CRUZ DAS ALMAS-BA,,,,BA,,,,,"955,29",,,,,,,-,,,,,,,,"955,29",,,,,,,"3.505,07",,,,,,,,,,
DARIO MEIRA-BA,,,,BA,,,,,"686,61",,,,,,,-,,,,,,,,"686,61",,,,,,,"2.519,26",,,,,,,,,,
DIAS D'AVILA-BA,,,,BA,,,,,"925,43",,,,,,,-,,,,,,,,"925,43",,,,,,,"3.395,52",,,,,,,,,,
DOM MACEDO COSTA-BA,,,,BA,,,,,"597,05",,,,,,,-,,,,,,,,"597,05",,,,,,,"2.190,64",,,,,,,,,,
ELISIO MEDRADO-BA,,,,BA,,,,,"597,05",,,,,,,-,,,,,,,,"597,05",,,,,,,"2.190,64",,,,,,,,,,
ENCRUZILHADA-BA,,,,BA,,,,,"865,73",,,,,,,-,,,,,,,,"865,73",,,,,,,"3.176,48",,,,,,,,,,
ENTRE RIOS-BA,,,,BA,,,,,"196.024,11",,,,,,,"132.145,49",,,,,,,,"328.169,60",,,,,,,"2.316.691,40",,,,,,,,,,
ESPLANADA-BA,,,,BA,,,,,"490.859,38",,,,,,,"317.188,84",,,,,,,,"808.048,22",,,,,,,"6.694.982,50",,,,,,,,,,
EUCLIDES DA CUNHA-BA,,,,BA,,,,,"955,29",,,,,,,-,,,,,,,,"955,29",,,,,,,"3.505,07",,,,,,,,,,
EUNAPOLIS-BA,,,,BA,,,,,"1.074,70",,,,,,,-,,,,,,,,"1.074,70",,,,,,,"3.743,99",,,,,,,,,,
FATIMA-BA,,,,BA,,,,,"746,32",,,,,,,-,,,,,,,,"746,32",,,,,,,"2.738,33",,,,,,,,,,
FEIRA DE SANTANA-BA,,,,BA,,,,,"1.194,11",,,,,,,-,,,,,,,,"1.194,11",,,,,,,"4.381,34",,,,,,,,,,
FIRMINO ALVES-BA,,,,BA,,,,,"597,05",,,,,,,-,,,,,,,,"597,05",,,,,,,"2.079,98",,,,,,,,,,
FLORESTA AZUL-BA,,,,BA,,,,,"626,90",,,,,,,-,,,,,,,,"626,90",,,,,,,"2.183,98",,,,,,,,,,
GANDU-BA,,,,BA,,,,,"806,02",,,,,,,-,,,,,,,,"806,02",,,,,,,"2.807,98",,,,,,,,,,
GAVIAO-BA,,,,BA,,,,,"597,05",,,,,,,-,,,,,,,,"597,05",,,,,,,"2.190,64",,,,,,,,,,
GLORIA-BA,,,,BA,,,,,"686,61",,,,,,,-,,,,,,,,"686,61",,,,,,,"2.519,26",,,,,,,,,,
GONGOGI-BA,,,,BA,,,,,"626,90",,,,,,,-,,,,,,,,"626,90",,,,,,,"2.183,98",,,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,BA,,,,,"716,46",,,,,,,-,,,,,,,,"716,46",,,,,,,"2.628,77",,,,,,,,,,
GUARATINGA-BA,,,,BA,,,,,"806,02",,,,,,,-,,,,,,,,"806,02",,,,,,,"2.807,98",,,,,,,,,,
HELIOPOLIS-BA,,,,BA,,,,,"656,76",,,,,,,-,,,,,,,,"656,76",,,,,,,"2.409,73",,,,,,,,,,
IACU-BA,,,,BA,,,,,"835,87",,,,,,,-,,,,,,,,"835,87",,,,,,,"3.066,92",,,,,,,,,,
