BARRA DO CHOCA-BA,,,,BA,,,,,"46,22",,,,,,,,-,,,,,,"46,22",,,,,,"305,01",,,,,,,,,,,,,
BELO CAMPO-BA,,,,BA,,,,,"35,44",,,,,,,,-,,,,,,"35,44",,,,,,"233,84",,,,,,,,,,,,,
BIRITINGA-BA,,,,BA,,,,,"33,89",,,,,,,,-,,,,,,"33,89",,,,,,"223,67",,,,,,,,,,,,,
BOA NOVA-BA,,,,BA,,,,,"36,98",,,,,,,,-,,,,,,"36,98",,,,,,"243,99",,,,,,,,,,,,,
BOA VISTA DO TUPIM-BA,,,,BA,,,,,"38,52",,,,,,,,-,,,,,,"38,52",,,,,,"254,18",,,,,,,,,,,,,
BOM JESUS DA SERRA-BA,,,,BA,,,,,"32,35",,,,,,,,-,,,,,,"32,35",,,,,,"213,51",,,,,,,,,,,,,
BREJOES-BA,,,,BA,,,,,"35,44",,,,,,,,-,,,,,,"35,44",,,,,,"233,84",,,,,,,,,,,,,
CAATIBA-BA,,,,BA,,,,,"35,44",,,,,,,,-,,,,,,"35,44",,,,,,"233,84",,,,,,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,BA,,,,,"35,44",,,,,,,,-,,,,,,"35,44",,,,,,"233,84",,,,,,,,,,,,,
CACHOEIRA-BA,,,,BA,,,,,"43,14",,,,,,,,-,,,,,,"43,14",,,,,,"284,67",,,,,,,,,,,,,
CAEM-BA,,,,BA,,,,,"36,98",,,,,,,,-,,,,,,"36,98",,,,,,"243,99",,,,,,,,,,,,,
CAETANOS-BA,,,,BA,,,,,"32,35",,,,,,,,-,,,,,,"32,35",,,,,,"213,51",,,,,,,,,,,,,
CAMACARI-BA,,,,BA,,,,,"24.538,95",,,,,,,,"91,11",,,,,,"24.630,06",,,,,,"146.359,98",,,,,,,,,,,,,
CANDEAL-BA,,,,BA,,,,,"32,35",,,,,,,,-,,,,,,"32,35",,,,,,"213,51",,,,,,,,,,,,,
CANDEIAS-BA,,,,BA,,,,,"299.206,09",,,,,,,,"148.844,13",,,,,,"448.050,22",,,,,,"2.695.262,42",,,,,,,,,,,,,
CANDIDO SALES-BA,,,,BA,,,,,"41,60",,,,,,,,-,,,,,,"41,60",,,,,,"274,51",,,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANSANCAO-BA,,,,BA,,,,,"43,14",,,,,,,,-,,,,,,"43,14",,,,,,"284,67",,,,,,,,,,,,,
CANUDOS-BA,,,,BA,,,,,"36,98",,,,,,,,-,,,,,,"36,98",,,,,,"243,99",,,,,,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,BA,,,,,"32,35",,,,,,,,-,,,,,,"32,35",,,,,,"213,51",,,,,,,,,,,,,
CAPIM GROSSO-BA,,,,BA,,,,,"41,60",,,,,,,,-,,,,,,"41,60",,,,,,"274,51",,,,,,,,,,,,,
CARAVELAS-BA,,,,BA,,,,,"24.261,93",,,,,,,,-,,,,,,"24.261,93",,,,,,"144.878,95",,,,,,,,,,,,,
CARDEAL DA SILVA-BA,,,,BA,,,,,"54.093,64",,,,,,,,"19.221,59",,,,,,"73.315,23",,,,,,"461.729,75",,,,,,,,,,,,,
CASTRO ALVES-BA,,,,BA,,,,,"41,60",,,,,,,,-,,,,,,"41,60",,,,,,"274,51",,,,,,,,,,,,,
CATU-BA,,,,BA,,,,,"92.816,63",,,,,,,,"180.859,92",,,,,,"273.676,55",,,,,,"1.540.310,50",,,,,,,,,,,,,
CICERO DANTAS-BA,,,,BA,,,,,"43,14",,,,,,,,-,,,,,,"43,14",,,,,,"284,67",,,,,,,,,,,,,
CIPO-BA,,,,BA,,,,,"33,89",,,,,,,,-,,,,,,"33,89",,,,,,"223,67",,,,,,,,,,,,,
CONCEICAO DA FEIRA-BA,,,,BA,,,,,"36,98",,,,,,,,-,,,,,,"36,98",,,,,,"243,99",,,,,,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,BA,,,,,"38,52",,,,,,,,-,,,,,,"38,52",,,,,,"254,18",,,,,,,,,,,,,
CONCEICAO DO COITE-BA,,,,BA,,,,,"49,30",,,,,,,,-,,,,,,"49,30",,,,,,"325,35",,,,,,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,BA,,,,,"41,60",,,,,,,,-,,,,,,"41,60",,,,,,"274,51",,,,,,,,,,,,,
CONDE-BA,,,,BA,,,,,"38,52",,,,,,,,-,,,,,,"38,52",,,,,,"254,18",,,,,,,,,,,,,
CORACAO DE MARIA-BA,,,,BA,,,,,"40,06",,,,,,,,-,,,,,,"40,06",,,,,,"264,34",,,,,,,,,,,,,
CORONEL JOAO SA-BA,,,,BA,,,,,"38,52",,,,,,,,-,,,,,,"38,52",,,,,,"254,18",,,,,,,,,,,,,
CRAVOLANDIA-BA,,,,BA,,,,,"30,81",,,,,,,,-,,,,,,"30,81",,,,,,"203,31",,,,,,,,,,,,,
CRISOPOLIS-BA,,,,BA,,,,,"36,98",,,,,,,,-,,,,,,"36,98",,,,,,"243,99",,,,,,,,,,,,,
CRUZ DAS ALMAS-BA,,,,BA,,,,,"49,30",,,,,,,,-,,,,,,"49,30",,,,,,"325,35",,,,,,,,,,,,,
DARIO MEIRA-BA,,,,BA,,,,,"35,44",,,,,,,,-,,,,,,"35,44",,,,,,"233,84",,,,,,,,,,,,,
DIAS D'AVILA-BA,,,,BA,,,,,"46,22",,,,,,,,-,,,,,,"46,22",,,,,,"305,01",,,,,,,,,,,,,
DOM MACEDO COSTA-BA,,,,BA,,,,,"30,81",,,,,,,,-,,,,,,"30,81",,,,,,"203,31",,,,,,,,,,,,,
ELISIO MEDRADO-BA,,,,BA,,,,,"30,81",,,,,,,,-,,,,,,"30,81",,,,,,"203,31",,,,,,,,,,,,,
ENCRUZILHADA-BA,,,,BA,,,,,"43,14",,,,,,,,-,,,,,,"43,14",,,,,,"284,67",,,,,,,,,,,,,
ENTRE RIOS-BA,,,,BA,,,,,"150.564,10",,,,,,,,"81.436,08",,,,,,"232.000,18",,,,,,"1.555.295,04",,,,,,,,,,,,,
ESPLANADA-BA,,,,BA,,,,,"199.288,14",,,,,,,,"112.865,07",,,,,,"312.153,21",,,,,,"1.989.561,57",,,,,,,,,,,,,
EUCLIDES DA CUNHA-BA,,,,BA,,,,,"49,30",,,,,,,,-,,,,,,"49,30",,,,,,"325,35",,,,,,,,,,,,,
FATIMA-BA,,,,BA,,,,,"36,98",,,,,,,,-,,,,,,"36,98",,,,,,"243,99",,,,,,,,,,,,,
FEIRA DE SANTANA-BA,,,,BA,,,,,"61,63",,,,,,,,-,,,,,,"61,63",,,,,,"406,68",,,,,,,,,,,,,
GAVIAO-BA,,,,BA,,,,,"30,81",,,,,,,,-,,,,,,"30,81",,,,,,"203,31",,,,,,,,,,,,,
GLORIA-BA,,,,BA,,,,,"33,89",,,,,,,,-,,,,,,"33,89",,,,,,"223,67",,,,,,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,BA,,,,,"36,98",,,,,,,,-,,,,,,"36,98",,,,,,"243,99",,,,,,,,,,,,,
HELIOPOLIS-BA,,,,BA,,,,,"33,89",,,,,,,,-,,,,,,"33,89",,,,,,"223,67",,,,,,,,,,,,,
IACU-BA,,,,BA,,,,,"41,60",,,,,,,,-,,,,,,"41,60",,,,,,"274,51",,,,,,,,,,,,,
