CABACEIRAS DO PARAGUACU,,,,BA,,,,,,"74,65",,,,,,,,-,,,,,,,"74,65",,,,,,,,,"400,12",,,,,,,,
CACHOEIRA,,,,BA,,,,,,"90,88",,,,,,,,-,,,,,,,"90,88",,,,,,,,,"487,10",,,,,,,,
CAEM,,,,BA,,,,,,"71,40",,,,,,,,-,,,,,,,"71,40",,,,,,,,,"382,72",,,,,,,,
CAETANOS,,,,BA,,,,,,"71,40",,,,,,,,-,,,,,,,"71,40",,,,,,,,,"382,72",,,,,,,,
CAMACARI,,,,BA,,,,,,"129,82",,,,,,,,-,,,,,,,"129,82",,,,,,,,,"2.497,47",,,,,,,,
CANDEAL,,,,BA,,,,,,"68,16",,,,,,,,-,,,,,,,"68,16",,,,,,,,,"365,32",,,,,,,,
CANDEIAS,,,,BA,,,,,,"176.501,31",,,,,,,,"204.344,22",,,,,,,"380.845,53",,,,,,,,,"1.856.206,31",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANDIDO SALES,,,,BA,,,,,,"90,88",,,,,,,,-,,,,,,,"90,88",,,,,,,,,"487,10",,,,,,,,
CANSANCAO,,,,BA,,,,,,"90,88",,,,,,,,-,,,,,,,"90,88",,,,,,,,,"487,10",,,,,,,,
CANUDOS,,,,BA,,,,,,"71,40",,,,,,,,-,,,,,,,"71,40",,,,,,,,,"382,72",,,,,,,,
CAPELA DO ALTO ALEGRE,,,,BA,,,,,,"68,16",,,,,,,,-,,,,,,,"68,16",,,,,,,,,"365,32",,,,,,,,
CAPIM GROSSO,,,,BA,,,,,,"84,38",,,,,,,,-,,,,,,,"84,38",,,,,,,,,"452,30",,,,,,,,
CARDEAL DA SILVA,,,,BA,,,,,,"33.478,65",,,,,,,,"21.551,86",,,,,,,"55.030,51",,,,,,,,,"369.288,00",,,,,,,,
CASTRO ALVES,,,,BA,,,,,,"87,63",,,,,,,,-,,,,,,,"87,63",,,,,,,,,"469,71",,,,,,,,
CATU,,,,BA,,,,,,"173.746,57",,,,,,,,"88.789,60",,,,,,,"262.536,17",,,,,,,,,"1.277.617,69",,,,,,,,
CICERO DANTAS,,,,BA,,,,,,"90,88",,,,,,,,-,,,,,,,"90,88",,,,,,,,,"487,10",,,,,,,,
CIPO,,,,BA,,,,,,"74,65",,,,,,,,-,,,,,,,"74,65",,,,,,,,,"400,12",,,,,,,,
CONCEICAO DA FEIRA,,,,BA,,,,,,"77,89",,,,,,,,-,,,,,,,"77,89",,,,,,,,,"417,51",,,,,,,,
CONCEICAO DO ALMEIDA,,,,BA,,,,,,"81,14",,,,,,,,-,,,,,,,"81,14",,,,,,,,,"434,92",,,,,,,,
CONCEICAO DO COITE,,,,BA,,,,,,"107,10",,,,,,,,-,,,,,,,"107,10",,,,,,,,,"574,09",,,,,,,,
CONCEICAO DO JACUIPE,,,,BA,,,,,,"87,63",,,,,,,,-,,,,,,,"87,63",,,,,,,,,"469,71",,,,,,,,
CONDE,,,,BA,,,,,,"638,91",,,,,,,,"357,67",,,,,,,"996,58",,,,,,,,,"5.058,85",,,,,,,,
CORACAO DE MARIA,,,,BA,,,,,,"84,38",,,,,,,,-,,,,,,,"84,38",,,,,,,,,"452,30",,,,,,,,
CORONEL JOAO SA,,,,BA,,,,,,"81,14",,,,,,,,-,,,,,,,"81,14",,,,,,,,,"434,92",,,,,,,,
CRAVOLANDIA,,,,BA,,,,,,"64,91",,,,,,,,-,,,,,,,"64,91",,,,,,,,,"347,93",,,,,,,,
CRISOPOLIS,,,,BA,,,,,,"81,14",,,,,,,,-,,,,,,,"81,14",,,,,,,,,"434,92",,,,,,,,
CRUZ DAS ALMAS,,,,BA,,,,,,"103,86",,,,,,,,-,,,,,,,"103,86",,,,,,,,,"556,69",,,,,,,,
DARIO MEIRA,,,,BA,,,,,,"74,65",,,,,,,,-,,,,,,,"74,65",,,,,,,,,"400,12",,,,,,,,
DIAS D'AVILA,,,,BA,,,,,,"1.130,69",,,,,,,,"432,63",,,,,,,"1.563,32",,,,,,,,,"7.397,86",,,,,,,,
DOM MACEDO COSTA,,,,BA,,,,,,"64,91",,,,,,,,-,,,,,,,"64,91",,,,,,,,,"347,93",,,,,,,,
ELISIO MEDRADO,,,,BA,,,,,,"64,91",,,,,,,,-,,,,,,,"64,91",,,,,,,,,"347,93",,,,,,,,
ENCRUZILHADA,,,,BA,,,,,,"94,12",,,,,,,,-,,,,,,,"94,12",,,,,,,,,"504,50",,,,,,,,
ENTRE RIOS,,,,BA,,,,,,"177.807,97",,,,,,,,"107.230,02",,,,,,,"285.037,99",,,,,,,,,"1.358.369,81",,,,,,,,
ESPLANADA,,,,BA,,,,,,"311.664,26",,,,,,,,"184.172,75",,,,,,,"495.837,01",,,,,,,,,"2.360.442,80",,,,,,,,
EUCLIDES DA CUNHA,,,,BA,,,,,,"103,86",,,,,,,,-,,,,,,,"103,86",,,,,,,,,"556,69",,,,,,,,
FATIMA,,,,BA,,,,,,"81,14",,,,,,,,-,,,,,,,"81,14",,,,,,,,,"434,92",,,,,,,,
FEIRA DE SANTANA,,,,BA,,,,,,"129,82",,,,,,,,-,,,,,,,"129,82",,,,,,,,,"695,87",,,,,,,,
GAVIAO,,,,BA,,,,,,"64,91",,,,,,,,-,,,,,,,"64,91",,,,,,,,,"347,93",,,,,,,,
GLORIA,,,,BA,,,,,,"74,65",,,,,,,,-,,,,,,,"74,65",,,,,,,,,"400,12",,,,,,,,
GOVERNADOR MANGABEIRA,,,,BA,,,,,,"77,89",,,,,,,,-,,,,,,,"77,89",,,,,,,,,"417,51",,,,,,,,
HELIOPOLIS,,,,BA,,,,,,"71,40",,,,,,,,-,,,,,,,"71,40",,,,,,,,,"382,72",,,,,,,,
IACU,,,,BA,,,,,,"90,88",,,,,,,,-,,,,,,,"90,88",,,,,,,,,"487,10",,,,,,,,
IBIQUERA,,,,BA,,,,,,"64,91",,,,,,,,-,,,,,,,"64,91",,,,,,,,,"347,93",,,,,,,,
ICHU,,,,BA,,,,,,"64,91",,,,,,,,-,,,,,,,"64,91",,,,,,,,,"347,93",,,,,,,,
INHAMBUPE,,,,BA,,,,,,"90,88",,,,,,,,-,,,,,,,"90,88",,,,,,,,,"487,10",,,,,,,,
IPECAETA,,,,BA,,,,,,"81,14",,,,,,,,-,,,,,,,"81,14",,,,,,,,,"434,92",,,,,,,,
IPIRA,,,,BA,,,,,,"107,10",,,,,,,,-,,,,,,,"107,10",,,,,,,,,"574,09",,,,,,,,
IRAJUBA,,,,BA,,,,,,"64,91",,,,,,,,-,,,,,,,"64,91",,,,,,,,,"347,93",,,,,,,,
IRARA,,,,BA,,,,,,"87,63",,,,,,,,-,,,,,,,"87,63",,,,,,,,,"469,71",,,,,,,,
ITABERABA,,,,BA,,,,,,"107,10",,,,,,,,-,,,,,,,"107,10",,,,,,,,,"574,09",,,,,,,,
ITAGI,,,,BA,,,,,,"74,65",,,,,,,,-,,,,,,,"74,65",,,,,,,,,"400,12",,,,,,,,
ITAMBE,,,,BA,,,,,,"90,88",,,,,,,,-,,,,,,,"90,88",,,,,,,,,"487,10",,,,,,,,
ITANAGRA,,,,BA,,,,,,"82.545,36",,,,,,,,"14.556,97",,,,,,,"97.102,33",,,,,,,,,"441.381,63",,,,,,,,
ITAPARICA,,,,BA,,,,,,"2.245,49",,,,,,,,"110.432,22",,,,,,,"112.677,71",,,,,,,,,"482.013,54",,,,,,,,
ITAPETINGA,,,,BA,,,,,,"107,10",,,,,,,,-,,,,,,,"107,10",,,,,,,,,"574,09",,,,,,,,
ITAPICURU,,,,BA,,,,,,"87,63",,,,,,,,-,,,,,,,"87,63",,,,,,,,,"469,71",,,,,,,,
ITAQUARA,,,,BA,,,,,,"64,91",,,,,,,,-,,,,,,,"64,91",,,,,,,,,"347,93",,,,,,,,
ITARANTIM,,,,BA,,,,,,"77,89",,,,,,,,-,,,,,,,"77,89",,,,,,,,,"406,43",,,,,,,,
ITATIM,,,,BA,,,,,,"71,40",,,,,,,,-,,,,,,,"71,40",,,,,,,,,"382,72",,,,,,,,
ITIRUCU,,,,BA,,,,,,"71,40",,,,,,,,-,,,,,,,"71,40",,,,,,,,,"382,72",,,,,,,,
ITIUBA,,,,BA,,,,,,"94,12",,,,,,,,-,,,,,,,"94,12",,,,,,,,,"504,50",,,,,,,,
JACOBINA,,,,BA,,,,,,"113,60",,,,,,,,-,,,,,,,"113,60",,,,,,,,,"608,89",,,,,,,,
JAGUAQUARA,,,,BA,,,,,,"100,61",,,,,,,,-,,,,,,,"100,61",,,,,,,,,"539,30",,,,,,,,
JAGUARIPE,,,,BA,,,,,,"71,40",,,,,,,,-,,,,,,,"71,40",,,,,,,,,"382,72",,,,,,,,
JANDAIRA,,,,BA,,,,,,"68,16",,,,,,,,-,,,,,,,"68,16",,,,,,,,,"365,32",,,,,,,,
JEQUIE,,,,BA,,,,,,"129,82",,,,,,,,-,,,,,,,"129,82",,,,,,,,,"695,87",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEREMOABO,,,,BA,,,,,,"94,12",,,,,,,,-,,,,,,,"94,12",,,,,,,,,"504,50",,,,,,,,
