BOA VISTA DO TUPIM-BA,,,BA,,,,"61,79",,,,,,-,,,,,"61,79",,,,,,"532,54",,,,,,,,,,,
BOM JESUS DA SERRA-BA,,,BA,,,,"51,90",,,,,,-,,,,,"51,90",,,,,,"447,42",,,,,,,,,,,
BREJOES-BA,,,BA,,,,"56,85",,,,,,-,,,,,"56,85",,,,,,"489,99",,,,,,,,,,,
CAATIBA-BA,,,BA,,,,"56,85",,,,,,-,,,,,"56,85",,,,,,"489,99",,,,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,BA,,,,"56,85",,,,,,-,,,,,"56,85",,,,,,"489,99",,,,,,,,,,,
CACHOEIRA-BA,,,BA,,,,"69,20",,,,,,-,,,,,"69,20",,,,,,"596,78",,,,,,,,,,,
CAEM-BA,,,BA,,,,"54,38",,,,,,-,,,,,"54,38",,,,,,"469,14",,,,,,,,,,,
CAETANOS-BA,,,BA,,,,"54,38",,,,,,-,,,,,"54,38",,,,,,"469,14",,,,,,,,,,,
CAMACARI-BA,,,BA,,,,"775,73",,,,,,"284,28",,,,,"1.060,01",,,,,,"42.893,65",,,,,,,,,,,
CANDEAL-BA,,,BA,,,,"51,90",,,,,,-,,,,,"51,90",,,,,,"447,42",,,,,,,,,,,
CANDEIAS-BA,,,BA,,,,"141.113,35",,,,,,"142.044,18",,,,,"283.157,53",,,,,,"2.292.604,67",,,,,,,,,,,
CANDIDO SALES-BA,,,BA,,,,"69,20",,,,,,-,,,,,"69,20",,,,,,"596,78",,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANSANCAO-BA,,,BA,,,,"69,20",,,,,,-,,,,,"69,20",,,,,,"596,78",,,,,,,,,,,
CANUDOS-BA,,,BA,,,,"54,38",,,,,,-,,,,,"54,38",,,,,,"469,14",,,,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,BA,,,,"51,90",,,,,,-,,,,,"51,90",,,,,,"447,42",,,,,,,,,,,
CAPIM GROSSO-BA,,,BA,,,,"64,26",,,,,,-,,,,,"64,26",,,,,,"554,23",,,,,,,,,,,
CARAVELAS-BA,,,BA,,,,-,,,,,,-,,,,,-,,,,,,"69.605,28",,,,,,,,,,,
CARDEAL DA SILVA-BA,,,BA,,,,"76.512,77",,,,,,"17.309,28",,,,,"93.822,05",,,,,,"628.596,02",,,,,,,,,,,
CASTRO ALVES-BA,,,BA,,,,"66,73",,,,,,-,,,,,"66,73",,,,,,"575,05",,,,,,,,,,,
CATU-BA,,,BA,,,,"128.259,22",,,,,,"58.113,69",,,,,"186.372,91",,,,,,"1.511.394,63",,,,,,,,,,,
CICERO DANTAS-BA,,,BA,,,,"69,20",,,,,,-,,,,,"69,20",,,,,,"596,78",,,,,,,,,,,
CIPO-BA,,,BA,,,,"56,85",,,,,,-,,,,,"56,85",,,,,,"489,99",,,,,,,,,,,
CONCEICAO DA FEIRA-BA,,,BA,,,,"59,32",,,,,,-,,,,,"59,32",,,,,,"511,69",,,,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,BA,,,,"61,79",,,,,,-,,,,,"61,79",,,,,,"532,54",,,,,,,,,,,
CONCEICAO DO COITE-BA,,,BA,,,,"81,56",,,,,,-,,,,,"81,56",,,,,,"703,83",,,,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,BA,,,,"66,73",,,,,,-,,,,,"66,73",,,,,,"575,05",,,,,,,,,,,
CONDE-BA,,,BA,,,,"64,26",,,,,,-,,,,,"64,26",,,,,,"554,23",,,,,,,,,,,
CORACAO DE MARIA-BA,,,BA,,,,"64,26",,,,,,-,,,,,"64,26",,,,,,"554,23",,,,,,,,,,,
CORONEL JOAO SA-BA,,,BA,,,,"61,79",,,,,,-,,,,,"61,79",,,,,,"532,54",,,,,,,,,,,
CRAVOLANDIA-BA,,,BA,,,,"49,43",,,,,,-,,,,,"49,43",,,,,,"425,46",,,,,,,,,,,
CRISOPOLIS-BA,,,BA,,,,"61,79",,,,,,-,,,,,"61,79",,,,,,"532,54",,,,,,,,,,,
CRUZ DAS ALMAS-BA,,,BA,,,,"79,09",,,,,,-,,,,,"79,09",,,,,,"681,87",,,,,,,,,,,
DARIO MEIRA-BA,,,BA,,,,"56,85",,,,,,-,,,,,"56,85",,,,,,"489,99",,,,,,,,,,,
DIAS D'AVILA-BA,,,BA,,,,"76,62",,,,,,-,,,,,"76,62",,,,,,"660,18",,,,,,,,,,,
DOM MACEDO COSTA-BA,,,BA,,,,"49,43",,,,,,-,,,,,"49,43",,,,,,"425,46",,,,,,,,,,,
ELISIO MEDRADO-BA,,,BA,,,,"49,43",,,,,,-,,,,,"49,43",,,,,,"425,46",,,,,,,,,,,
ENCRUZILHADA-BA,,,BA,,,,"71,68",,,,,,-,,,,,"71,68",,,,,,"617,62",,,,,,,,,,,
ENTRE RIOS-BA,,,BA,,,,"146.774,11",,,,,,"83.726,82",,,,,"230.500,93",,,,,,"1.462.931,11",,,,,,,,,,,
ESPLANADA-BA,,,BA,,,,"245.581,59",,,,,,"151.433,07",,,,,"397.014,66",,,,,,"2.566.513,17",,,,,,,,,,,
EUCLIDES DA CUNHA-BA,,,BA,,,,"79,09",,,,,,-,,,,,"79,09",,,,,,"681,87",,,,,,,,,,,
FATIMA-BA,,,BA,,,,"61,79",,,,,,-,,,,,"61,79",,,,,,"532,54",,,,,,,,,,,
FEIRA DE SANTANA-BA,,,BA,,,,"98,86",,,,,,-,,,,,"98,86",,,,,,"852,33",,,,,,,,,,,
GAVIAO-BA,,,BA,,,,"49,43",,,,,,-,,,,,"49,43",,,,,,"425,46",,,,,,,,,,,
GLORIA-BA,,,BA,,,,"56,85",,,,,,-,,,,,"56,85",,,,,,"489,99",,,,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,BA,,,,"59,32",,,,,,-,,,,,"59,32",,,,,,"511,69",,,,,,,,,,,
HELIOPOLIS-BA,,,BA,,,,"54,38",,,,,,-,,,,,"54,38",,,,,,"469,14",,,,,,,,,,,
IACU-BA,,,BA,,,,"69,20",,,,,,-,,,,,"69,20",,,,,,"596,78",,,,,,,,,,,
IBIQUERA-BA,,,BA,,,,"49,43",,,,,,-,,,,,"49,43",,,,,,"425,46",,,,,,,,,,,
ICHU-BA,,,BA,,,,"49,43",,,,,,-,,,,,"49,43",,,,,,"425,46",,,,,,,,,,,
INHAMBUPE-BA,,,BA,,,,"69,20",,,,,,-,,,,,"69,20",,,,,,"596,78",,,,,,,,,,,
IPECAETA-BA,,,BA,,,,"61,79",,,,,,-,,,,,"61,79",,,,,,"532,54",,,,,,,,,,,
IPIRA-BA,,,BA,,,,"81,56",,,,,,-,,,,,"81,56",,,,,,"703,83",,,,,,,,,,,
IRAJUBA-BA,,,BA,,,,"49,43",,,,,,-,,,,,"49,43",,,,,,"425,46",,,,,,,,,,,
IRARA-BA,,,BA,,,,"66,73",,,,,,-,,,,,"66,73",,,,,,"575,05",,,,,,,,,,,
ITABERABA-BA,,,BA,,,,"81,56",,,,,,-,,,,,"81,56",,,,,,"703,83",,,,,,,,,,,
ITAGI-BA,,,BA,,,,"56,85",,,,,,-,,,,,"56,85",,,,,,"489,99",,,,,,,,,,,
