ACAJUTIBA-BA,,,,,,,,BA,,"1.255,46",,,,,,,,-,,,,,,"1.255,46",,,,,,,"11.535,99",,,,,,,,
ADUSTINA-BA,,,,,,,,BA,,"1.255,46",,,,,,,,-,,,,,,"1.255,46",,,,,,,"11.535,99",,,,,,,,
AGUA FRIA-BA,,,,,,,,BA,,"1.255,46",,,,,,,,-,,,,,,"1.255,46",,,,,,,"11.535,99",,,,,,,,
AIQUARA-BA,,,,,,,,BA,,"1.091,70",,,,,,,,-,,,,,,"1.091,70",,,,,,,"10.031,26",,,,,,,,
ALAGOINHAS-BA,,,,,,,,BA,,"196.018,08",,,,,,,,"125.875,23",,,,,,"321.893,31",,,,,,,"3.693.118,91",,,,,,,,
ALCOBACA-BA,,,,,,,,BA,,"1.364,63",,,,,,,,-,,,,,,"1.364,63",,,,,,,"12.539,11",,,,,,,,
ALMADINA-BA,,,,,,,,BA,,"1.091,70",,,,,,,,-,,,,,,"1.091,70",,,,,,,"10.031,26",,,,,,,,
AMARGOSA-BA,,,,,,,,BA,,"1.582,97",,,,,,,,-,,,,,,"1.582,97",,,,,,,"14.545,38",,,,,,,,
AMELIA RODRIGUES-BA,,,,,,,,BA,,"1.419,22",,,,,,,,-,,,,,,"1.419,22",,,,,,,"13.040,68",,,,,,,,
ANAGE-BA,,,,,,,,BA,,"1.473,80",,,,,,,,-,,,,,,"1.473,80",,,,,,,"13.542,25",,,,,,,,
ANGUERA-BA,,,,,,,,BA,,"1.091,70",,,,,,,,-,,,,,,"1.091,70",,,,,,,"10.031,26",,,,,,,,
ANTAS-BA,,,,,,,,BA,,"1.310,05",,,,,,,,-,,,,,,"1.310,05",,,,,,,"12.037,56",,,,,,,,
ANTONIO CARDOSO-BA,,,,,,,,BA,,"1.200,88",,,,,,,,-,,,,,,"1.200,88",,,,,,,"11.034,42",,,,,,,,
APORA-BA,,,,,,,,BA,,"1.310,05",,,,,,,,-,,,,,,"1.310,05",,,,,,,"12.037,56",,,,,,,,
APUAREMA-BA,,,,,,,,BA,,"1.091,70",,,,,,,,-,,,,,,"1.091,70",,,,,,,"10.031,26",,,,,,,,
ARACAS-BA,,,,,,,,BA,,"170.779,33",,,,,,,,"112.139,26",,,,,,"282.918,59",,,,,,,"3.265.182,72",,,,,,,,
ARACI-BA,,,,,,,,BA,,"1.746,73",,,,,,,,-,,,,,,"1.746,73",,,,,,,"16.050,09",,,,,,,,
ARAMARI-BA,,,,,,,,BA,,"1.689,64",,,,,,,,"251,13",,,,,,"1.940,77",,,,,,,"22.716,63",,,,,,,,
ARATACA-BA,,,,,,,,BA,,"1.146,29",,,,,,,,-,,,,,,"1.146,29",,,,,,,"10.532,85",,,,,,,,
ARATUIPE-BA,,,,,,,,BA,,"1.091,70",,,,,,,,-,,,,,,"1.091,70",,,,,,,"10.031,26",,,,,,,,
AURELINO LEAL-BA,,,,,,,,BA,,"1.255,46",,,,,,,,-,,,,,,"1.255,46",,,,,,,"11.535,99",,,,,,,,
BAIXA GRANDE-BA,,,,,,,,BA,,"1.419,22",,,,,,,,-,,,,,,"1.419,22",,,,,,,"13.040,68",,,,,,,,
BANZAE-BA,,,,,,,,BA,,"1.146,29",,,,,,,,-,,,,,,"1.146,29",,,,,,,"10.532,85",,,,,,,,
BARRA DO CHOCA-BA,,,,,,,,BA,,"1.582,97",,,,,,,,-,,,,,,"1.582,97",,,,,,,"14.545,38",,,,,,,,
BARRA DO ROCHA-BA,,,,,,,,BA,,"1.091,70",,,,,,,,-,,,,,,"1.091,70",,,,,,,"10.031,26",,,,,,,,
BARRO PRETO-BA,,,,,,,,BA,,"1.091,70",,,,,,,,-,,,,,,"1.091,70",,,,,,,"10.031,26",,,,,,,,
BARROCAS-BA,,,,,,,,BA,,"1.200,88",,,,,,,,-,,,,,,"1.200,88",,,,,,,"11.034,42",,,,,,,,
BELMONTE-BA,,,,,,,,BA,,"1.419,22",,,,,,,,-,,,,,,"1.419,22",,,,,,,"13.040,68",,,,,,,,
BELO CAMPO-BA,,,,,,,,BA,,"1.255,46",,,,,,,,-,,,,,,"1.255,46",,,,,,,"11.535,99",,,,,,,,
BIRITINGA-BA,,,,,,,,BA,,"1.200,88",,,,,,,,-,,,,,,"1.200,88",,,,,,,"11.034,42",,,,,,,,
