IBIQUERA,,,BA,,,,"71,98",,,,,,,-,,,,,,,,"71,98",,,,,,,,"284,83",,,,,,,,
ICHU,,,BA,,,,"71,98",,,,,,,-,,,,,,,,"71,98",,,,,,,,"284,83",,,,,,,,
INHAMBUPE,,,BA,,,,"100,77",,,,,,,-,,,,,,,,"100,77",,,,,,,,"398,78",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPECAETA,,,BA,,,,"89,97",,,,,,,-,,,,,,,,"89,97",,,,,,,,"356,05",,,,,,,,
IPIRA,,,BA,,,,"118,76",,,,,,,-,,,,,,,,"118,76",,,,,,,,"469,98",,,,,,,,
IRAJUBA,,,BA,,,,"71,98",,,,,,,-,,,,,,,,"71,98",,,,,,,,"284,83",,,,,,,,
IRARA,,,BA,,,,"97,17",,,,,,,-,,,,,,,,"97,17",,,,,,,,"384,53",,,,,,,,
ITABERABA,,,BA,,,,"118,76",,,,,,,-,,,,,,,,"118,76",,,,,,,,"469,98",,,,,,,,
ITAGI,,,BA,,,,"82,77",,,,,,,-,,,,,,,,"82,77",,,,,,,,"327,56",,,,,,,,
ITAMBE,,,BA,,,,"100,77",,,,,,,-,,,,,,,,"100,77",,,,,,,,"398,78",,,,,,,,
ITANAGRA,,,BA,,,,"88.224,48",,,,,,,"14.551,03",,,,,,,,"102.775,51",,,,,,,,"390.263,39",,,,,,,,
ITAPARICA,,,BA,,,,"2.492,04",,,,,,,"88.215,60",,,,,,,,"90.707,64",,,,,,,,"491.352,18",,,,,,,,
ITAPETINGA,,,BA,,,,"118,76",,,,,,,-,,,,,,,,"118,76",,,,,,,,"469,98",,,,,,,,
ITAPICURU,,,BA,,,,"97,17",,,,,,,-,,,,,,,,"97,17",,,,,,,,"384,53",,,,,,,,
ITAQUARA,,,BA,,,,"71,98",,,,,,,-,,,,,,,,"71,98",,,,,,,,"284,83",,,,,,,,
ITARANTIM,,,BA,,,,"82,77",,,,,,,-,,,,,,,,"82,77",,,,,,,,"327,56",,,,,,,,
ITATIM,,,BA,,,,"79,17",,,,,,,-,,,,,,,,"79,17",,,,,,,,"313,31",,,,,,,,
ITIRUCU,,,BA,,,,"79,17",,,,,,,-,,,,,,,,"79,17",,,,,,,,"313,31",,,,,,,,
ITIUBA,,,BA,,,,"104,37",,,,,,,-,,,,,,,,"104,37",,,,,,,,"413,03",,,,,,,,
JACOBINA,,,BA,,,,"125,96",,,,,,,-,,,,,,,,"125,96",,,,,,,,"498,47",,,,,,,,
JAGUAQUARA,,,BA,,,,"111,57",,,,,,,-,,,,,,,,"111,57",,,,,,,,"441,51",,,,,,,,
JAGUARIPE,,,BA,,,,"79,17",,,,,,,-,,,,,,,,"79,17",,,,,,,,"313,31",,,,,,,,
JANDAIRA,,,BA,,,,"75,57",,,,,,,-,,,,,,,,"75,57",,,,,,,,"299,07",,,,,,,,
JEQUIE,,,BA,,,,"143,96",,,,,,,-,,,,,,,,"143,96",,,,,,,,"569,69",,,,,,,,
JEREMOABO,,,BA,,,,"104,37",,,,,,,-,,,,,,,,"104,37",,,,,,,,"413,03",,,,,,,,
JIQUIRICA,,,BA,,,,"79,17",,,,,,,-,,,,,,,,"79,17",,,,,,,,"313,31",,,,,,,,
JITAUNA,,,BA,,,,"93,57",,,,,,,-,,,,,,,,"93,57",,,,,,,,"370,29",,,,,,,,
LAFAIETE COUTINHO,,,BA,,,,"71,98",,,,,,,-,,,,,,,,"71,98",,,,,,,,"284,83",,,,,,,,
LAJE,,,BA,,,,"89,97",,,,,,,-,,,,,,,,"89,97",,,,,,,,"356,05",,,,,,,,
LAJEDINHO,,,BA,,,,"71,98",,,,,,,-,,,,,,,,"71,98",,,,,,,,"284,83",,,,,,,,
LAJEDO DO TABOCAL,,,BA,,,,"71,98",,,,,,,-,,,,,,,,"71,98",,,,,,,,"284,83",,,,,,,,
LAMARAO,,,BA,,,,"71,98",,,,,,,-,,,,,,,,"71,98",,,,,,,,"284,83",,,,,,,,
LAURO DE FREITAS,,,BA,,,,"136,76",,,,,,,-,,,,,,,,"136,76",,,,,,,,"541,21",,,,,,,,
MACAJUBA,,,BA,,,,"75,57",,,,,,,-,,,,,,,,"75,57",,,,,,,,"299,07",,,,,,,,
MACARANI,,,BA,,,,"82,77",,,,,,,-,,,,,,,,"82,77",,,,,,,,"327,56",,,,,,,,
MADRE DE DEUS,,,BA,,,,"1.104.764,05",,,,,,,"400.495,50",,,,,,,,"1.505.259,55",,,,,,,,"6.220.075,74",,,,,,,,
MAIQUINIQUE,,,BA,,,,"71,98",,,,,,,-,,,,,,,,"71,98",,,,,,,,"284,83",,,,,,,,
MAIRI,,,BA,,,,"93,57",,,,,,,-,,,,,,,,"93,57",,,,,,,,"370,29",,,,,,,,
MANOEL VITORINO,,,BA,,,,"86,37",,,,,,,-,,,,,,,,"86,37",,,,,,,,"341,81",,,,,,,,
MARACAS,,,BA,,,,"100,77",,,,,,,-,,,,,,,,"100,77",,,,,,,,"398,78",,,,,,,,
MARAGOGIPE,,,BA,,,,"111,57",,,,,,,-,,,,,,,,"111,57",,,,,,,,"441,51",,,,,,,,
MARCIONILIO SOUZA,,,BA,,,,"75,57",,,,,,,-,,,,,,,,"75,57",,,,,,,,"299,07",,,,,,,,
MATA DE SAO JOAO,,,BA,,,,"166.803,49",,,,,,,"64.375,21",,,,,,,,"231.178,70",,,,,,,,"883.700,75",,,,,,,,
MIGUEL CALMON,,,BA,,,,"100,77",,,,,,,-,,,,,,,,"100,77",,,,,,,,"398,78",,,,,,,,
MILAGRES,,,BA,,,,"79,17",,,,,,,-,,,,,,,,"79,17",,,,,,,,"313,31",,,,,,,,
MIRANTE,,,BA,,,,"79,17",,,,,,,-,,,,,,,,"79,17",,,,,,,,"313,31",,,,,,,,
MONTE SANTO,,,BA,,,,"115,16",,,,,,,-,,,,,,,,"115,16",,,,,,,,"455,74",,,,,,,,
MUNDO NOVO,,,BA,,,,"93,57",,,,,,,-,,,,,,,,"93,57",,,,,,,,"370,29",,,,,,,,
MUNIZ FERREIRA,,,BA,,,,"71,98",,,,,,,-,,,,,,,,"71,98",,,,,,,,"284,83",,,,,,,,
MURITIBA,,,BA,,,,"100,77",,,,,,,-,,,,,,,,"100,77",,,,,,,,"398,78",,,,,,,,
MUTUIPE,,,BA,,,,"93,57",,,,,,,-,,,,,,,,"93,57",,,,,,,,"370,29",,,,,,,,
NAZARE,,,BA,,,,"97,17",,,,,,,-,,,,,,,,"97,17",,,,,,,,"384,53",,,,,,,,
