INHAMBUPE-BA,,,,,,,,,,BA,,,,"2.694,06",,,,,,,,"380,15",,,,,,"3.074,21",,,,,,,,,"12.285,35",,,,,,,,
IPECAETA-BA,,,,,,,,,,BA,,,,"1.493,97",,,,,,,,-,,,,,,"1.493,97",,,,,,,,,"6.862,87",,,,,,,,
IPIAU-BA,,,,,,,,,,BA,,,,"2.013,62",,,,,,,,-,,,,,,"2.013,62",,,,,,,,,"9.249,97",,,,,,,,
IPIRA-BA,,,,,,,,,,BA,,,,"2.143,53",,,,,,,,-,,,,,,"2.143,53",,,,,,,,,"9.846,74",,,,,,,,
IRAJUBA-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
IRARA-BA,,,,,,,,,,BA,,,,"1.753,80",,,,,,,,-,,,,,,"1.753,80",,,,,,,,,"8.056,43",,,,,,,,
ITABELA-BA,,,,,,,,,,BA,,,,"1.818,75",,,,,,,,-,,,,,,"1.818,75",,,,,,,,,"8.354,81",,,,,,,,
ITABERABA-BA,,,,,,,,,,BA,,,,"2.143,53",,,,,,,,-,,,,,,"2.143,53",,,,,,,,,"9.846,74",,,,,,,,
ITABUNA-BA,,,,,,,,,,BA,,,,"2.598,22",,,,,,,,-,,,,,,"2.598,22",,,,,,,,,"11.935,46",,,,,,,,
ITACARE-BA,,,,,,,,,,BA,,,,"1.753,80",,,,,,,,-,,,,,,"1.753,80",,,,,,,,,"8.056,43",,,,,,,,
ITAGI-BA,,,,,,,,,,BA,,,,"1.429,02",,,,,,,,-,,,,,,"1.429,02",,,,,,,,,"6.564,49",,,,,,,,
ITAGIBA-BA,,,,,,,,,,BA,,,,"1.493,97",,,,,,,,-,,,,,,"1.493,97",,,,,,,,,"6.862,87",,,,,,,,
ITAGIMIRIM-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
ITAJU DO COLONIA-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
ITAJUIPE-BA,,,,,,,,,,BA,,,,"1.688,84",,,,,,,,-,,,,,,"1.688,84",,,,,,,,,"7.758,04",,,,,,,,
ITAMARAJU-BA,,,,,,,,,,BA,,,,"2.143,53",,,,,,,,-,,,,,,"2.143,53",,,,,,,,,"9.846,74",,,,,,,,
ITAMARI-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
ITAMBE-BA,,,,,,,,,,BA,,,,"1.688,84",,,,,,,,-,,,,,,"1.688,84",,,,,,,,,"7.758,04",,,,,,,,
ITANAGRA-BA,,,,,,,,,,BA,,,,"120.177,81",,,,,,,,"18.452,83",,,,,,"138.630,64",,,,,,,,,"714.061,83",,,,,,,,
ITANHEM-BA,,,,,,,,,,BA,,,,"1.688,84",,,,,,,,-,,,,,,"1.688,84",,,,,,,,,"7.758,04",,,,,,,,
ITAPARICA-BA,,,,,,,,,,BA,,,,"148.492,87",,,,,,,,"278.630,42",,,,,,"427.123,29",,,,,,,,,"2.236.591,89",,,,,,,,
ITAPE-BA,,,,,,,,,,BA,,,,"1.364,06",,,,,,,,-,,,,,,"1.364,06",,,,,,,,,"6.266,10",,,,,,,,
ITAPEBI-BA,,,,,,,,,,BA,,,,"1.364,06",,,,,,,,-,,,,,,"1.364,06",,,,,,,,,"6.266,10",,,,,,,,
ITAPETINGA-BA,,,,,,,,,,BA,,,,"2.208,48",,,,,,,,-,,,,,,"2.208,48",,,,,,,,,"10.145,13",,,,,,,,
ITAPICURU-BA,,,,,,,,,,BA,,,,"1.883,71",,,,,,,,-,,,,,,"1.883,71",,,,,,,,,"8.653,20",,,,,,,,
ITAPITANGA-BA,,,,,,,,,,BA,,,,"1.364,06",,,,,,,,-,,,,,,"1.364,06",,,,,,,,,"6.266,10",,,,,,,,
ITAQUARA-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
ITARANTIM-BA,,,,,,,,,,BA,,,,"1.623,88",,,,,,,,-,,,,,,"1.623,88",,,,,,,,,"7.459,65",,,,,,,,
ITATIM-BA,,,,,,,,,,BA,,,,"1.493,97",,,,,,,,-,,,,,,"1.493,97",,,,,,,,,"6.862,87",,,,,,,,
ITIRUCU-BA,,,,,,,,,,BA,,,,"1.429,02",,,,,,,,-,,,,,,"1.429,02",,,,,,,,,"6.564,49",,,,,,,,
ITIUBA-BA,,,,,,,,,,BA,,,,"1.948,66",,,,,,,,-,,,,,,"1.948,66",,,,,,,,,"8.951,58",,,,,,,,
ITORORO-BA,,,,,,,,,,BA,,,,"1.623,88",,,,,,,,-,,,,,,"1.623,88",,,,,,,,,"7.459,65",,,,,,,,
ITUBERA-BA,,,,,,,,,,BA,,,,"1.753,80",,,,,,,,-,,,,,,"1.753,80",,,,,,,,,"8.056,43",,,,,,,,
JACOBINA-BA,,,,,,,,,,BA,,,,"2.273,44",,,,,,,,-,,,,,,"2.273,44",,,,,,,,,"10.443,52",,,,,,,,
JAGUAQUARA-BA,,,,,,,,,,BA,,,,"2.078,57",,,,,,,,-,,,,,,"2.078,57",,,,,,,,,"9.548,35",,,,,,,,
JAGUARIPE-BA,,,,,,,,,,BA,,,,"70.000,45",,,,,,,,-,,,,,,"70.000,45",,,,,,,,,"321.561,51",,,,,,,,
JANDAIRA-BA,,,,,,,,,,BA,,,,"1.364,06",,,,,,,,-,,,,,,"1.364,06",,,,,,,,,"6.266,10",,,,,,,,
JEQUIE-BA,,,,,,,,,,BA,,,,"2.598,22",,,,,,,,-,,,,,,"2.598,22",,,,,,,,,"11.935,46",,,,,,,,
JEREMOABO-BA,,,,,,,,,,BA,,,,"1.948,66",,,,,,,,-,,,,,,"1.948,66",,,,,,,,,"8.951,58",,,,,,,,
JIQUIRICA-BA,,,,,,,,,,BA,,,,"1.493,97",,,,,,,,-,,,,,,"1.493,97",,,,,,,,,"6.862,87",,,,,,,,
JITAUNA-BA,,,,,,,,,,BA,,,,"1.493,97",,,,,,,,-,,,,,,"1.493,97",,,,,,,,,"6.862,87",,,,,,,,
JUCURUCU-BA,,,,,,,,,,BA,,,,"1.364,06",,,,,,,,-,,,,,,"1.364,06",,,,,,,,,"6.266,10",,,,,,,,
JUSSARI-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
LAFAIETE COUTINHO-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
LAJE-BA,,,,,,,,,,BA,,,,"1.688,84",,,,,,,,-,,,,,,"1.688,84",,,,,,,,,"7.758,04",,,,,,,,
LAJEDAO-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
LAJEDINHO-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
LAJEDO DO TABOCAL-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAMARAO-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
LAURO DE FREITAS-BA,,,,,,,,,,BA,,,,"2.598,22",,,,,,,,-,,,,,,"2.598,22",,,,,,,,,"11.935,46",,,,,,,,
MACAJUBA-BA,,,,,,,,,,BA,,,,"1.364,06",,,,,,,,-,,,,,,"1.364,06",,,,,,,,,"6.266,10",,,,,,,,
MACARANI-BA,,,,,,,,,,BA,,,,"1.558,93",,,,,,,,-,,,,,,"1.558,93",,,,,,,,,"7.161,26",,,,,,,,
MADRE DE DEUS-BA,,,,,,,,,,BA,,,,"1.758.122,21",,,,,,,,"1.286.665,64",,,,,,"3.044.787,85",,,,,,,,,"16.517.064,84",,,,,,,,
MAIQUINIQUE-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
MAIRI-BA,,,,,,,,,,BA,,,,"1.623,88",,,,,,,,-,,,,,,"1.623,88",,,,,,,,,"7.459,65",,,,,,,,
MANOEL VITORINO-BA,,,,,,,,,,BA,,,,"1.493,97",,,,,,,,-,,,,,,"1.493,97",,,,,,,,,"6.862,87",,,,,,,,
MARACAS-BA,,,,,,,,,,BA,,,,"1.753,80",,,,,,,,-,,,,,,"1.753,80",,,,,,,,,"8.056,43",,,,,,,,
MARAGOGIPE-BA,,,,,,,,,,BA,,,,"60.488,19",,,,,,,,-,,,,,,"60.488,19",,,,,,,,,"277.864,99",,,,,,,,
MARAU-BA,,,,,,,,,,BA,,,,"1.623,88",,,,,,,,-,,,,,,"1.623,88",,,,,,,,,"7.459,65",,,,,,,,
MARCIONILIO SOUZA-BA,,,,,,,,,,BA,,,,"1.364,06",,,,,,,,-,,,,,,"1.364,06",,,,,,,,,"6.266,10",,,,,,,,
MASCOTE-BA,,,,,,,,,,BA,,,,"1.493,97",,,,,,,,-,,,,,,"1.493,97",,,,,,,,,"6.862,87",,,,,,,,
MATA DE SAO JOAO-BA,,,,,,,,,,BA,,,,"235.257,39",,,,,,,,"106.146,25",,,,,,"341.403,64",,,,,,,,,"1.692.466,24",,,,,,,,
MEDEIROS NETO-BA,,,,,,,,,,BA,,,,"1.688,84",,,,,,,,-,,,,,,"1.688,84",,,,,,,,,"7.758,04",,,,,,,,
MIGUEL CALMON-BA,,,,,,,,,,BA,,,,"1.753,80",,,,,,,,-,,,,,,"1.753,80",,,,,,,,,"8.056,43",,,,,,,,
MILAGRES-BA,,,,,,,,,,BA,,,,"1.364,06",,,,,,,,-,,,,,,"1.364,06",,,,,,,,,"6.266,10",,,,,,,,
MIRANTE-BA,,,,,,,,,,BA,,,,"1.364,06",,,,,,,,-,,,,,,"1.364,06",,,,,,,,,"6.266,10",,,,,,,,
MONTE SANTO-BA,,,,,,,,,,BA,,,,"2.078,57",,,,,,,,-,,,,,,"2.078,57",,,,,,,,,"9.548,35",,,,,,,,
MUCURI-BA,,,,,,,,,,BA,,,,"1.948,66",,,,,,,,-,,,,,,"1.948,66",,,,,,,,,"8.951,58",,,,,,,,
MUNDO NOVO-BA,,,,,,,,,,BA,,,,"1.753,80",,,,,,,,-,,,,,,"1.753,80",,,,,,,,,"8.056,43",,,,,,,,
MUNIZ FERREIRA-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
MURITIBA-BA,,,,,,,,,,BA,,,,"1.818,75",,,,,,,,-,,,,,,"1.818,75",,,,,,,,,"8.354,81",,,,,,,,
MUTUIPE-BA,,,,,,,,,,BA,,,,"1.688,84",,,,,,,,-,,,,,,"1.688,84",,,,,,,,,"7.758,04",,,,,,,,
NAZARE-BA,,,,,,,,,,BA,,,,"1.753,80",,,,,,,,-,,,,,,"1.753,80",,,,,,,,,"8.056,43",,,,,,,,
NILO PECANHA-BA,,,,,,,,,,BA,,,,"1.429,02",,,,,,,,-,,,,,,"1.429,02",,,,,,,,,"6.564,49",,,,,,,,
NORDESTINA-BA,,,,,,,,,,BA,,,,"1.429,02",,,,,,,,-,,,,,,"1.429,02",,,,,,,,,"6.564,49",,,,,,,,
NOVA CANAA-BA,,,,,,,,,,BA,,,,"1.558,93",,,,,,,,-,,,,,,"1.558,93",,,,,,,,,"7.161,26",,,,,,,,
NOVA FATIMA-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
NOVA IBIA-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
NOVA ITARANA-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
NOVA SOURE-BA,,,,,,,,,,BA,,,,"1.753,80",,,,,,,,-,,,,,,"1.753,80",,,,,,,,,"8.056,43",,,,,,,,
NOVA VICOSA-BA,,,,,,,,,,BA,,,,"1.948,66",,,,,,,,-,,,,,,"1.948,66",,,,,,,,,"8.951,58",,,,,,,,
NOVO TRIUNFO-BA,,,,,,,,,,BA,,,,"1.493,97",,,,,,,,-,,,,,,"1.493,97",,,,,,,,,"6.862,87",,,,,,,,
OLINDINA-BA,,,,,,,,,,BA,,,,"1.753,80",,,,,,,,-,,,,,,"1.753,80",,,,,,,,,"8.056,43",,,,,,,,
OURICANGAS-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
OUROLANDIA-BA,,,,,,,,,,BA,,,,"1.558,93",,,,,,,,-,,,,,,"1.558,93",,,,,,,,,"7.161,26",,,,,,,,
PARIPIRANGA-BA,,,,,,,,,,BA,,,,"1.753,80",,,,,,,,-,,,,,,"1.753,80",,,,,,,,,"8.056,43",,,,,,,,
PAU BRASIL-BA,,,,,,,,,,BA,,,,"1.364,06",,,,,,,,-,,,,,,"1.364,06",,,,,,,,,"6.266,10",,,,,,,,
PAULO AFONSO-BA,,,,,,,,,,BA,,,,"2.403,35",,,,,,,,-,,,,,,"2.403,35",,,,,,,,,"11.040,29",,,,,,,,
PE DE SERRA-BA,,,,,,,,,,BA,,,,"1.429,02",,,,,,,,-,,,,,,"1.429,02",,,,,,,,,"6.564,49",,,,,,,,
PEDRAO-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
PEDRO ALEXANDRE-BA,,,,,,,,,,BA,,,,"1.558,93",,,,,,,,-,,,,,,"1.558,93",,,,,,,,,"7.161,26",,,,,,,,
PINTADAS-BA,,,,,,,,,,BA,,,,"1.364,06",,,,,,,,-,,,,,,"1.364,06",,,,,,,,,"6.266,10",,,,,,,,
PIRAI DO NORTE-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
PIRITIBA-BA,,,,,,,,,,BA,,,,"1.688,84",,,,,,,,-,,,,,,"1.688,84",,,,,,,,,"7.758,04",,,,,,,,
PLANALTINO-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
PLANALTO-BA,,,,,,,,,,BA,,,,"1.753,80",,,,,,,,-,,,,,,"1.753,80",,,,,,,,,"8.056,43",,,,,,,,
POCOES-BA,,,,,,,,,,BA,,,,"2.013,62",,,,,,,,-,,,,,,"2.013,62",,,,,,,,,"9.249,97",,,,,,,,
POJUCA-BA,,,,,,,,,,BA,,,,"701.473,62",,,,,,,,"528.725,35",,,,,,"1.230.198,97",,,,,,,,,"6.127.526,45",,,,,,,,
PORTO SEGURO-BA,,,,,,,,,,BA,,,,"2.468,31",,,,,,,,-,,,,,,"2.468,31",,,,,,,,,"11.338,68",,,,,,,,
POTIRAGUA-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
PRADO-BA,,,,,,,,,,BA,,,,"1.753,80",,,,,,,,-,,,,,,"1.753,80",,,,,,,,,"8.056,43",,,,,,,,
PRESIDENTE TANCREDO NEVES-BA,,,,,,,,,,BA,,,,"1.688,84",,,,,,,,-,,,,,,"1.688,84",,,,,,,,,"7.758,04",,,,,,,,
QUEIMADAS-BA,,,,,,,,,,BA,,,,"1.753,80",,,,,,,,-,,,,,,"1.753,80",,,,,,,,,"8.056,43",,,,,,,,
QUIJINGUE-BA,,,,,,,,,,BA,,,,"1.753,80",,,,,,,,-,,,,,,"1.753,80",,,,,,,,,"8.056,43",,,,,,,,
QUIXABEIRA-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
RAFAEL JAMBEIRO-BA,,,,,,,,,,BA,,,,"1.688,84",,,,,,,,-,,,,,,"1.688,84",,,,,,,,,"7.758,04",,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RETIROLANDIA-BA,,,,,,,,,,BA,,,,"1.429,02",,,,,,,,-,,,,,,"1.429,02",,,,,,,,,"6.564,49",,,,,,,,
RIACHAO DO JACUIPE-BA,,,,,,,,,,BA,,,,"1.883,71",,,,,,,,-,,,,,,"1.883,71",,,,,,,,,"8.653,20",,,,,,,,
RIBEIRA DO AMPARO-BA,,,,,,,,,,BA,,,,"1.493,97",,,,,,,,-,,,,,,"1.493,97",,,,,,,,,"6.862,87",,,,,,,,
RIBEIRA DO POMBAL-BA,,,,,,,,,,BA,,,,"2.013,62",,,,,,,,-,,,,,,"2.013,62",,,,,,,,,"9.249,97",,,,,,,,
RIBEIRAO DO LARGO-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
RIO REAL-BA,,,,,,,,,,BA,,,,"1.948,66",,,,,,,,-,,,,,,"1.948,66",,,,,,,,,"8.951,58",,,,,,,,
RUY BARBOSA-BA,,,,,,,,,,BA,,,,"1.818,75",,,,,,,,-,,,,,,"1.818,75",,,,,,,,,"8.354,81",,,,,,,,
SALINAS DA MARGARIDA-BA,,,,,,,,,,BA,,,,"42.927,10",,,,,,,,"277.914,18",,,,,,"320.841,28",,,,,,,,,"1.704.460,41",,,,,,,,
SALVADOR-BA,,,,,,,,,,BA,,,,"78.049,28",,,,,,,,"277.914,18",,,,,,"355.963,46",,,,,,,,,"1.865.801,39",,,,,,,,
SANTA BARBARA-BA,,,,,,,,,,BA,,,,"1.623,88",,,,,,,,-,,,,,,"1.623,88",,,,,,,,,"7.459,65",,,,,,,,
SANTA BRIGIDA-BA,,,,,,,,,,BA,,,,"1.493,97",,,,,,,,-,,,,,,"1.493,97",,,,,,,,,"6.862,87",,,,,,,,
SANTA CRUZ CABRALIA-BA,,,,,,,,,,BA,,,,"1.753,80",,,,,,,,-,,,,,,"1.753,80",,,,,,,,,"8.056,43",,,,,,,,
SANTA CRUZ DA VITORIA-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
SANTA INES-BA,,,,,,,,,,BA,,,,"1.364,06",,,,,,,,-,,,,,,"1.364,06",,,,,,,,,"6.266,10",,,,,,,,
SANTA LUZIA-BA,,,,,,,,,,BA,,,,"1.429,02",,,,,,,,-,,,,,,"1.429,02",,,,,,,,,"6.564,49",,,,,,,,
SANTA TERESINHA-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
SANTALUZ-BA,,,,,,,,,,BA,,,,"1.883,71",,,,,,,,-,,,,,,"1.883,71",,,,,,,,,"8.653,20",,,,,,,,
SANTANOPOLIS-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
SANTO AMARO-BA,,,,,,,,,,BA,,,,"64.390,65",,,,,,,,"277.914,18",,,,,,"342.304,83",,,,,,,,,"1.803.057,67",,,,,,,,
SANTO ANTONIO DE JESUS-BA,,,,,,,,,,BA,,,,"2.338,40",,,,,,,,-,,,,,,"2.338,40",,,,,,,,,"10.741,91",,,,,,,,
SANTO ESTEVAO-BA,,,,,,,,,,BA,,,,"2.013,62",,,,,,,,-,,,,,,"2.013,62",,,,,,,,,"9.249,97",,,,,,,,
SAO DOMINGOS-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
SAO FELIPE-BA,,,,,,,,,,BA,,,,"1.688,84",,,,,,,,-,,,,,,"1.688,84",,,,,,,,,"7.758,04",,,,,,,,
SAO FELIX-BA,,,,,,,,,,BA,,,,"1.493,97",,,,,,,,-,,,,,,"1.493,97",,,,,,,,,"6.862,87",,,,,,,,
SAO FRANCISCO DO CONDE-BA,,,,,,,,,,BA,,,,"2.124.918,99",,,,,,,,"1.118.932,61",,,,,,"3.243.851,60",,,,,,,,,"17.042.578,12",,,,,,,,
SAO GONCALO DOS CAMPOS-BA,,,,,,,,,,BA,,,,"1.883,71",,,,,,,,-,,,,,,"1.883,71",,,,,,,,,"8.653,20",,,,,,,,
SAO JOSE DA VITORIA-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
SAO JOSE DO JACUIPE-BA,,,,,,,,,,BA,,,,"1.364,06",,,,,,,,-,,,,,,"1.364,06",,,,,,,,,"6.266,10",,,,,,,,
SAO MIGUEL DAS MATAS-BA,,,,,,,,,,BA,,,,"1.364,06",,,,,,,,-,,,,,,"1.364,06",,,,,,,,,"6.266,10",,,,,,,,
SAO SEBASTIAO DO PASSE-BA,,,,,,,,,,BA,,,,"473.897,57",,,,,,,,"239.221,68",,,,,,"713.119,25",,,,,,,,,"3.678.888,90",,,,,,,,
SAPEACU-BA,,,,,,,,,,BA,,,,"1.558,93",,,,,,,,-,,,,,,"1.558,93",,,,,,,,,"7.161,26",,,,,,,,
SATIRO DIAS-BA,,,,,,,,,,BA,,,,"101.362,86",,,,,,,,"3.134,82",,,,,,"104.497,68",,,,,,,,,"318.791,77",,,,,,,,
SAUBARA-BA,,,,,,,,,,BA,,,,"40.975,87",,,,,,,,"277.914,18",,,,,,"318.890,05",,,,,,,,,"1.695.497,02",,,,,,,,
SERRA PRETA-BA,,,,,,,,,,BA,,,,"1.493,97",,,,,,,,-,,,,,,"1.493,97",,,,,,,,,"6.862,87",,,,,,,,
SERRINHA-BA,,,,,,,,,,BA,,,,"2.273,44",,,,,,,,-,,,,,,"2.273,44",,,,,,,,,"10.443,52",,,,,,,,
SERROLANDIA-BA,,,,,,,,,,BA,,,,"1.429,02",,,,,,,,-,,,,,,"1.429,02",,,,,,,,,"6.564,49",,,,,,,,
SIMOES FILHO-BA,,,,,,,,,,BA,,,,"98.311,61",,,,,,,,-,,,,,,"98.311,61",,,,,,,,,"514.210,46",,,,,,,,
SITIO DO QUINTO-BA,,,,,,,,,,BA,,,,"1.429,02",,,,,,,,-,,,,,,"1.429,02",,,,,,,,,"6.564,49",,,,,,,,
TANQUINHO-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
TAPEROA-BA,,,,,,,,,,BA,,,,"1.623,88",,,,,,,,-,,,,,,"1.623,88",,,,,,,,,"7.459,65",,,,,,,,
TAPIRAMUTA-BA,,,,,,,,,,BA,,,,"1.558,93",,,,,,,,-,,,,,,"1.558,93",,,,,,,,,"7.161,26",,,,,,,,
TEIXEIRA DE FREITAS-BA,,,,,,,,,,BA,,,,"2.533,26",,,,,,,,-,,,,,,"2.533,26",,,,,,,,,"11.637,07",,,,,,,,
TEODORO SAMPAIO-BA,,,,,,,,,,BA,,,,"98.249,18",,,,,,,,"832,33",,,,,,"99.081,51",,,,,,,,,"503.184,04",,,,,,,,
TEOFILANDIA-BA,,,,,,,,,,BA,,,,"1.688,84",,,,,,,,-,,,,,,"1.688,84",,,,,,,,,"7.758,04",,,,,,,,
TEOLANDIA-BA,,,,,,,,,,BA,,,,"1.493,97",,,,,,,,-,,,,,,"1.493,97",,,,,,,,,"6.862,87",,,,,,,,
TERRA NOVA-BA,,,,,,,,,,BA,,,,"1.429,02",,,,,,,,-,,,,,,"1.429,02",,,,,,,,,"7.046,15",,,,,,,,
TUCANO-BA,,,,,,,,,,BA,,,,"2.078,57",,,,,,,,-,,,,,,"2.078,57",,,,,,,,,"9.548,35",,,,,,,,
UAUA-BA,,,,,,,,,,BA,,,,"1.753,80",,,,,,,,-,,,,,,"1.753,80",,,,,,,,,"8.056,43",,,,,,,,
UBAIRA-BA,,,,,,,,,,BA,,,,"1.623,88",,,,,,,,-,,,,,,"1.623,88",,,,,,,,,"7.459,65",,,,,,,,
UBAITABA-BA,,,,,,,,,,BA,,,,"1.688,84",,,,,,,,-,,,,,,"1.688,84",,,,,,,,,"7.758,04",,,,,,,,
UBATA-BA,,,,,,,,,,BA,,,,"1.753,80",,,,,,,,-,,,,,,"1.753,80",,,,,,,,,"8.056,43",,,,,,,,
UNA-BA,,,,,,,,,,BA,,,,"1.753,80",,,,,,,,-,,,,,,"1.753,80",,,,,,,,,"8.056,43",,,,,,,,
URUCUCA-BA,,,,,,,,,,BA,,,,"1.623,88",,,,,,,,-,,,,,,"1.623,88",,,,,,,,,"7.459,65",,,,,,,,
VALENCA-BA,,,,,,,,,,BA,,,,"70.000,45",,,,,,,,-,,,,,,"70.000,45",,,,,,,,,"321.561,51",,,,,,,,
VALENTE-BA,,,,,,,,,,BA,,,,"1.753,80",,,,,,,,-,,,,,,"1.753,80",,,,,,,,,"8.056,43",,,,,,,,
VARZEA DA ROCA-BA,,,,,,,,,,BA,,,,"1.429,02",,,,,,,,-,,,,,,"1.429,02",,,,,,,,,"6.564,49",,,,,,,,
VARZEA DO POCO-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
VARZEA NOVA-BA,,,,,,,,,,BA,,,,"1.429,02",,,,,,,,-,,,,,,"1.429,02",,,,,,,,,"6.564,49",,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARZEDO-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
VERA CRUZ-BA,,,,,,,,,,BA,,,,"102.400,98",,,,,,,,"1.216,76",,,,,,"103.617,74",,,,,,,,,"517.968,58",,,,,,,,
VEREDA-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
VITORIA DA CONQUISTA-BA,,,,,,,,,,BA,,,,"2.598,22",,,,,,,,-,,,,,,"2.598,22",,,,,,,,,"11.935,46",,,,,,,,
WENCESLAU GUIMARAES-BA,,,,,,,,,,BA,,,,"1.688,84",,,,,,,,-,,,,,,"1.688,84",,,,,,,,,"7.758,04",,,,,,,,
BAHIA  TOTAL,,,,,,,,,,,,,,"9.540.703,59",,,,,,,,"7.086.640,22",,,,,,"16.627.343,81",,,,,,,,,"86.069.911,79",,,,,,,,
ACARAU-CE,,,,,,,,,,CE,,,,"4.170,33",,,,,,,,-,,,,,,"4.170,33",,,,,,,,,"19.743,44",,,,,,,,
ALCANTARAS-CE,,,,,,,,,,CE,,,,"2.653,84",,,,,,,,-,,,,,,"2.653,84",,,,,,,,,"12.563,99",,,,,,,,
AMONTADA-CE,,,,,,,,,,CE,,,,"85.758,13",,,,,,,,"19.145,75",,,,,,"104.903,88",,,,,,,,,"499.014,85",,,,,,,,
APUIARES-CE,,,,,,,,,,CE,,,,"2.780,22",,,,,,,,-,,,,,,"2.780,22",,,,,,,,,"13.162,29",,,,,,,,
